b33f53969eedb4c772de4a1e2607bda193d260f28a43dbc1d75ec67c20cb73a4,e9cc1c9a489fde23b668f75d5646242ce38333feb9d876eacc43458254f89592,a77e799dca9a67f2bf1f11b9b7effbae8f334f2c188351596b85dc58ea455f75,001b0a0e9f57fa61967e93b0e272cd562a8411e2231a7d6bb4bcba1de46c797c,29d6086520cf4f820271794178b5da49062615505ea762ed05bc81f55486bd9c,f6df49e4a1ebe9a90f2a61c5cb4dc2d78905cf3ff3de6c7f6748c8147062e93d,f865c6596db13a9ebe9151da8cb31dfde78285976eaffb47463155378c5d2e99,cb0e1624622537214eb80af9498ebd23a496a1efbc0346dfc6173adfb72c974a,14d75abb45fc280facd45a5417273a36939e9218ee58a8306224f044ae527fee
"500000","7008","1002","1010","32000101","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1","1","32000101"
"750000","7008","1002","1010","32000102","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1","2","32000102"
"1000000","7008","1002","1010","32000103","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1","3","32000103"
"500000","7008","1003","1010","32000104","全プレイヤーでフレイヤを合計500,000回倒そう","1","4","32000104"
"750000","7008","1003","1010","32000105","全プレイヤーでフレイヤを合計750,000回倒そう","1","5","32000105"
"1000000","7008","1003","1010","32000106","全プレイヤーでフレイヤを合計1,000,000回倒そう","1","6","32000106"
"1000000","7008","1004","1010","32000107","全プレイヤーでアラクネを合計1,000,000回倒そう","0","7","32000107"
"1500000","7008","1004","1010","32000108","全プレイヤーでアラクネを合計1,500,000回倒そう","0","8","32000108"
"2000000","7008","1004","1010","32000109","全プレイヤーでアラクネを合計2,000,000回倒そう","0","9","32000109"
"1","7007","1001","1009","32000110","宝石蜘蛛の群れに1回挑戦しよう","1","10","32000110"
"1","7007","1002","1009","32000111","バンディ・シスターズを1回倒そう","1","11","32000111"
"1","7007","1003","1009","32000112","フレイヤを1回倒そう","1","12","32000112"
"1","7007","1004","1009","32000113","アラクネを1回倒そう","0","13","32000113"
