c9310c694be1763436849b0b02df5f1c687d73a6aee42e078a5db798531b4004,c4c97d079710e1e5835aa6fd6d2b7ca81a7128bb103ceb5acb62cbe0f597f190,be8ddfd034f26440e904588f9a523e477d36db1f6ec740249eeb5ed6ce30cf9d,ab16815086621e3d2780db1a84f90955ccf7c6e09261fcaa1a864324576c70f2,55e8d2ad605f8602a74524ad12116a709a4ced56b7c0100c44fe1fb31fc8b884,04f79492b1e92220f42ca8fcb0a8dab6c8dd3a23b7ee593e5d560770d7464c20
"1","2","1","10","10","500"
"1","3","1","10","20","500"
"1","4","1","10","30","500"
"1","5","1","10","40","500"
"1","6","1","10","50","500"
"1","7","1","10","60","500"
"1","8","1","10","70","500"
"1","9","1","10","80","500"
"1","10","1","10","90","500"
"1","11","1","15","105","500"
"1","12","1","15","120","500"
"1","13","1","15","135","500"
"1","14","1","15","150","500"
"1","15","1","15","165","500"
"1","16","1","15","180","500"
"1","17","1","15","195","500"
"1","18","1","15","210","500"
"1","19","1","15","225","500"
"1","20","1","15","240","500"
"1","21","1","25","265","500"
"1","22","1","25","290","500"
"1","23","1","25","315","500"
"1","24","1","25","340","500"
"1","25","1","25","365","500"
"1","26","1","25","390","500"
"1","27","1","25","415","500"
"1","28","1","25","440","500"
"1","29","1","25","465","500"
"1","30","1","25","490","500"
"2","31","1","40","530","500"
"2","32","1","40","570","500"
"2","33","1","40","610","500"
"2","34","1","40","650","500"
"2","35","1","40","690","500"
"2","36","1","40","730","500"
"2","37","1","40","770","500"
"2","38","1","40","810","500"
"2","39","1","40","850","500"
"2","40","1","40","890","500"
"2","41","1","50","940","500"
"2","42","1","50","990","500"
"2","43","1","50","1040","500"
"2","44","1","50","1090","500"
"2","45","1","50","1140","500"
"2","46","1","50","1190","500"
"2","47","1","50","1240","500"
"2","48","1","50","1290","500"
"2","49","1","50","1340","500"
"2","50","1","50","1390","500"
"3","51","1","60","1450","500"
"3","52","1","60","1510","500"
"3","53","1","60","1570","500"
"3","54","1","60","1630","500"
"3","55","1","60","1690","500"
"3","56","1","60","1750","500"
"3","57","1","60","1810","500"
"3","58","1","60","1870","500"
"3","59","1","60","1930","500"
"3","60","1","60","1990","500"
"3","61","1","75","2065","600"
"3","62","1","75","2140","600"
"3","63","1","75","2215","600"
"3","64","1","75","2290","600"
"3","65","1","75","2365","600"
"3","66","1","75","2440","600"
"3","67","1","75","2515","600"
"3","68","1","75","2590","600"
"3","69","1","75","2665","600"
"3","70","1","75","2740","600"
"4","71","1","100","2840","600"
"4","72","1","100","2940","600"
"4","73","1","100","3040","600"
"4","74","1","100","3140","600"
"4","75","1","100","3240","600"
"4","76","1","100","3340","600"
"4","77","1","100","3440","600"
"4","78","1","100","3540","600"
"4","79","1","100","3640","600"
"4","80","1","100","3740","600"
"4","81","1","125","3865","600"
"4","82","1","125","3990","600"
"4","83","1","125","4115","600"
"4","84","1","125","4240","600"
"4","85","1","125","4365","600"
"4","86","1","125","4490","600"
"4","87","1","125","4615","600"
"4","88","1","125","4740","600"
"4","89","1","125","4865","600"
"4","90","1","125","4990","600"
"5","91","1","150","5140","600"
"5","92","1","150","5290","600"
"5","93","1","150","5440","600"
"5","94","1","150","5590","600"
"5","95","1","150","5740","600"
"5","96","1","150","5890","600"
"5","97","1","150","6040","600"
"5","98","1","150","6190","600"
"5","99","1","150","6340","600"
"5","100","1","150","6490","600"
"5","101","1","175","6665","600"
"5","102","1","175","6840","600"
"5","103","1","175","7015","600"
"5","104","1","175","7190","600"
"5","105","1","175","7365","600"
"5","106","1","175","7540","600"
"5","107","1","175","7715","600"
"5","108","1","175","7890","600"
"5","109","1","175","8065","600"
"5","110","1","175","8240","600"
"6","111","1","200","8440","600"
"6","112","1","200","8640","600"
"6","113","1","200","8840","600"
"6","114","1","200","9040","600"
"6","115","1","200","9240","600"
"6","116","1","200","9440","600"
"6","117","1","200","9640","600"
"6","118","1","200","9840","600"
"6","119","1","200","10040","600"
"6","120","1","200","10240","600"
"6","121","1","225","10465","600"
"6","122","1","225","10690","600"
"6","123","1","225","10915","600"
"6","124","1","225","11140","600"
"6","125","1","225","11365","600"
"6","126","1","225","11590","600"
"6","127","1","225","11815","600"
"6","128","1","225","12040","600"
"6","129","1","225","12265","600"
"6","130","1","225","12490","600"
"7","131","1","250","12740","600"
"7","132","1","250","12990","600"
"7","133","1","250","13240","600"
"7","134","1","250","13490","600"
"7","135","1","250","13740","600"
"7","136","1","250","13990","600"
"7","137","1","250","14240","600"
"7","138","1","250","14490","600"
"7","139","1","250","14740","600"
"7","140","1","250","14990","600"
"8","141","1","250","15240","600"
"8","142","1","250","15490","600"
"8","143","1","250","15740","600"
"8","144","1","250","15990","600"
"8","145","1","250","16240","600"
"8","146","1","250","16490","600"
"8","147","1","250","16740","600"
"8","148","1","250","16990","600"
"8","149","1","250","17240","600"
"8","150","1","250","17490","600"
"9","151","1","250","17740","600"
"9","152","1","250","17990","600"
"9","153","1","250","18240","600"
"9","154","1","250","18490","600"
"9","155","1","250","18740","600"
"9","156","1","250","18990","600"
"9","157","1","250","19240","600"
"9","158","1","250","19490","600"
"9","159","1","250","19740","600"
"9","160","1","250","19990","600"
"10","161","1","250","20240","600"
"10","162","1","250","20490","600"
"10","163","1","250","20740","600"
"10","164","1","250","20990","600"
"10","165","1","250","21240","600"
"10","166","1","250","21490","600"
"10","167","1","250","21740","600"
"10","168","1","250","21990","600"
"10","169","1","250","22240","600"
"10","170","1","250","22490","600"
"11","171","1","250","22740","600"
"11","172","1","250","22990","600"
"11","173","1","250","23240","600"
"11","174","1","250","23490","600"
"11","175","1","250","23740","600"
"11","176","1","250","23990","600"
"11","177","1","250","24240","600"
"11","178","1","250","24490","600"
"11","179","1","250","24740","600"
"11","180","1","250","24990","600"
"12","181","1","250","25240","600"
"12","182","1","250","25490","600"
"12","183","1","250","25740","600"
"12","184","1","250","25990","600"
"12","185","1","250","26240","600"
"12","186","1","250","26490","600"
"12","187","1","250","26740","600"
"12","188","1","250","26990","600"
"12","189","1","250","27240","600"
"12","190","1","250","27490","600"
"13","191","1","250","27740","600"
"13","192","1","250","27990","600"
"13","193","1","250","28240","600"
"13","194","1","250","28490","600"
"13","195","1","250","28740","600"
"13","196","1","250","28990","600"
"13","197","1","250","29240","600"
"13","198","1","250","29490","600"
"13","199","1","250","29740","600"
"13","200","1","250","29990","600"
"14","201","1","250","30240","600"
"14","202","1","250","30490","600"
"14","203","1","250","30740","600"
"14","204","1","250","30990","600"
"14","205","1","250","31240","600"
"14","206","1","250","31490","600"
"14","207","1","250","31740","600"
"14","208","1","250","31990","600"
"14","209","1","250","32240","600"
"14","210","1","250","32490","600"
"15","211","1","250","32740","680"
"15","212","1","250","32990","680"
"15","213","1","250","33240","680"
"15","214","1","250","33490","680"
"15","215","1","250","33740","680"
"15","216","1","250","33990","680"
"15","217","1","250","34240","680"
"15","218","1","250","34490","680"
"15","219","1","250","34740","680"
"15","220","1","250","34990","680"
"16","221","1","250","35240","680"
"16","222","1","250","35490","680"
"16","223","1","250","35740","680"
"16","224","1","250","35990","680"
"16","225","1","250","36240","680"
"16","226","1","250","36490","680"
"16","227","1","250","36740","680"
"16","228","1","250","36990","680"
"16","229","1","250","37240","680"
"16","230","1","250","37490","680"
"17","231","1","250","37740","680"
"17","232","1","250","37990","680"
"17","233","1","250","38240","680"
"17","234","1","250","38490","680"
"17","235","1","250","38740","680"
"17","236","1","250","38990","680"
"17","237","1","250","39240","680"
"17","238","1","250","39490","680"
"17","239","1","250","39740","680"
"17","240","1","250","39990","680"
"18","241","1","250","40240","680"
"18","242","1","250","40490","680"
"18","243","1","250","40740","680"
"18","244","1","250","40990","680"
"18","245","1","250","41240","680"
"18","246","1","250","41490","680"
"18","247","1","250","41740","680"
"18","248","1","250","41990","680"
"18","249","1","250","42240","680"
"18","250","1","250","42490","680"
"19","251","1","250","42740","680"
"19","252","1","250","42990","680"
