846dd0d4447a719b017adf6fa90076d5c21ed4c477f1c9b70b428b448895ff4d,4f9c62da426c69207a8d6e9693f451aa8153aed3f04e1b3c6df76e94d383005e,30a29d0cb8688582d26349b871bede115c60dcbc3c43654600fe874b50e4b7b9,f671abaf07a95d198bc3cd448483df2c5edee4c075a27c7c97cbda8fd9a60893,20b5584d9c9d09be35fb5f80562cf46a1586514a0ccf530edec92f9ab9f90f2c,1fb77ead2bcb27263bea759904d1e4fc1dfc397395b216a9ee16cb25828c28e8,340c75823669b0787d72139d8994b494dc03bad63fed475852be9ec2b35e011e,1658a1d673b9bcf21b8a0ca268870d8c78e7104a641793f0a3fa852e8dc399e3,015aa9a2471d781736e30b2c5c602bd70a55546faa2a86690524fe9b1ae2dbf5,ef27cc15e86b332e119842bf1d50bb63aa59093abced0c97d78fd4cfe2b7825b,94708ebc2387d4ea509eef1673ba875721aef24a4c728792b8e9ac366579e512,21069e13926c284505beb8555268cebfe5341578d020987efbf536b8210f4e94,0b24bad6655ced6581462c8e554f492f449963c6b41573dbcff02b6ef96b66b1,902a09b7d461d5111a60ad1bf67c13e4051b1e806cef4c32cf3d410290a6bb74,6c89630bd87c6137db8f1e6250031ec169c4dea247ba32708b000b2b66772b78,c64b69fc54123612ad87e3b374b1048e851948bd24b796f4594e333e6b4590fd,c978943436d9ebab6a81cd67026b43ff7fa4ab00e6eb7854a05a09d91c061f55,dd40d12c7030b94a5d32fd78bc2beddd137c44a84226ebe87738cac55b7e6257,43e581e5d71a8eb5b61ff1f39857b7bf13f8f43fc156567361e8085f870cf927
"1","610010004","0","10010","0","5","90","0","2","5010321","0","1.5","0","610010401","","0","0","0","0"
"2","610010005","0","10010","0","5","90","0","3","5010322","0","1.5","108","610010402","","0","0","0","0"
"3","610010006","0","10010","0","5","90","0","1","0","0","1.5","0","0","","0","0","0","0"
"1","610011004","0","10011","0","5","90","5011321","1","5011322","0","1.5","0","0","","0","0","0","70"
"2","610011005","0","10011","0","5","90","0","1","5011323","0","1.5","0","0","","0","0","0","40"
"3","610011006","0","10011","0","5","90","0","1","0","0","1.5","0","0","","0","0","0","0"
"1","610012004","3","10012","0","5","90","0","2","5012321","0","1.5","0","610012401","","0","600","1","0"
"2","610012005","0","10012","0","5","90","0","1","5012322","0","1.5","0","0","","0","0","1","51"
"3","610012006","0","10012","0","5","90","0","1","0","0","1.5","0","0","","0","0","1","0"
"1","610013004","3","10013","50","5","90","0","2","5013321","0","1.5","0","610013401","","0.9","600","1","0"
"2","610013005","0","10013","84","5","90","0","1","5013322","0","1.5","0","0","","1","0","0","50"
"3","610013006","0","10013","84","5","90","0","1","0","0","1.5","0","0","","1","0","0","0"
"1","610015004","3","10015","1","5","90","0","2","5015321","0","1.5","0","610015401","","0.9","600","1","0"
"2","610015005","0","10015","-50","5","90","0","1","5015322","0","1.5","0","0","","1.3","0","1","50"
"3","610015006","0","10015","-50","5","90","0","1","0","0","1.5","0","0","","1.3","0","1","0"
"1","610017004","3","10017","50","5","90","0","2","5017321","0","1.5","0","610017401","","0.9","600","1","0"
"2","610017005","0","10017","84","5","90","0","1","5017322","0","1.5","0","0","","1","0","1","50"
"3","610017006","0","10017","84","5","90","0","1","0","0","1.5","0","0","","1","0","1","0"
"1","610019004","0","10019","-50","5","90","5019321","4","5019322","0","1.5","200","610019401","","1.25","0","1","0"
"2","610019005","0","10019","-50","5","90","0","1","5019323","0","1.5","0","0","","1.25","0","1","50"
"3","610019006","0","10019","-50","5","90","0","1","0","0","1.5","0","0","","1.25","0","1","0"
"1","610021004","0","10021","0","5","90","5021321","1","5021322","0","1.5","0","0","","1","0","1","60"
"2","610021005","0","10021","0","5","90","0","3","5021323","0","1.5","30","0","","1","0","1","0"
"3","610021006","0","10021","0","5","90","0","1","0","0","1.5","0","0","","1","0","1","0"
"1","610023004","0","10023","-50","5","135","5023321","1","5023322","0","1.5","0","0","","1.25","0","1","75"
"2","610023005","0","10023","-50","5","135","0","1","5023323","0","1.5","0","0","","1.25","0","1","25"
"3","610023006","0","10023","-50","5","135","0","1","0","0","1.5","0","0","","1.25","0","1","0"
"1","610025004","3","10025","-50","5","140","5025321","2","5025322","0","5.5","0","610025401","","1.25","600","1","0"
"2","610025005","0","10025","-50","5","140","0","1","5025323","0","1.5","0","0","","1.25","0","1","50"
"3","610025006","0","10025","-50","5","140","0","1","0","0","1.5","0","0","","1.25","0","1","0"
"1","610027004","3","10027","-50","5","145","5027321","1","5027322","0","5.5","0","0","","1.25","600","1","60"
"2","610027005","0","10027","-50","5","145","0","2","5027323","0","1.5","0","610027501","","1.25","600","1","0"
"3","610027006","0","10027","-50","5","145","0","1","0","0","1.5","0","0","","1.25","0","1","0"
"1","610029004","3","10029","0","5","145","5029321","2","5029322","0","5.5","0","610029401","","1.5","600","1","0"
