36fc711c2be741d6dcce95cddf34f24842a4a3078f067192b331e69be464bf9a,9ff7afdc4b0e56768b9012931d11da84e23943074d06f734870d099819d8819b,829157e56b7130a23ad38b97ba8f9e63a4612aa7405c7b1f31de48568efa5e34,8a43076dfbff4d1a4d83587c4c9b0fd49c99d725f769aa8ce683ec7c73c3b4aa,31af0f16da12d1ffafb01fff655940b98d758dc672ddc45f45b3c3ebb2947ba5
"0","1","0","0","0"
"0","2","0","0","0"
"0","3","0","0","0"
"2","4","0","0","0"
"2","5","0","0","0"
"2","6","0","0","0"
"3","7","0","0","0"
"3","8","0","0","0"
"3","9","0","0","0"
"4","10","0","0","0"
"4","11","0","0","0"
"4","12","0","0","0"
"0","13","0","0","0"
"0","14","0","0","0"
"0","15","0","0","0"
"0","16","0","0","2"
"0","17","0","0","2"
"0","18","0","0","2"
"0","19","0","0","3"
"0","20","0","0","3"
"0","21","0","0","3"
"3","22","0","0","0"
"3","23","0","0","0"
"2","24","0","0","0"
"2","25","0","0","0"
"0","26","0","0","2"
"0","27","0","0","2"
"2","28","3","0","0"
"2","29","3","0","0"
"3","30","0","0","2"
"3","31","0","0","2"
"3","32","0","0","3"
"0","33","0","0","3"
"3","34","4","0","0"
"0","35","0","0","0"
"2","36","0","0","2"
"2","37","0","0","2"
"4","38","0","0","3"
