6d58dbb51ab56d6b38b7386742d1d72e9daa55915fd59e5fe417dd3f1de648b9,dc1b9cf84c4b4ae287a9e571d686ad4a05f59dadad9cbfcbb735a88d587682e1,740e86808c8ac3f1f0dc0983863223ff2f1064068a2d08cc4b63ebc5cdaa2f2f,5efae36648e7844bc99914c286018a6439a6f0dede52c27161088b9cc558b0d5,2c72ecc502016060dfdc4c7e86a8e2370e6b741acce54ce3644624fc2a4da07a,f9d0b95dd21118f23accd02028292649d15bc3f0486d99465e6db9db81c6c643,770fa5e56107580e613aa00a51781b751d05eada0b719f0492308ade7d522815,6540272299ab30fca139439e26be80aeb3663cecfbaaee7ae624090d3992d66f,5a13b4a6fb1781f9a96436b5045c9cabcbae92943dfb829557f5660bc1fc0318,158eae5e15fa20a91a613e12fa9ebffd5711f1d7a18606698ee4fc1c4861acf0,0230d68ddd2a6f2b91cf6332dfa4c85531fa632fa6c37f4a61d09b5c64d08aff,64988ce3675ebbd28269bd1f9724f7feb5d110b70b22d5091ab698d30fea963b,7aa829118a165f3ba1a7d44a6f51e760250deb4379496c307fe735e23fb7b92c,17a9085fec75b9b7c108eaee86b24ae331470109b12de0c414993d46634def2b,bdc853d7a09201bfb4981cfd2847cab701156ecf7052aff44052a04f5abbc348,c883d72308081d427d0eb194a5da756eafa04bc1d95ba2dee0f640d6c15aec4e,b72441722097d455121cbbc90072a8bef3aad467b1ae57e9c0690c8a09e20f83,a453ddabdc487dfdfc09884474c4f4fb38119c5cb3a5f9744812abd2ca449525,c578241c28eb5312dc064e0387c8b9a98896f7f1b9ed1f7eef7324485ae7f4be,8d6c91f750ae8b0edf6b5965c211d424e04a205e10bea4a06a190896b2274687,3fd84994405612d471bfdd204bc5eb4e535101cb90709a680c25212e9e6900ce,f681de44b25b20154630d791ed0a5b9a710771a8b292d863508df1aba3c24737
"1001","0.6","1","1","1","10010101","250","210","-30","bgm_M64","0.7","0","1","1","-30","10","0.8","-120","-480","101001","101001","0"
"1001","0.75","1","1","1","10010102","0","200","0","bgm_M64","1","0","2","2","-30","10","1.2","-120","-260","101001","101001","0"
"1001","0.75","1","1","1","10010103","100","200","-10","bgm_M64","1","-50","3","3","-30","0","1.1","0","-40","101001","101001","0"
"1001","0.7","1","1","1","10010104","0","200","0","bgm_M64","1","0","4","4","-30","0","1","-50","240","101001","101001","0"
"1001","1.2","1","1","1","10010105","200","250","0","bgm_M55","1","0","5","5","-30","0","1.3","-40","480","101011","101011","0"
"1002","0.6","1","1","1","10020101","250","210","-30","bgm_M64","0.7","0","1","1","-30","10","0.8","-155","-480","101021","101001","0"
"1002","0.75","1","1","1","10020102","250","200","0","bgm_M64","1","0","2","2","-30","10","1.2","-120","-265","101021","101001","0"
"1002","0.9","1","1","1","10020103","100","200","-10","bgm_M64","1","-30","3","3","-30","0","1.4","30","-30","101021","101001","-15"
"1002","1","1","1","1","10020104","100","200","0","bgm_M64","1.25","-30","4","4","-30","0","1.5","-90","220","101021","101001","0"
"1002","1.4","1","1","1","10020105","200","250","0","bgm_M55","1.6","0","5","5","-30","0","1.8","0","440","101031","101011","0"
"1003","0.6","1","1","1","10030101","250","210","-30","bgm_M64","0.7","0","1","1","-30","10","0.8","-155","-470","101041","101041","0"
"1003","0.75","1","1","1","10030102","250","200","0","bgm_M64","1","0","2","2","-30","10","1.2","-95","-210","101041","101041","0"
"1003","0.75","1","1","1","10030103","100","200","-10","bgm_M64","1","-50","3","3","-30","0","1.1","-120","50","101041","101041","0"
"1003","0.8","1","1","1","10030104","100","200","0","bgm_M64","1.2","-30","4","4","-30","0","1.5","35","195","101041","101041","0"
