157b178aa93d512da9dac0a77cffc13e3c01aef6bd1d4e9e61a256ca09127596,72363cacd51aa856011fc444dd4592b8b6f4b35666a92e561314b7e097f04ad7,d53e0ff509252492b73becb5e96080aabbe6402df880ade57939261331823b62,9f13724c2644ec300c1513e3d67a08289eba1f5578c9bfb855e2551e8a5aec3f,eed66c6782ccf29859e7c189f08114bea732f56613c21f2300108adbfa334dc1,66a2bc61ba7ffa9eec0713d13d59228c7c4ab9a1a7e65961512085b2bd4b4479,3112a2eee4a39480cf0a9e7fc2f0cb87accc0cec1a6d91605cd5fa8c12496331,e6da218b6158f0bcc966353db06de599a9116b94a810ca4b9f2db8dbbe7e6215,d219c45994bb632f3ac698269f612b59cba194675c362c5558095acc788a4565
"15","1","20","10701","1","53002","22","15","7"
"14","2","22","10702","1","53002","22","14","7"
"13","3","24","10703","2","53002","22","13","7"
"12","4","26","10704","2","53002","22","12","7"
"11","5","28","10705","3","53002","22","11","7"
"10","6","30","10706","3","53002","22","10","7"
"9","7","32","10707","4","53002","22","9","7"
"8","8","34","10708","4","53002","22","8","7"
"7","9","36","10709","5","53002","22","0","7"
"15","1","20","10801","1","53002","22","15","8"
"14","2","22","10802","1","53002","22","14","8"
"13","3","24","10803","2","53002","22","13","8"
"12","4","26","10804","2","53002","22","12","8"
"11","5","28","10805","3","53002","22","11","8"
"10","6","30","10806","3","53002","22","10","8"
"9","7","32","10807","4","53002","22","9","8"
"8","8","34","10808","4","53002","22","8","8"
"7","9","36","10809","5","53002","22","0","8"
