d8654ccdfd1328115ab1c2ca40a9a56a53762e1ea33c5759ba274bfa5e98c9c5,57b3e850c6d306c7d1a2ed9f2e5a0b9500f125bca9d8b8358e6282e3e567e29e,b800ee8daf3c5e1ce0ca3250a314fe45e56f6af5077f1f38aca7cc5e44553d83,63bdbdf81dd7f70dabefb065839c8c47cd51e3074d43f7217418ba573688ab3e,1b4985041723f7a532b44fdc6bd31132e04655fae98d00e78fb9c5a23d2090d5,128c291d0e1298acb2995624a5d3377258054fc27d4975a6d8d49d507efd9833,6cf292c5590d4f976a8fd83430004f3e03853ea80f707dcd3a6aca1a9bd45969,13bc3c900e92594f635e215519fc90b189c91d47be537aa836992bb0e6d12e6f,8e4349e9239afc294dc0d2efc8b816b5b9311bdff49bc80502567c6d2b9d0cb2,c25d304f177aed95b7aab37cc418cc180dbe1ad60c28fda4c28b1644fd655571,4f33d84b70db3a10b0487c5380b46d12a6d2d35d008c244f4a8bfa2800ab6e0f,6155d1d3a8c701bb8265349731d5d4002a794f6ed4a8def1a8ef042b3afed9f7,8e80d4a5ffcddaf2accc929bc1cea8cb123b3e26a0b1e0017c41a7bd406c4063,07cfb107fbeb69094c2fe0ee7ccb86431851e05e89a13100c1a797ee22f36031,0d931bd31cea14c7f5a681fdbd902953c9c6e4cea0969f05a45520f65f64bd94,121342da9e76a2b8cba09c6ec482dfca77fce617470555e379f8176e132f9779,da169c3ada8757ad52811907406f98d6b958cfbb5a17577115078df950509c6b,f5aa019fa3dbd6579c4e6eb7818749a305bb3419dca30d9632dd87546649618a,d4c601f134b63c3d05384789e0f7ae42ac4e7e5f745db7b0b14c367726c5f11b,e1eaa080ebacab368035b491fe5d6befec5c476f7da6fefd4c23bdf3c36e10d7,1f0d105e27b24375866d1e415df6c9dca30b2a75335b529aec0c3cef17aa335d,ff3fc6911437edd2b6bd37288a4e9ea14c91cd085416d23eeb8b96bfc3800da2,d7133fd10376280e9717feb68e37d9cd6b05ca8f91a1ccd33c2c0667ced0bc4a,e8c1c5c289370109cca5127261170c0d166d8685e33f46b9dce7393bf4c0c57c
"100101","1002","0","0","1","1","0","0","0","0","1002","1","10010101","0","0","7","0","3","1001","0","0","0","1001","0"
"100201","1002","0","0","1","1","1","0","0","0","1002","1","10020101","0","1","10","1001","3","1001","0","0","0","1001","0"
"100301","1","0","0","1","1001","1002","0","0","0","1","1002","10030101","0","0","8","0","4","1","0","0","0","1001","0"
"100401","1002","0","0","1","1","0","0","0","0","1001","1","10040101","0","0","7","0","3","1001","0","0","0","1001","0"
"100501","1002","0","0","1","1","0","0","0","0","1002","1","10050101","0","0","7","0","3","1001","0","0","0","1001","0"
"100601","1002","0","0","1","1","1","0","0","0","1002","1","10060101","0","1001","9","0","3","1001","0","0","0","1001","0"
"100701","1","0","0","1","1","1001","0","0","0","1002","1001","10070101","0","1002","9","0","6","1","0","0","0","1","0"
"100801","1001","0","0","1001","1002","1001","0","0","0","1","1","10080101","0","1","10","1002","3","1","0","0","0","1002","0"
"100901","1001","0","0","1","1","0","0","0","0","1001","1001","10090101","0","0","7","0","3","1001","0","0","0","1","0"
"101001","1002","0","0","1002","1","1","0","0","0","1","1","10100101","0","1002","10","1","3","1001","0","0","0","1001","0"
"101101","1001","0","0","1","1","0","0","0","0","1001","1","10110101","0","0","7","0","3","1002","0","0","0","1002","0"
"101201","1002","0","0","1","1","0","0","0","0","1002","1","10120101","0","0","7","0","3","1001","0","0","0","1001","0"
"101301","1001","0","0","1001","1002","0","0","0","0","1","1","10130101","0","0","7","0","3","1","0","0","0","1002","0"
"101401","1001","0","0","1","1","0","0","0","0","1001","1","10140101","0","0","7","0","3","1002","0","0","0","1002","0"
"101501","1001","0","0","1","1","0","0","0","0","1001","1","10150101","0","0","7","0","3","1002","0","0","0","1002","0"
"101601","1002","0","0","1","1","0","0","0","0","1002","1","10160101","0","0","7","0","3","1001","0","0","0","1001","0"
"101701","1002","0","0","1001","1","1","0","0","0","1","1","10170101","0","1001","9","0","5","1001","0","0","0","1001","0"
"101801","1001","0","0","1","1","0","0","0","0","1001","1","10180101","0","0","7","0","3","1002","0","0","0","1002","0"
