bdddad158467b858c7a696401c684d78557b158e38a124d0627863d4b0bfb80c,d68f26ddcf90f8350954f9e652819178bb5715877d4aa64516980c59761c3b93,abaaed8b53f002f229439a8e34b5c5ba82dfe0713620a16615c133e4d2dab448,8c039c77fa45e42c72e35a7577d4aa55a41bfbc35571d8a9aa8cfc20cc324b94,6c09d21faf3e80f187c5ebf16b9f3c2446635026f87db831d5cd92398584382f,5141ee0c6721dd3f6177aa92a999399cb90afd28ee4f43805facbcfd44a82bbc,ccc70fed471b91970113456937013707d1e15d49475f177b12a754cd25196705,3a51552823971960217f91ca6d25a5a174414329df2997ab292227b2b878a458
"3050100","24","10101020","0","0","1","1","1"
"4010200","24","0","0","0","2","1","2"
"3030200","24","10401020","0","0","3","1","3"
"3050200","24","10401020","0","0","4","1","4"
"3040200","24","10401020","0","0","5","1","5"
"3020200","24","10401020","0","0","6","1","6"
"4010300","24","0","0","0","7","1","7"
"3030100","24","10101020","0","0","101","1","8"
"3010201","24","0","0","0","102","1","9"
"3020201","24","0","0","0","103","1","10"
"3010301","24","0","0","0","104","1","11"
"3030301","24","0","0","0","105","1","12"
"3040301","24","0","0","0","106","1","13"
"3050301","24","0","0","0","107","1","14"
"3020301","24","0","0","0","108","1","15"
"3030300","24","10401050","0","0","109","1","16"
"3040300","24","10401050","0","0","110","1","17"
"3050300","24","10401050","0","0","111","1","18"
"3020300","24","10401050","0","0","112","1","19"
"3010100","24","10101020","0","0","201","1","20"
"3020100","24","10101020","0","0","202","1","21"
"3030100","24","10101020","0","0","203","1","22"
"3040100","24","10101020","0","0","204","1","23"
"3050100","24","10101020","0","0","205","1","24"
"3010200","24","10101020","0","0","206","1","25"
"3020200","24","10101020","0","0","207","1","26"
"3030200","24","10101020","0","0","208","1","27"
"3040200","24","10101020","0","0","209","1","28"
"3050200","24","10101020","0","0","210","1","29"
"1010301","24","0","112","0","401","1","30"
"1020301","24","0","203","0","402","1","31"
"1030301","24","0","306","0","403","1","32"
"1040301","24","0","401","0","404","1","33"
"1050301","24","0","508","0","405","1","34"
"1020301","24","20101050","209","0","406","1","35"
"1030301","24","20101050","306","0","407","1","36"
"1040301","24","20101050","407","0","408","1","37"
"1050301","24","20101050","501","0","409","1","38"
"0","15","0","0","11001337","600","1","39"
"0","8","0","0","91002","600","150","40"
"0","15","0","0","11001338","700","1","41"
"0","8","0","0","91002","799","150","42"
"0","15","0","0","11001339","800","1","43"
"0","24","0","0","0","999","1","44"
