78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"キャラクターソング\n\n時間 / 01:33\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","00:58","bgm_M152","bgm_M152","01:33","Lost Princess","1"
"キャラクターソング\n\n時間 / 01:56\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","01:01","bgm_M153","bgm_M153","01:56","Connecting Happy！！","2"
"メインクエスト\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","00:00","bgm_M61_juke","bgm_M61","01:48","旅の始まり","3"
"メインクエスト\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","00:00","bgm_M62_juke","bgm_M62","01:35","森を駆ける風","4"
"クランバトル\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","00:00","bgm_M90_juke","bgm_M90","01:18","メサルティム","5"
"ストーリーイベントテーマ\n-｢Smiley Contrast｣アレンジ-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","00:00","bgm_M32_juke","bgm_M32","01:02","ハツネのプレゼント大作戦","6"
"ストーリーイベントボスバトル\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","00:00","bgm_M47_juke","bgm_M47","02:34","ジズ","7"
"キャラクターソング\n\n時間 / 01:40\n歌　 / ハツネ（大橋彩香）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","00:57","bgm_M149","bgm_M149","01:40","Smiley Contrast","8"
"クランバトル\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M97_juke","bgm_M97","00:59","ミノタウロス","9"
"ストーリーイベントテーマ\n-｢リトルアドベンチャー｣アレンジ-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","00:00","bgm_M98_juke","bgm_M98","01:00","リトル・リリカル・アドベンチャーズ","10"
"ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","00:00","bgm_M102_juke","bgm_M102","02:31","アルマ","11"
"キャラクターソング\n\n時間 / 01:22\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","00:45","bgm_M145","bgm_M145","01:22","リトルアドベンチャー","12"
"クランバトル\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","00:00","bgm_M139_juke","bgm_M139","01:07","グラットン","13"
"ストーリーイベントテーマ\n-｢もっと！ふたりのパ～ティ～ナイト｣アレンジ-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","00:00","bgm_M135_juke","bgm_M135","01:01","トリックオアプリン！約束のハロウィンパーティー","14"
"ストーリーイベントボスバトル\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M138_juke","bgm_M138","02:26","ジャック・オー・プリン","15"
"キャラクターソング\n\n時間 / 01:21\n歌　 / シノブ（大坪由佳）\n　　　ミヤコ（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","00:46","bgm_M161","bgm_M161","01:21","もっと！ふたりのパ～ティ～ナイト","16"
"メインクエスト\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M140_juke","bgm_M140","01:31","耀う氷の結晶","17"
"キャラクターソング\n\n時間 / 02:01\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","01:00","bgm_M150","bgm_M150","02:01","Shining Future","18"
"キャラクターソング\n\n時間 / 01:31\n歌　 / チカ（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰","00:37","bgm_M143","bgm_M143","01:31","風への誓い","19"
"キャラクターソング\n\n時間 / 01:47\n歌　 / ノゾミ（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎","00:54","bgm_M144","bgm_M144","01:47","君の笑顔が見たいから","20"
"キャラクターソング\n\n時間 / 01:34\n歌　 / ツムギ（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰","00:48","bgm_M148","bgm_M148","01:34","アマノジャクハート！","21"
"メインクエスト\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","00:00","bgm_M42_juke","bgm_M42","01:46","不穏な空気と立ち向かう闘志","22"
"クランバトル\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","00:00","bgm_M104_juke","bgm_M104","01:07","ツインピッグス","23"
"ストーリーイベントテーマ\n-｢Peaceful*ちゃんぷるー｣アレンジ-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:00","bgm_M106_juke","bgm_M106","00:54","ヴァンパイアハンターwithイリヤ","24"
"ストーリーイベントボスバトル\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M109_juke","bgm_M109","03:18","ガルグ","25"
"キャラクターソング\n\n時間 / 01:30\n歌　 / マホ（内田真礼）\n　　　カオリ（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:44","bgm_M151","bgm_M151","01:30","Peaceful*ちゃんぷるー","26"
"クランバトル\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M166_juke","bgm_M166","01:12","レサトパルト","27"
"ストーリーイベントテーマ\n-｢サイツヨでしょ、でしょ？｣アレンジ-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","00:00","bgm_M162_juke","bgm_M162","01:30","トワイライトブレイカーズ","28"
"ストーリーイベントボスバトル\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M165_juke","bgm_M165","02:02","オラム","29"
"キャラクターソング\n\n時間 / 01:22\n歌　 / アンナ（髙野麻美）\n　　　ナナカ（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","00:42","bgm_M176","bgm_M176","01:22","サイツヨでしょ、でしょ？","30"
"メインクエスト\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M141_juke","bgm_M141","02:05","氷海の地","31"
"メインクエスト\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","bgm_M58_juke","bgm_M58","01:08","氷と雪の世界","32"
"メインクエスト\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M101_juke","bgm_M101","01:05","爽やかな風","33"
"クランバトル\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","00:00","bgm_M115_juke","bgm_M115","01:02","カルキノス","34"
"ストーリーイベントテーマ\n-｢えがおのマイホーム｣アレンジ-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","00:00","bgm_M112_juke","bgm_M112","01:05","デンジャラスバカンス！渚のグルメプリンセス","35"
"ストーリーイベントボスバトル\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M116_juke","bgm_M116","02:10","テンタパス","36"
"キャラクターソング\n\n時間 / 01:40\n歌　 / サレン（堀江由衣）\n　　　スズメ（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:00","bgm_M147","bgm_M147","01:40","えがおのマイホーム","37"
"クランバトル\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M175_juke","bgm_M175","00:45","サジタリウス","38"
"ストーリーイベントテーマ\n-｢Ding Dong Holy Night♪｣アレンジ-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）","00:00","bgm_M171_juke","bgm_M171","00:55","忘却のキャロル","39"
"ストーリーイベントボスバトル\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M172_juke","bgm_M172","02:57","フォギー","40"
"キャラクターソング\n\n時間 / 01:28\n歌　 / アヤネ（芹澤優）\n　　　クルミ（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純","00:42","bgm_M187","bgm_M187","01:28","Ding Dong Holy Night♪","41"
"メインクエスト\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:00","bgm_M93_juke","bgm_M93","00:57","険しき乾荒原","42"
"クランバトル\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","00:00","bgm_M119_juke","bgm_M119","01:06","オルレオン","43"
"ストーリーイベントテーマ\n-｢キンキラ☆ハピネス！｣アレンジ-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾","00:00","bgm_M121_juke","bgm_M121","01:10","タマキとミフユの無人島0ルピ生活","44"
"ストーリーイベントボスバトル\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M124_juke","bgm_M124","02:35","島クジラ","45"
"キャラクターソング\n\n時間 / 01:20\n歌　 / タマキ（沼倉愛美）\n　　　ミフユ（田所あずさ）\n　　　アキノ（松嵜麗）\n　　　ユカリ（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也","00:42","bgm_M146","bgm_M146","01:20","キンキラ☆ハピネス！","46"
"メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M179_juke","bgm_M179","01:20","新たな船出","47"
"クランバトル\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M181_juke","bgm_M181","00:58","アルゲティ","48"
"ストーリーイベントテーマ\n-｢TwinkleStars｣アレンジ-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:00","bgm_M182_juke","bgm_M182","00:58","新春トゥインクルクライシス！","49"
"ストーリーイベントボスバトル\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M183_juke","bgm_M183","02:32","邪餅神ガミィ","50"
"キャラクターソング\n\n時間 / 01:24\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","00:45","bgm_M202","bgm_M202","01:24","TwinkleStars","51"
"メインクエスト\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M94_juke","bgm_M94","01:26","酷熱の砂漠","52"
"クランバトル\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M132_juke","bgm_M132","01:25","メデューサ","53"
"ストーリーイベントテーマ\n-｢Aloofness Code｣アレンジ-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","00:00","bgm_M128_juke","bgm_M128","01:29","黒鉄の亡霊（ナイトメア）","54"
"ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M131_juke","bgm_M131","02:28","リビングメイル","55"
"キャラクターソング\n\n時間 / 01:20\n歌　 / ジュン（川澄綾子）\n　　　クリスティーナ（たかはし智秋）\n　　　トモ（茅原実里）\n　　　マツリ（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","00:46","bgm_M154","bgm_M154","01:20","Aloofness Code","56"
"キャラクターソング\n\n時間 / 01:13\n歌　 / キャル（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純","00:44","bgm_M214","bgm_M214","01:13","Absolute Secret","57"
"クランバトル\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","00:00","bgm_M186_juke","bgm_M186","01:00","アクアリオス","58"
"ストーリーイベントテーマ\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵","00:00","bgm_M189_juke","bgm_M189","01:02","バトルオブバレンタイン！想いぶつかるスウィートバトル","59"
"ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M192_juke","bgm_M192","02:24","アグリーラブリー","60"
"キャラクターソング\n\n時間 / 01:15\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","00:40","bgm_M200","bgm_M200","01:15","SUPER CHOCOLATE","61"
"メインクエスト\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","00:00","bgm_M118_juke","bgm_M118","01:07","砂海の中のオアシス","62"
"メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M180_juke","bgm_M180","01:20","不思議な森","63"
"クランバトル\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","00:00","bgm_M205_juke","bgm_M205","01:00","トルペドン","64"
"ストーリーイベントテーマ\n-｢未解決な想い｣アレンジ-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M206_juke","bgm_M206","00:39","王都の名探偵　嘆きの追跡者（ストーカー）","65"
"ストーリーイベントボスバトル\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","00:00","bgm_M209_juke","bgm_M209","02:09","嘆きの女神","66"
"キャラクターソング\n\n時間 / 01:22\n歌　 / マコト（小松未可子）\n　　　カスミ（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","00:38","bgm_M222","bgm_M222","01:22","未解決な想い","67"
"エイプリルフールイベント\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M219_juke","bgm_M219","01:27","ロボリマ来襲！王都滅亡までのカウントダウン","68"
"エイプリルフールイベント\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M220_juke","bgm_M220","01:38","ロボリマ","69"
"エイプリルフールイベント\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M221_juke","bgm_M221","01:12","ロボリマ~終焉~","70"
"ストーリーイベントテーマ\n-｢Crossing Destiny｣アレンジ-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","00:00","bgm_M215_juke","bgm_M215","00:55","アストルムに咲く双輪の華","71"
"ストーリーイベントボスバトル\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","00:00","bgm_M218_juke","bgm_M218","01:45","コア・ギガース","72"
"キャラクターソング\n\n時間 / 01:30\n歌　 / アン（日笠陽子）\n　　　グレア（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","00:54","bgm_M235","bgm_M235","01:30","Crossing Destiny","73"
"メインクエスト\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","00:00","bgm_M232_juke","bgm_M232","00:55","岩峰に潜むもの","74"
"ストーリーイベントテーマ\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","00:00","bgm_M223_juke","bgm_M223","00:59","ショーグン道中記　白翼のサムライ","75"
"ストーリーイベントボスバトル\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M226_juke","bgm_M226","01:58","アクダイカン","76"
"キャラクターソング\n\n時間 / 01:13\n歌　 / モニカ（辻あゆみ）\n　　　ユキ（大空直美）\n　　　ニノン（佐藤聡美）\n　　　クウカ（長妻樹里）\n　　　アユミ（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","00:42","bgm_M236","bgm_M236","01:13","白翼のグローリエ","77"
"メインクエスト\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","bgm_M95_juke","bgm_M95","1:20","火山の麓","78"
"メインクエスト\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","00:00","bgm_M96_juke","bgm_M96","1:02","厳烈なる荒地","79"
"ストーリーイベントボスバトル\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","00:00","bgm_M231_juke","bgm_M231","2:33","怠惰の狂人","80"
"メインクエスト\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M233_juke","bgm_M233","1:08","鼓の音響く森","81"
"ストーリーイベントテーマ\n-｢背伸びFirst Kiss｣アレンジ-\n\n時間 / 00:52\n作曲 / 設楽哲也\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M237_juke","bgm_M237","0:52","スズナレインボーステージ！","82"
"ストーリーイベントボスバトル\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","00:00","bgm_M240_juke","bgm_M240","2:47","雨神様","83"
"キャラクターソング\n\n時間 / 01:19\n歌　 / イオ（伊藤静）\n　　　スズナ（上坂すみれ）\n　　　ミサキ（久野美咲）\n作詞 / 野村イクミ&滝沢和也（Cygames）\n作曲 / 設楽哲也\n編曲 / 設楽哲也","00:45","bgm_M252","bgm_M252","1:19","背伸びFirst Kiss","84"
"ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","00:00","bgm_M199_juke","bgm_M199","00:31","お兄ちゃん争奪！　シズルのお手伝い","85"
"ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","00:00","bgm_M198_juke","bgm_M198","00:34","お兄ちゃん争奪！　エリコのお手伝い","86"
"ストーリーイベントテーマ\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","00:00","bgm_M245_juke","bgm_M245","00:57","真夏のマホマホ王国　波打ち際のソウルサマー！","87"
"ストーリーイベントボスバトル\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:00","bgm_M248_juke","bgm_M248","02:03","マジムン","88"
"キャラクターソング\n\n時間 / 01:18\n歌　 / マホ（内田真礼）\n　　　マコト（小松未可子）\n　　　カオリ（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","00:44","bgm_M263","bgm_M263","01:18","We Are Golden","89"
"ミニゲーム\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","0:00","bgm_M227_juke","bgm_M227","0:30","クウカ大回転","90"
"ストーリーイベントテーマ\n-｢なかよしセンセーション｣アレンジ-\n\n時間 / 00:57\n作曲 / 大久保薫\n編曲 / 中村早織（Cygames）","0:00","bgm_M254_juke","bgm_M254","0:57","森の臆病者と聖なる学舎の異端児","91"
"ストーリーイベントボスバトル\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","bgm_M257_juke","bgm_M257","2:45","オオドクマンドラゴラ","92"
"キャラクターソング\n\n時間 / 01:20\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薫\n編曲 / 大久保薫","00:47","bgm_M272","bgm_M272","01:20","なかよしセンセーション","93"
"メインクエスト\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","bgm_M260_juke","bgm_M260","1:00","不穏の根を踏み越えて","94"
"ミニゲーム\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","0:00","bgm_M249_juke","bgm_M249","0:34","カオリのマブイ式空手道場","95"
"ストーリーイベントテーマ\n-｢トリックホリック｣アレンジ-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","0:00","bgm_M265_juke","bgm_M265","0:52","リトル・ブレイブ・ハロウィンナイト！","96"
"ストーリーイベントボスバトル\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M268_juke","bgm_M268","2:50","ファントムバロン","97"
