401f308124b87e9f82eedc01db11943988c94eab25360ab55c2639a5ade18c41,1fe3702a61c49b0e1ebfc7cf27a6a5a124db8e85bf269864908990a7ec20f83e,9a3ca2b7dcddabd944d757c369f8b023886adb33aa73931afa013839ebea728d,7e12f4aa9009ad3852cfcf97c766022a954f945e9eba1dc4892322d48865fb95
"100101","戦闘不能になったキャラが0人以下で勝利","1001","0"
"100102","戦闘不能になったキャラが1人以下で勝利","1001","1"
"100103","戦闘不能になったキャラが2人以下で勝利","1001","2"
"100201","バトルの残り時間が1:15以上で勝利","1002","74001"
"100202","バトルの残り時間が1:10以上で勝利","1002","69001"
"100203","バトルの残り時間が1:00以上で勝利","1002","59001"
"100204","バトルの残り時間が0:50以上で勝利","1002","49001"
"100205","バトルの残り時間が0:45以上で勝利","1002","44001"
"100206","バトルの残り時間が0:40以上で勝利","1002","39001"
"100207","バトルの残り時間が0:30以上で勝利","1002","29001"
"100301","味方のTotal HPが100%以上で勝利","1003","1000"
"100302","味方のTotal HPが90%以上で勝利","1003","900"
"100303","味方のTotal HPが80%以上で勝利","1003","800"
"100304","味方のTotal HPが70%以上で勝利","1003","700"
"100305","味方のTotal HPが60%以上で勝利","1003","600"
"100306","味方のTotal HPが50%以上で勝利","1003","500"
