77a68f279ae3e782ae8bd24471dad37dd62cbb00f9d32709f6a57cee11e8d491,de2c350000e710657a369f5f8a525e5b93aa12efc88c23a78c119f572722a998,c35e37179d02d1dd21aa8ee95c87b401f110a8135f18c04498bfe2cc466b0059,87a9f5043e23a8f67c4226fbc0b5985b9bb1e1c724ac170777da91bb58bbbc84,634ea85e3327aa913d63dc9b9ff1c65789dcbbdc4386645a35329821db402718
"1","3","1","2","10201"
"2","3","2","2","10202"
"3","3","3","2","10203"
"4","10","4","2","10301"
"5","10","5","2","10302"
"6","10","6","2","10303"
"7","10","7","2","10304"
"8","20","8","2","10401"
"9","20","9","2","10402"
"10","20","10","2","10403"
"11","20","11","2","10404"
"12","20","12","2","10405"
"13","20","13","2","10406"
"14","20","14","2","10407"
"15","20","15","2","10408"
"16","20","16","2","10409"
"17","3","1","1","10701"
"18","3","2","1","10601"
"19","3","3","1","10602"
"20","3","4","1","10603"
"21","3","5","1","10604"
"22","10","6","1","11301"
"23","10","7","1","11302"
"24","10","8","1","11303"
"25","20","9","1","11401"
"26","20","10","1","11402"
"27","20","11","1","11403"
"28","20","12","1","11601"
"29","20","13","1","11602"
"30","20","14","1","11603"
"31","20","15","1","11604"
"32","20","16","1","11605"
"33","20","17","1","11606"
"34","20","18","1","11101"
"35","20","19","1","11102"
"36","20","20","1","11103"
"37","20","21","1","11701"
"38","20","22","1","11702"
"39","20","23","1","11703"
"40","3","1","3","10501"
"41","3","2","3","10502"
"42","3","3","3","10503"
"43","10","4","3","11201"
"44","10","5","3","10801"
"45","10","6","3","10802"
"46","10","7","3","10803"
"47","10","8","3","10804"
"48","20","9","3","10901"
"49","20","10","3","10902"
"50","20","11","3","10903"
"51","20","12","3","10904"
"52","20","13","3","11001"
"53","20","14","3","11002"
"54","20","15","3","11003"
"55","20","16","3","11501"
"56","20","17","3","11502"
"57","20","18","3","11503"
"58","20","19","3","11504"
"59","20","20","3","11505"
"60","20","21","3","11506"
