c08b42c656478406dc00f7759715090da87ea3e618a156bdc6344cf7c62dc191,f3fe87c67f888522f4b91159bbb79e4b3d1aa52904abb6f6d300d7b9e5a936e9,ca248c4843b62a2625fecc239ec89305d0af3416a7bd2f600973ffbb772972d0,160c6d5ae0aaa639b6aedc6a1e22b2f23705ec4cf38cea9e40e9bb64d897ecef,6ccdd06355552640b26f1e91dbd644f4499dbe48fbd0ca0f97f7668b9e393517,9215c422c4b4dde25e607075ac57834cd51ccbd4c1e24114d940df895a3f2e16,59bc14667fb6bf0bcd81271aa7b075451715f18507d867e0991fd9186b38af68,48ef081fbba2a3209249ea230ff7f0f3114ab2c246e802f64e8d9a4237a4b0d4,1748d1e9f9c5e3417c15d7bc8695672cc940606eb44eb88ff294da5a8866eb5a
"1","3","1","2","1","1","0","唯一無二の","1"
"2","3","1","2","1","1","0","完全無欠の","1"
"3","3","1","2","1","1","1","ランドソル最速の","1"
"4","3","1","2","1","1","0","明鏡止水の","1"
"5","3","1","2","1","1","0","史上最速の","1"
"6","3","1","2","1","1","0","最強最速の","1"
"7","3","1","2","1","1","2","アルティメット","1"
"8","3","1","2","1","1","0","百点満点","1"
"9","3","1","2","1","1","0","最優秀","1"
"10","3","1","2","1","1","0","一騎当千の","1"
"11","3","1","2","1","1","0","唯一無二の","1"
"12","3","1","2","1","1","0","天下無双の","1"
"13","3","1","2","1","1","0","泰然自若の","0"
"14","3","1","2","1","1","0","ハイパー","0"
"15","3","1","2","1","1","0","光速の","0"
"16","3","1","2","1","1","0","稀代の","0"
"17","3","1","2","1","1","0","極限の","0"
"18","3","1","2","1","1","0","至高の","0"
"19","3","1","2","1","1","0","煌めく","0"
"20","3","1","2","1","1","0","百戦錬磨の","0"
"21","3","1","2","1","1","0","疾風迅雷の","0"
"22","3","1","2","1","1","0","電光石火の","0"
"23","3","1","2","0","1","0","変幻自在の","1"
"24","3","1","2","0","1","0","空前絶後の","1"
"25","3","1","2","0","1","0","レペゼン","1"
"26","3","1","2","0","1","0","音速の","1"
"27","3","1","2","0","1","0","常識外れの","1"
"28","3","1","2","0","1","0","獅子奮迅の","1"
