d12af1547dd692a7d97553ae8af51bc4d652adfbfca139585fc0067ec4fe4a67,b4c0bbb0037a5d1a10d85a9846829f753199b5510be12b6af2826cd49cff7853,44c48d0090816f497e6a439bdfb387914a0952410478eee51ba51ebc9ad5275f,e0e7c26e33b94b2380746c8dcee758b9bc20a258f035dd154de7e132cc42f396,7e860a450c28553052296bce91925b2972be1a44ef91fd50f0b65ec630d5510c
"20","0","30","999","1"
"20","24","30","999","2"
"21","32","30","999","3"
"21","40","30","999","4"
"22","48","30","999","5"
"22","64","30","999","6"
"23","80","30","999","7"
"23","96","30","999","8"
"24","120","30","999","9"
"24","168","30","999","10"
"25","224","30","999","11"
"25","280","30","999","12"
"26","344","30","999","13"
"26","420","30","999","14"
"27","502","30","999","15"
"28","584","30","999","16"
"30","666","30","999","17"
"35","748","30","999","18"
"40","830","30","999","19"
"45","930","30","999","20"
"50","1040","30","999","21"
"55","1178","30","999","22"
"60","1316","30","999","23"
"70","1458","30","999","24"
"80","1604","30","999","25"
"85","1755","30","999","26"
"85","1910","30","999","27"
"86","2070","30","999","28"
"87","2235","30","999","29"
"88","2405","30","999","30"
"89","2579","30","999","31"
"90","2760","30","999","32"
"91","2945","30","999","33"
"92","3136","30","999","34"
"93","3333","30","999","35"
"94","3535","30","999","36"
"95","3744","30","999","37"
"96","3974","30","999","38"
"97","4226","30","999","39"
"98","4504","30","999","40"
"99","4810","30","999","41"
"100","5152","30","999","42"
"101","5535","30","999","43"
"102","5965","30","999","44"
"103","6446","30","999","45"
"104","7004","30","999","46"
"105","7651","30","999","47"
"106","8401","30","999","48"
"107","9272","30","999","49"
"108","10282","30","999","50"
"109","11454","30","999","51"
"110","12813","30","999","52"
"111","14389","30","999","53"
"112","16159","30","999","54"
"113","17929","30","999","55"
"114","19699","30","999","56"
"115","21469","30","999","57"
"116","23239","30","999","58"
"117","25009","30","999","59"
"118","26779","30","999","60"
"119","28549","30","999","61"
"120","30319","30","999","62"
"121","32089","30","999","63"
"122","33859","30","999","64"
"123","35629","30","999","65"
"124","38284","30","999","66"
"125","40939","30","999","67"
"126","43594","30","999","68"
"127","46249","30","999","69"
"128","48904","30","999","70"
"129","51559","30","999","71"
"130","54214","30","999","72"
"131","56869","30","999","73"
"132","59524","30","999","74"
"133","62179","30","999","75"
"134","64834","30","999","76"
"135","68374","30","999","77"
"136","71914","30","999","78"
"137","75454","30","999","79"
"138","78994","30","999","80"
"139","82534","30","999","81"
"140","86074","30","999","82"
"141","89614","30","999","83"
"142","93154","30","999","84"
"143","96694","30","999","85"
"144","100234","30","999","86"
"145","103774","30","999","87"
"146","107314","30","999","88"
"147","110854","30","999","89"
"148","114394","30","999","90"
"149","117934","30","999","91"
"150","121474","30","999","92"
"151","125014","30","999","93"
"152","128554","30","999","94"
"153","132094","30","999","95"
"154","135634","30","999","96"
"155","139174","30","999","97"
"156","142714","30","999","98"
"157","146254","30","999","99"
"158","149794","30","999","100"
"159","153334","30","999","101"
