f35887044ae4ba2b5a2745faa3155ecf83fe2d6476ceefabc399461968971cf6,42cd6856a18c12fdb8357d09ad2ee8727efbc29d457a8bb0a70926d2bc676321,0c115fcbc812ec0419adb9786a1f7724dd88120f4deb7f10bc5633d940b9cf3f,b3b06458d1460483305477212ae80f967866cf7f678c41184cfaa2df589a8f7e,9b27932be246e14ba2f43b1baa20f01c88c4f3964fd3ad461be36eac6448bcda
"1","0","111011101","3","1"
"1","0","111021101","3","1"
"1","0","133011101","3","1"
"1","0","133011201","5","1"
"1","0","133020101","3","1"
"1","1","133020201","3","1"
"1","0","133030101","3","1"
"2","0","133030201","3","1"
"3","0","133030301","3","1"
"1","1","133030401","3","1"
"2","1","133030501","3","1"
"3","1","133030601","3","1"
"1","0","133040101","3","1"
"1","1","133040201","3","1"
"1","2","133040301","3","1"
"1","3","133040401","3","1"
"1","0","133051101","3","1"
"1","0","133051201","5","1"
"1","0","134010101","3","2"
"3","0","134010201","3","2"
"1","0","134021101","3","1"
"1","0","134021201","5","1"
"1","0","140010101","4","2"
"1","1","140010201","1","2"
"1","0","140010301","1","2"
"3","0","140020101","1","1"
