99f8941735c0f3258aa52f6a5841001add433553cc6cd8cfe966c970ed16f5d8,a8b0face1cbd5b794fad63e1517316928b9a2d2b5fd264663865358462a81cfb,dfeb53827b2c98499447b1249d69756d670eedafbcbc4bd3ed4070e6797e68a1
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
