1a065cd2b0d68890ed5d7208813b633111521472af73ab62f88723d8779078f5,1182ee776e9e5f6015ffb70ef877cbeb78ab7cfcbd25029e590c83c335ca4005,d3e07ee81edc75b490e4daeada588a68889766c6e96d9bd11280009bc7dfe234,3ff575f18757389a1ecc09a61775cb3198ef9d58abf876dd598bb8d98f9b4eda,bbed4a4316e0cb98d462df443149f11514c5a661f68012e3b29985fe00936d4d,a29022e8732a52607980e2a17e6f301f9300623cd769f5898dd678f0450ed62a
"2","200","100","0","1",""
"300","200","101","2","2",""
"100207","201","200","7","200",""
"100206","100900","200","6","201",""
"302","301","300","0","300",""
"100301","302","301","0","301",""
"303","100910","200","1","302",""
"100201","100910","200","2","303",""
"0","0","0","0","100201","201"
"0","0","0","0","100206","206"
"0","0","0","0","100207","207"
"0","0","0","0","100301","301"
"0","0","300","0","100900","1"
"0","0","0","0","100901","1"
"0","0","0","0","100910","1,2000"
