8a21e521a086d43531c80509f3a5e9186e557ecf772d7f1311884abbab1f2c4d,fdfd144245df34179baa824d4737fb725c78de22bc14a5f7e3b367da8cc5e8b6,939d6c55f197a6cc06f2dd4b3ff239d1847059344c9be5e0107f2810879a94d0,712f86db4556b13d668dbfa1d786467cdd181861b3b92ff6ccf1ca17fb098ea4,daea4f2386bcde4c1288ecbf0f415d35f67a24e4f1327b0cc4ec40307ab126f2,877d8a99f14eafd688f443657c2a92b1fa2ebe32df9cc0a37e37ed3ec05f40f4,f98fc50eacd5d96127a7996327cb12bc0632175adad864865fe60c26fe0d1c76,fefe76352243e6476d22f942629289c0fbb36d9aeb69de130d5dfb15f6fa4ab4,2f7a35702dcb414ba3e2c5f10a15edab4ee45c0fd59367f72fda177441d61f21
"-1","22","6","8","53003","5","10001","7","1"
"-1","22","6","4","53002","5","10002","7","1"
"5","22","5","6","53003","4","10101","6","1"
"5","22","5","5","53002","4","10102","6","1"
"4","22","4","5","53003","3","10201","5","1"
"4","22","4","5","53002","3","10202","5","1"
"3","22","3","4","53003","3","10301","4","1"
"3","22","3","3","53002","3","10302","4","1"
"2","22","2","3","53003","2","10401","3","1"
"2","22","2","2","53002","2","10402","3","1"
"1","22","1","2","53003","1","10501","2","1"
"1","22","1","1","53002","1","10502","2","1"
"0","22","0","2","53002","1","10601","1","1"
"-1","22","6","8","53003","5","10701","7","2"
"-1","22","6","4","53002","5","10702","7","2"
"5","22","5","6","53003","4","10801","6","2"
"5","22","5","5","53002","4","10802","6","2"
"4","22","4","5","53003","3","10901","5","2"
"4","22","4","5","53002","3","10902","5","2"
"3","22","3","4","53003","3","11001","4","2"
"3","22","3","3","53002","3","11002","4","2"
"2","22","2","3","53003","2","11101","3","2"
"2","22","2","2","53002","2","11102","3","2"
"1","22","1","2","53003","1","11201","2","2"
"1","22","1","1","53002","1","11202","2","2"
"0","22","0","2","53002","1","11301","1","2"
"-1","22","6","8","53003","5","11401","7","3"
"-1","22","6","4","53002","5","11402","7","3"
"5","22","5","6","53003","4","11501","6","3"
"5","22","5","5","53002","4","11502","6","3"
"4","22","4","5","53003","3","11601","5","3"
"4","22","4","5","53002","3","11602","5","3"
"3","22","3","4","53003","3","11701","4","3"
"3","22","3","3","53002","3","11702","4","3"
"2","22","2","3","53003","2","11801","3","3"
"2","22","2","2","53002","2","11802","3","3"
"1","22","1","2","53003","1","11901","2","3"
"1","22","1","1","53002","1","11902","2","3"
"0","22","0","2","53002","1","12001","1","3"
"-1","22","6","8","53003","5","12101","7","4"
"-1","22","6","4","53002","5","12102","7","4"
"5","22","5","6","53003","4","12201","6","4"
"5","22","5","5","53002","4","12202","6","4"
"4","22","4","5","53003","3","12301","5","4"
"4","22","4","5","53002","3","12302","5","4"
"3","22","3","4","53003","3","12401","4","4"
"3","22","3","3","53002","3","12402","4","4"
"2","22","2","3","53003","2","12501","3","4"
"2","22","2","2","53002","2","12502","3","4"
"1","22","1","2","53003","1","12601","2","4"
"1","22","1","1","53002","1","12602","2","4"
"0","22","0","2","53002","1","12701","1","4"
"-1","22","6","8","53003","5","12801","7","5"
"-1","22","6","4","53002","5","12802","7","5"
"5","22","5","6","53003","4","12901","6","5"
"5","22","5","5","53002","4","12902","6","5"
"4","22","4","5","53003","3","13001","5","5"
"4","22","4","5","53002","3","13002","5","5"
"3","22","3","4","53003","3","13101","4","5"
"3","22","3","3","53002","3","13102","4","5"
"2","22","2","3","53003","2","13201","3","5"
"2","22","2","2","53002","2","13202","3","5"
"1","22","1","2","53003","1","13301","2","5"
"1","22","1","1","53002","1","13302","2","5"
"0","22","0","2","53002","1","13401","1","5"
"-1","22","6","8","53003","5","13501","7","6"
"-1","22","6","4","53002","5","13502","7","6"
"5","22","5","6","53003","4","13601","6","6"
"5","22","5","5","53002","4","13702","6","6"
"4","22","4","5","53003","3","13801","5","6"
"4","22","4","5","53002","3","13902","5","6"
"3","22","3","4","53003","3","14001","4","6"
"3","22","3","3","53002","3","14002","4","6"
"2","22","2","3","53003","2","14101","3","6"
"2","22","2","2","53002","2","14102","3","6"
"1","22","1","2","53003","1","14201","2","6"
"1","22","1","1","53002","1","14202","2","6"
"0","22","0","2","53002","1","14301","1","6"
"-1","22","6","8","53003","5","14401","7","7"
"-1","22","6","4","53002","5","14402","7","7"
"5","22","5","6","53003","4","14501","6","7"
"5","22","5","5","53002","4","14502","6","7"
"4","22","4","5","53003","3","14601","5","7"
"4","22","4","5","53002","3","14701","5","7"
"3","22","3","4","53003","3","14801","4","7"
"3","22","3","3","53002","3","14802","4","7"
"2","22","2","3","53003","2","14901","3","7"
"2","22","2","2","53002","2","14902","3","7"
"1","22","1","2","53003","1","15001","2","7"
"1","22","1","1","53002","1","15002","2","7"
"0","22","0","2","53002","1","15101","1","7"
"-1","22","6","8","53003","5","15201","7","8"
"-1","22","6","4","53002","5","15202","7","8"
"5","22","5","6","53003","4","15301","6","8"
"5","22","5","5","53002","4","15302","6","8"
"4","22","4","5","53003","3","15401","5","8"
"4","22","4","5","53002","3","15402","5","8"
"3","22","3","4","53003","3","15501","4","8"
"3","22","3","3","53002","3","15502","4","8"
"2","22","2","3","53003","2","15601","3","8"
"2","22","2","2","53002","2","15602","3","8"
"1","22","1","2","53003","1","15701","2","8"
"1","22","1","1","53002","1","15702","2","8"
"0","22","0","2","53002","1","15901","1","8"
