9dc4aba7e1d65870b10a86293c2b9d0dd478f8f2deb7470feb03b82539eef8fa,ac68b79d647558835999c0258bd9a0f00693340c9980d4e705be9c42c0adfffd,0c762160920c90822c8fc040aff69f0e6a207fe9cb59888290dbc76507ce8dfd,8bdd5ff82b9c29d7111604c26d5398dadda4f0c686562b54be45aad9ffd86daf,1bd292797a314a93debc66753f2d982d20a46999c781eb8841d3de2c50ea748a,bde14df0ed4484f10fc6da957503b7700af72e7462eac0333d700db89ebe0a65,2036418cd5bc861eda15f50af7798a2b065e1bdc7b943fac010832b3af55d71b,8dbdd80b0f6cec277fbb83f393ff867bf3b148e0e4037d160d0f7d0fd8a411cf,6949964f4e68363e7aa172e45725b9d47fd69456a1a9dced71f419bcdb038e6e,cc765a2fa6d0915c0c61843c9c9789f5539cda415a1f3609d92ad72869f5a0d7,96d6ab0dd7f1364b9f131005b4c96300ed3220e46395bfdefa499f08793689d9
"1","1","1","-224","drama_idle","167","1001","1.65","100","1","129811"
"1","1","1","-224","drama_idle","-49","1002","1.65","100","0","129911"
"1","129811","3","","","","1003","0.2","1","","drama_idle"
"1","129911","3","1","","drama_talk_arm_crossed_loop","1004","0.2","0","0","drama_talk_arm_crossed_in"
"1","vo_minigame_1013","21","","","0","1005","","0","","vo_minigame_1013_top_talk_1_000"
"1","129911","11","0","0","1","1006","0","6","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね"
"1","0","91","","","","1007","","","",""
"1","129911","3","","","","1008","0.2","1","","drama_idle_arm_crossed"
"1","129811","3","1","","drama_talk_doya_loop_smile","1009","0.2","0","0","drama_talk_doya_in_smile"
"1","vo_minigame_1013","21","","","0","1010","","0","","vo_minigame_1013_top_talk_1_001"
"1","129811","11","0","0.3","1","1011","0","6","0","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～"
"1","0","91","","","","1012","","","",""
"1","129811","3","","","","1013","0.2","1","","drama_idle_arm_crossed"
"1","129911","3","1","","drama_talk_smile_loop","1014","0.2","0","0","drama_talk_smile_in"
"1","vo_minigame_1013","21","","","0","1015","","0","","vo_minigame_1013_top_talk_1_002"
"1","129911","11","0","0.5","1","1016","0","5","0","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです"
"1","0","91","","","","1017","","","",""
"1","129911","3","","","","1018","0.2","1","","drama_idle"
"1","129811","3","","","","1019","0.2","1","","drama_idle"
"2","1","1","-224","drama_idle","167","2001","1.65","100","1","129811"
"2","1","1","-224","drama_idle","-49","2002","1.65","100","0","129911"
"2","129911","3","","","","2003","0.2","1","","drama_idle"
"2","129811","3","1","","drama_talk_admire_loop","2004","0.2","0","","drama_talk_admire_in"
"2","vo_minigame_1013","21","","","0","2005","","0","","vo_minigame_1013_top_talk_2_000"
"2","129811","11","0","0.5","1","2006","0","7","0","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ"
"2","0","91","","","","2007","","","",""
"2","129811","3","","","","2008","0.2","1","","drama_idle_admire"
"2","129911","3","1","","drama_talk_arm_crossed_loop","2009","0.2","0","","drama_talk_arm_crossed_in"
"2","vo_minigame_1013","21","","","0","2010","","0","","vo_minigame_1013_top_talk_2_001"
"2","129911","11","0","0.3","1","2011","0","5","0","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう"
"2","0","91","","","","2012","","","",""
"2","129911","3","","","","2013","0.2","1","","drama_idle_arm_crossed"
"2","129811","3","1","","drama_talk_guts2_loop","2014","0.2","0","","drama_talk_guts2_in"
"2","vo_minigame_1013","21","","","0","2015","","0","","vo_minigame_1013_top_talk_2_002"
"2","129811","11","0","0.3","1","2016","0","8","0","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！"
"2","0","91","","","","2017","","","",""
"2","129811","3","","","","2018","0.2","1","","drama_idle"
"2","129911","3","","","","2019","0.2","1","","drama_idle"
"3","1","1","-224","drama_idle","167","3001","1.65","100","1","129811"
"3","1","1","-224","drama_idle","-49","3002","1.65","100","0","129911"
"3","129811","3","","","","3003","0.2","1","","drama_idle"
"3","129911","3","","","","3004","0.2","1","","drama_talk_thinking"
"3","vo_minigame_1013","21","","","0","3005","","0","","vo_minigame_1013_top_talk_3_000"
"3","129911","11","0","0.8","1","3006","0","5","0","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね"
"3","0","91","","","","3007","","","",""
"3","129911","3","","","","3008","0.2","1","","drama_idle_thinking"
"3","129811","3","1","","drama_talk_sad_loop","3009","0.2","0","","drama_talk_sad_in"
"3","vo_minigame_1013","21","","","0","3010","","0","","vo_minigame_1013_top_talk_3_001"
"3","129811","11","0","0.5","1","3011","0","7","0","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか"
"3","0","91","","","","3012","","","",""
"3","129811","3","","","","3013","0.2","1","","drama_idle_sad"
"3","129911","3","1","","drama_talk_arm_crossed_loop","3014","0.2","0","","drama_talk_arm_crossed_in"
"3","vo_minigame_1013","21","","","0","3015","","0","","vo_minigame_1013_top_talk_3_002"
"3","129911","11","0","0.3","1","3016","0","6","0","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう"
"3","0","91","","","","3017","","","",""
"3","129811","3","","","","3018","0.2","1","","drama_idle"
"3","129911","3","","","","3019","0.2","1","","drama_idle"
"4","1","1","-224","drama_idle","167","4001","1.65","100","1","129811"
"4","1","1","-224","drama_idle","-49","4002","1.65","100","0","129911"
"4","129911","3","","","","4003","0.2","1","","drama_idle"
"4","129811","3","1","","drama_talk_doya_loop_shy","4004","0.2","0","","drama_talk_doya_in_shy"
"4","vo_minigame_1013","21","","","0","4005","","0","","vo_minigame_1013_top_talk_4_000"
