882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970
"ヒヨリ","東山奈央","0","2","155","27","44","16","100101","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","8","トゥインクルウィッシュ","獣人族","人助けが大好き！　前向き格闘娘","A","人助け、応援"
"ユイ","種田梨沙","0","2","158","5","47","17","100201","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","4","トゥインクルウィッシュ","ヒューマン","戦闘のサポートが得意な、心優しい少女","O","料理、人間観察"
"レイ","早見沙織","0","2","163","12","46","18","100301","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","1","トゥインクルウィッシュ","魔族","クールで何事にも真っ直ぐな剣士","B","読書、乗馬、お茶"
"ミソギ","諸星すみれ","0","5","128","10","27","9","100401","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","8","リトルリリカル","ヒューマン","探検好きのイタズラっ子","O","いたずら、探検"
"マツリ","下田麻美","0","8","146","25","40","12","100501","？？？","11","王宮騎士団（NIGHTMARE）","獣人族","ヒーローに憧れる騎士見習いの少女","O","ヒーローごっこ"
"アカリ","浅倉杏美","0","7","150","22","42","13","100601","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","11","悪魔偽王国軍（ディアボロス）","魔族","甘え上手なみんなの人気者","O","サックス"
"ミヤコ","雨宮天","0","7","130","23","32","14","100701","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","1","悪魔偽王国軍（ディアボロス）","魔族","プリン大好きゴースト娘","B","プリンを食べること"
"ユキ","大空直美","0","15","150","10","40","14","100801","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","10","ヴァイスフリューゲル　ランドソル支部","エルフ","ボクは誰よりも美しい","AB","鏡で自分を見ること"
"アンナ","髙野麻美","0","13","159","5","45","17","100901","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","7","トワイライトキャラバン","魔族","前世を信じる中二病患者、「疾風の冥姫」","A","小説執筆"
"マホ","内田真礼","0","10","155","22","42","16","101001","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","9","自警団（カォン）","獣人族","マホマホ王国のプリンセス","O","空想、ぬいぐるみ集め"
"リノ","阿澄佳奈","0","3","156","25","44","15","101101","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","8","ラビリンス","ヒューマン","人懐っこくてマシンガントークな妹系少女","A","お裁縫"
