129ed0203c367d1d0e16d8e3cf501967295fe8d24a77434f936ebd1bae67d8b8,9cc9f8485bc091e291ed9491bde1c6218be08e3440ac2dd16fbba2a07f32e3d7,8a309f0503fd6509a5a0a65a6c4199f42e3853ca8ca4fb06a088813bead2cecc
"#E24E7F","pink","101"
"#E24E7F","pink","102"
"#E24E7F","pink","103"
"#E24E7F","pink","104"
"#E24E7F","pink","105"
"#E24E7F","pink","106"
"#E24E7F","pink","107"
"#E24E7F","pink","108"
"#E24E7F","pink","109"
"#E24E7F","pink","110"
"#3290D4","lightblue","200"
"#3290D4","lightblue","201"
"#3290D4","lightblue","202"
"#3290D4","lightblue","203"
"#3290D4","lightblue","204"
"#3290D4","lightblue","205"
"#3290D4","lightblue","206"
"#3290D4","lightblue","207"
"#3290D4","lightblue","208"
"#3290D4","lightblue","209"
"#3290D4","lightblue","210"
"#3290D4","lightblue","211"
"#E5681E","orange","301"
"#E5681E","orange","302"
"#E5681E","orange","303"
"#E5681E","orange","304"
"#E5681E","orange","305"
"#E5681E","orange","306"
"#C09825","yellow","401"
"#C09825","yellow","402"
"#C09825","yellow","403"
"#C09825","yellow","404"
"#C09825","yellow","405"
"#476FD8","blue","501"
"#339910","green","601"
"#339910","green","602"
"#339910","green","603"
"#0F8B5E","darkgreen","1000"
"#E5681E","orange","1001"
"#339910","green","1002"
"#E24E7F","pink","1003"
"#3290D4","lightblue","1004"
"#C09825","yellow","1005"
"#C09825","yellow","1006"
"#C09825","yellow","1007"
"#C09825","yellow","1008"
"#C09825","yellow","1009"
"#C09825","yellow","1010"
"#3290D4","lightblue","1011"
"#E5681E","orange","1012"
"#3290D4","lightblue","1013"
"#E24E7F","pink","1014"
"#C09825","yellow","1015"
"#339910","green","1016"
"#E5681E","orange","1017"
"#C09825","yellow","1018"
