4b9b6d9bb9321548268df6fd3beee7b7953f906ff1522a0ea434d77dac3b2eb2,917cad7ecaab1909d90d9d8eeab19e61f131d4e2215f9d7fe0a67a4d6dc43ea7,e73304d6e5c043e782ae88a12932dc9faf8e24258e47732739269932551b49fc,8b332b7df7b40581d2c96adfdf3bdac28234f571fda858eff1bb176c616236dd,64ae0ff50bfdd23f8b974cc08b4ade50e0910976e07e4406f07b5eaf983688a2,a345462d297d4a0dd677f855407e176a17ac1cc392eed13a9879a8b23de9f082,df06fbd7c35dcb36f5af5d16937d6b9b909ede39f43d77e08991b1862d0cee74,6abaa37b4e2b93ff741b2533569a11244ef20edcd6355fc18bf9fdfd8b0d2393,6ec4934a04f391f07b00d1b6ddecd51f672e87c8f8a957d4a6f095953d50ada0,6d497760c553722d6c41ffea4c8f7f0b1d1513613483dffd64318c2a35823c9a,8262999a6056a738d1cdc293e6104be415e11a88efa1fbb80f0eeb1cf6c70baa
"1500","1","0","112511","-140","1","-190","1","1010001","omp_talk_worry","1.8"
"1500","1","1","112411","140","1","-190","1","1010002","omp_idle_normal","1.8"
"0","1","","1","0","31","1","1","1010003","","1"
"","1","","","","93","","1","1010004","",""
"0","1","","vo_omp_7001_000","0","21","","vo_omp_7001","1010005","",""
"10","1","","ウヅキ、大丈夫？\n夜営続きで疲れてない？","1","11","1","112511","1010006","",""
"","1","","","","91","","0","1010007","",""
"1","1","","omp_idle_worry","","3","","112511","1010008","","0"
"1","1","","omp_talk_joy1","","3","","112411","1010009","","0"
"0","1","","vo_omp_7001_001","0","21","","vo_omp_7001","1010010","",""
"10","1","","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","1","11","1","112411","1010011","",""
"","1","","","","91","","0","1010012","",""
"1","1","","omp_psn_20","","3","","112411","1010013","","0"
"1","1","","omp_talk_normal","","3","","112511","1010014","","0"
"0","1","","vo_omp_7001_002","0","21","","vo_omp_7001","1010015","",""
"10","1","","そっか\nウヅキはどんなときも楽しそうだよね","1","11","1","112511","1010016","",""
"","1","","","","91","","0","1010017","",""
"1","1","","omp_idle_normal","","3","","112511","1010018","","0"
"1","1","","omp_talk_sad","","3","","112411","1010019","","0"
"0","1","","vo_omp_7001_003","0","21","","vo_omp_7001","1010020","",""
"10","1","","もしかして…\nリンちゃんは楽しくないですか？","1","11","1","112411","1010021","",""
"","1","","","","91","","0","1010022","",""
"1","1","","omp_idle_sad","","3","","112411","1010023","","0"
"0","1","0.1","omp_surprise","omp_idle_surprise1","3","1","112511","1010024","","0"
"0","1","","vo_omp_7001_004","0","21","","vo_omp_7001","1010025","",""
"10","1","","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","1","11","1","112511","1010026","",""
"","1","","1","","93","","2.5","1010027","",""
"1","1","","omp_talk_normal","","3","","112511","1010028","","0.2"
"","1","","","","91","","1010026","1010029","",""
"1","1","","omp_idle_normal","","3","","112511","1010030","","0"
"1","1","","omp_talk_joy2","","3","","112411","1010031","","0"
"0","1","","vo_omp_7001_005","0","21","","vo_omp_7001","1010032","",""
"10","1","","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","1","11","1","112411","1010033","",""
"","1","","","","91","","0","1010034","",""
"1","1","","0","","4","","112511","1010035","",""
"1","1","","omp_psn_20","","3","","112411","1010036","","0"
"1","1","","omp_idle_normal","","3","","112511","1010037","","0"
"0","1","","vo_omp_7001_006","0","21","","vo_omp_7001","1010038","",""
"10","1","","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","1","11","1","112511","1010039","",""
"","1","","","","91","","0","1010040","",""
"","1","","","","93","","0.4","1010041","",""
"1600","2","0","112511","-180","1","-195","1","1020001","omp_idle_normal","1.8"
"1500","2","1","112411","20","1","-190","1","1020002","omp_talk_normal","1.8"
"1600","2","1","112611","220","1","-205","1","1020003","omp_idle_normal","1.8"
"0","2","","1","0","31","1","1","1020004","","1"
"","2","","","","93","","1","1020005","",""
"0","2","","vo_omp_7002_000","0","21","","vo_omp_7002","1020006","",""
"10","2","","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","1","11","1","112411","1020007","",""
"","2","","","","91","","0","1020008","",""
"","2","","0","","4","","112411","1020009","",""
"1","2","","omp_idle_normal","","3","","112411","1020010","","0"
"1","2","","omp_talk_joy1","","3","","112611","1020011","","0"
"0","2","","vo_omp_7002_001","0","21","","vo_omp_7002","1020012","",""
"10","2","","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","1","11","1","112611","1020013","",""
"","2","","","","91","","0","1020014","",""
"1","2","","omp_idle_joy1","","3","","112611","1020015","","0"
"1","2","","omp_talk_surprise1","","3","","112411","1020016","","0"
"0","2","","vo_omp_7002_002","0","21","","vo_omp_7002","1020017","",""
"10","2","","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","1","11","1","112411","1020018","",""
"","2","","","","91","","0","1020019","",""
"","2","","1","","4","","112411","1020020","",""
"1","2","","omp_idle_surprise1","","3","","112411","1020021","","0"
"1","2","","omp_talk_normal","","3","","112511","1020022","","0"
"0","2","","vo_omp_7002_003","0","21","","vo_omp_7002","1020023","",""
"10","2","","全然想像できない味だったね\nいい意味で","1","11","1","112511","1020024","",""
"","2","","","","91","","0","1020025","",""
"1","2","","omp_talk_sad","","3","","112511","1020026","","0"
"0","2","","vo_omp_7002_004","0","21","","vo_omp_7002","1020027","",""
"10","2","","でも魔物が調理されてるところは\nまあ、何て言うか…","1","11","1","112511","1020028","",""
"","2","","","","91","","0","1020029","",""
"1","2","","omp_idle_sad","","3","","112511","1020030","","0"
"1","2","","omp_talk_bitter","","3","","112411","1020031","","0"
"0","2","","vo_omp_7002_005","0","21","","vo_omp_7002","1020032","",""
"10","2","","…す、すごかったですよね","1","11","1","112411","1020033","",""
"","2","","","","91","","0","1020034","",""
"1","2","","omp_idle_bitter","","3","","112411","1020035","","0"
"1","2","","omp_talk_joy1","","3","","112611","1020036","","0"
"0","2","","vo_omp_7002_006","0","21","","vo_omp_7002","1020037","",""
"10","2","","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","1","11","1","112611","1020038","",""
"","2","","","","91","","0","1020039","",""
"1","2","","omp_idle_joy1","","3","","112611","1020040","","0"
"1","2","","omp_talk_bitter","","3","","112511","1020041","","0"
"0","2","","vo_omp_7002_007","0","21","","vo_omp_7002","1020042","",""
"10","2","","冒険って、奥が深いね…","1","11","1","112511","1020043","",""
"","2","","","","91","","0","1020044","",""
"","2","","","","93","","0.4","1020045","",""
"1500","3","0","112411","-140","1","-190","1","1030001","omp_talk_joy1","1.8"
"1500","3","1","112611","140","1","-190","1","1030002","omp_idle_normal","1.8"
"0","3","","1","0","31","1","1","1030003","","1"
"","3","","","","93","","1","1030004","",""
"0","3","","vo_omp_7003_000","0","21","","vo_omp_7003","1030005","",""
"10","3","","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","1","11","1","112411","1030006","",""
"","3","","","","91","","0","1030007","",""
"1","3","","omp_psn_20","","3","","112411","1030008","","0"
"1","3","","omp_psn_19","","3","","112611","1030009","","0"
"0","3","","vo_omp_7003_001","0","21","","vo_omp_7003","1030010","",""
"10","3","","た、楽しいかな～？","1","11","1","112611","1030011","",""
"","3","","","","91","","0","1030012","",""
"1","3","","omp_psn_18","","3","","112611","1030013","","0"
"1","3","","omp_talk_joy1","","3","","112411","1030014","","0"
"0","3","","vo_omp_7003_002","0","21","","vo_omp_7003","1030015","",""
"10","3","","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","1","11","1","112411","1030016","",""
"","3","","","","91","","0","1030017","",""
"1","3","","omp_psn_20","","3","","112411","1030018","","0"
"1","3","","omp_talk_joy1","","3","","112611","1030019","","0"
"0","3","","vo_omp_7003_003","0","21","","vo_omp_7003","1030020","",""
"10","3","","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","1","11","1","112611","1030021","",""
"","3","","1","","93","","1.5","1030022","",""
"1","3","","omp_psn_19","","3","","112611","1030023","","0.2"
"","3","","","","91","","1030021","1030024","",""
"1","3","","omp_psn_18","","3","","112611","1030025","","0"
"1","3","","omp_talk_joy1","","3","","112411","1030026","","0"
"0","3","","vo_omp_7003_004","0","21","","vo_omp_7003","1030027","",""
"10","3","","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","1","11","1","112411","1030028","",""
"","3","","","","91","","0","1030029","",""
"1","3","","omp_psn_20","","3","","112411","1030030","","0"
"1","3","","omp_psn_19","","3","","112611","1030031","","0"
"0","3","","vo_omp_7003_005","0","21","","vo_omp_7003","1030032","",""
"10","3","","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","1","11","1","112611","1030033","",""
"","3","","","","91","","0","1030034","",""
"1","3","","omp_psn_18","","3","","112611","1030035","","0"
"1","3","","omp_talk_joy2","","3","","112411","1030036","","0"
"0","3","","vo_omp_7003_006","0","21","","vo_omp_7003","1030037","",""
"10","3","","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","1","11","1","112411","1030038","",""
"","3","","","","91","","0","1030039","",""
"1","3","","omp_psn_20","","3","","112411","1030040","","0"
"1","3","","omp_talk_sad","","3","","112611","1030041","","0"
"0","3","","vo_omp_7003_007","0","21","","vo_omp_7003","1030042","",""
"10","3","","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","1","11","1","112611","1030043","",""
"","3","","1","","93","","6","1030044","",""
"1","3","","omp_talk_joy2","","3","","112611","1030045","","0.2"
"","3","","","","91","","1030043","1030046","",""
"1","3","","omp_idle_joy2","","3","","112611","1030047","","0"
"1","3","","omp_talk_joy2","","3","","112411","1030048","","0"
"0","3","","vo_omp_7003_008","0","21","","vo_omp_7003","1030049","",""
"10","3","","はい！\n一緒に頑張りましょう！","1","11","1","112411","1030050","",""
"","3","","","","91","","0","1030051","",""
"","3","","","","93","","0.4","1030052","",""
"1600","4","0","105831","-180","1","-195","1","1040001","omp_talk_normal","1.8"
"1500","4","1","105931","20","1","-190","1","1040002","omp_idle_normal","1.8"
"1600","4","1","106031","220","1","-205","1","1040003","omp_idle_normal","1.8"
"0","4","","1","0","31","1","1","1040004","","1"
"","4","","","","93","","1","1040005","",""
"0","4","","vo_omp_7004_000","0","21","","vo_omp_7004","1040006","",""
"10","4","","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","1","11","1","105831","1040007","",""
"","4","","","","91","","0","1040008","",""
"1","4","","omp_idle_normal","","3","","105831","1040009","","0"
"1","4","","omp_talk_normal","","3","","105931","1040010","","0"
"0","4","","vo_omp_7004_001","0","21","","vo_omp_7004","1040011","",""
