15e81c19ea9876f2285eb7367920e350a2e8f70f6c48d7cc097c5e65cb4fe1d3,5c56b882690bd3f1ce312408efaaa47275a2f6f5a85477749dbee1c559620060,2cb3e9a2950708e550a40414b3f1321a4a64d485bf1042a9b920adce16d2f576,776573175af58cb4feea6b0f89dfb83c6c9d84f824f198268c3a6577fe83fd62,80566eb5889a5b86806e39ccd701825596bb366129293b423343dcc904f533d7,453098daedf93febb1fb91317087174f737d317428fe33a6b2d42a2b1e487556,db3baeb989e5c6a6114ee055d2d036d4e822057c0d4a9391554d092859d79a9d,eb3ae3eecc22aec8a512aad0a92ca92373e19501d40e2696f67e5f76e974fcde,cc4872e63cdcb6c9a582d2b9bfd2b02a816dd91225ca7a9eebcd563c4b5741f4,308acd2f34b908ecf6327a3ea32c628366c071de954495b2debe1d3c8ba605b4,fc993e572e7d77bde0806bdf4eec7698c05361016d47a16882a3ea305a8c2296
"1","101","5","0","1","100","cgg_idle_normal","160","101001","-420","-230"
"1","101","1","1","105811","100","cgg_idle_def","1.6","101002","375","-230"
"1","101","1","1","106011","101","cgg_idle_def","1.6","101003","490","-230"
"1","101","6","0","1","1","","0.1","101004","1","1"
"105811","101","6","0","1","1","","0.1","101005","1","1"
"106011","101","6","0","1","1","","0.1","101006","1","1"
"0.2","101","93","","0","","","","101007","",""
"vo_minigame_1007","101","21","","vo_minigame_1007_top_talk_1_001","0","","","101008","0",""
"105811","101","11","0","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","7","0","0","101009","0","0"
"1","101","3","","cgg_idle_surprise1","1","","0.2","101010","",""
"105811","101","3","0","cgg_surprise_kira","0","","0.2","101011","cgg_talk_surprise_kira","1"
"2.1","101","93","","0","","","","101012","",""
"1","101","3","","cgg_idle_surprise3","1","","0.2","101013","",""
"105811","101","3","","cgg_talk_joy1","1","","0.2","101014","",""
"101009","101","91","","","","","","101015","",""
"105811","101","3","","cgg_idle_def","1","","0.2","101016","",""
"vo_minigame_1007","101","21","","vo_minigame_1007_top_talk_1_002","0","","","101017","0",""
"106011","101","11","0","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","6","0","0","101018","0","0"
"1","101","3","","cgg_idle_reaction1","1","","0.2","101019","",""
"106011","101","3","","cgg_talk_surprise1","1","","0.2","101020","",""
"2.1","101","93","","0","","","","101021","",""
"1","101","3","","cgg_idle_nod","1","","0.2","101022","",""
"106011","101","3","","cgg_talk_bitter","1","","0.2","101023","",""
"101018","101","91","","","","","","101024","",""
"0.5","101","93","","0","","","","101025","",""
"1","101","3","","cgg_idle_normal","1","","0.2","101026","",""
"106011","101","3","","cgg_idle_def","1","","0.2","101027","",""
"105811","101","3","","cgg_idle_joy2","1","","0.2","101028","",""
"105811","101","12","","10","1.4","","0.2","101029","",""
"3","101","93","","0","","","","101030","",""
"105811","101","3","","cgg_idle_def","1","","0.2","101031","",""
"106011","101","3","","cgg_talk_surprise_dere","1","","0.2","101032","",""
"106011","101","12","","8","1.4","","0.2","101033","",""
"3","101","93","","0","","","","101034","",""
"106011","101","3","","cgg_idle_def","1","","0.2","101035","",""
"1","101","3","0","cgg_surprise1","0","","0.2","101036","cgg_idle_surprise1","1"
"1","101","12","","4","1.4","","0.2","101037","",""
"3","101","93","","0","","","","101038","",""
"101026","101","101","","0","","","","101039","",""
"0","101","22","","0.5","","","","101040","",""
"1","101","6","0","1","1","","0.1","101041","1","0"
"105811","101","6","0","1","1","","0.1","101042","1","0"
"106011","101","6","0","1","1","","0.1","101043","1","0"
"0.1","101","93","","0","","","","101044","",""
"1","101","3","","cgg_idle_normal","1","","0","101045","",""
"105811","101","3","","cgg_idle_def","1","","0","101046","",""
"106011","101","3","","cgg_idle_def","1","","0","101047","",""
"1","102","5","0","1","100","cgg_idle_normal","160","102001","-420","-230"
"1","102","1","1","105911","100","cgg_idle_def","1.6","102002","375","-230"
"1","102","1","1","106411","101","cgg_idle_def","1.6","102003","490","-230"
"1","102","6","0","1","1","","0.1","102004","1","1"
"105911","102","6","0","1","1","","0.1","102005","1","1"
"106411","102","6","0","1","1","","0.1","102006","1","1"
"0.2","102","93","","0","","","","102007","",""
"vo_minigame_1007","102","21","","vo_minigame_1007_top_talk_2_003","0","","","102008","0",""
"105911","102","11","0","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","5","0","0","102009","0","0"
"1","102","3","","cgg_idle_surprise1","1","","0.2","102010","",""
"105911","102","3","","cgg_lookup","0","","0.2","102011","",""
"2.6","102","93","","0","","","","102012","",""
"105911","102","3","","cgg_talk_wish_surprise","1","","0.2","102013","",""
"102009","102","91","","","","","","102014","",""
"105911","102","3","","cgg_idle_def","1","","0.4","102015","",""
"vo_minigame_1007","102","21","","vo_minigame_1007_top_talk_2_004","0","","","102016","0",""
"106411","102","11","0","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","5","0","0","102017","0","0"
"1","102","3","","cgg_idle_reaction1","1","","0.2","102018","",""
"106411","102","3","","cgg_talk_surprise1","1","","0.2","102019","",""
"2.6","102","93","","0","","","","102020","",""
"1","102","3","0","cgg_talk_nod","0","","0.2","102021","cgg_idle_nod","1"
"106411","102","3","","cgg_talk_joy3_blink","1","","0.2","102022","",""
"3.2","102","93","","0","","","","102023","",""
"1","102","3","","cgg_idle_reaction5","1","","0.2","102024","",""
"106411","102","3","","cgg_talk_normal","1","","0.2","102025","",""
"102017","102","91","","","","","","102026","",""
"0.5","102","93","","0","","","","102027","",""
"106411","102","3","","cgg_idle_def","1","","0.2","102028","",""
"1","102","3","","cgg_idle_normal","1","","0.2","102029","",""
"105911","102","3","","cgg_talk_joy3_blink","1","","0.2","102030","",""
"105911","102","12","","10","1.4","","0.2","102031","",""
"3","102","93","","0","","","","102032","",""
"105911","102","3","","cgg_idle_def","1","","0.2","102033","",""
"106411","102","3","","cgg_talk_joy1","1","","0.2","102034","",""
"106411","102","12","","11","1.4","","0.2","102035","",""
"3","102","93","","0","","","","102036","",""
"106411","102","3","","cgg_idle_def","1","","0.2","102037","",""
"1","102","3","","cgg_idle_surprise3","1","","0.2","102038","",""
"1","102","12","","6","1.4","","0.2","102039","",""
"3","102","93","","0","","","","102040","",""
"102029","102","101","","0","","","","102041","",""
"0","102","22","","0.5","","","","102042","",""
"1","102","6","0","1","1","","0.1","102043","1","0"
"105911","102","6","0","1","1","","0.1","102044","1","0"
"106411","102","6","0","1","1","","0.1","102045","1","0"
"0.1","102","93","","0","","","","102046","",""
"1","102","3","","cgg_idle_normal","1","","0","102047","",""
"105911","102","3","","cgg_idle_def","1","","0","102048","",""
"106411","102","3","","cgg_idle_def","1","","0","102049","",""
"1","103","5","0","1","100","cgg_idle_normal","160","103001","-420","-230"
"1","103","1","1","100211","100","cgg_idle_def","1.6","103002","375","-230"
"1","103","1","1","100111","101","cgg_idle_def","1.6","103003","490","-230"
"1","103","6","0","1","1","","0.1","103004","1","1"
"100211","103","6","0","1","1","","0.1","103005","1","1"
"100111","103","6","0","1","1","","0.1","103006","1","1"
"0.2","103","93","","0","","","","103007","",""
"vo_minigame_1007","103","21","","vo_minigame_1007_top_talk_3_005","0","","","103008","0",""
"100211","103","11","0","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","6","0","0","103009","0","0"
"1","103","3","","cgg_idle_surprise1","1","","0.2","103010","",""
"100211","103","3","","cgg_talk_wish","1","","0.2","103011","",""
"2.4","103","93","","0","","","","103012","",""
"100211","103","3","","cgg_talk_joy3","1","","0.2","103013","",""
"103009","103","91","","","","","","103014","",""
"100211","103","3","","cgg_idle_def","1","","0.2","103015","",""
"vo_minigame_1007","103","21","","vo_minigame_1007_top_talk_3_006","0","","","103016","0",""
"100111","103","11","0","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","5","0","0","103017","0","0"
"1","103","3","","cgg_idle_reaction5","1","","0.2","103018","",""
"100111","103","3","","cgg_talk_joy1","1","","0.2","103019","",""
