f18d00875c2cbe4fecaa3c05f8f8302472ad54d64a760eec9f91430b358b4e87,ad421e88670ca2ad7b5b60a5f55ff4a30bd2bbfcca8d66c97e88c4c7ce95e640,17b87a3bdd564c2e3bf2fdbe83dee08008244719c12d9edc95291a7b30ee1ca0,7f172199b925597204d089f5c28d2f3e197233271fb1346ab36f7a025dee2125,ff978e5be7af947990051ee295ce0dc4a7a6923a6b210a0b582b1a75dd3a79a3,67aed75f644f3a81cb5352695f3ea9ff08f5d24f60a83b33237d5b3779fe3b48,70fdbfbc3eff3cc222b1c42d7b732ce588a6b7086f905894ae6b94127f5732d6,299a7762eaa15c3bac3b261486292d965a344bbb30b9bb9986a0fa5e7407de84,ee0089d91c0d260699fd1c5bb8b62843965cf794322c3f632338bf6528383275,d84bc94076efc85953fb4f195381191d5afc53f95384ee507a1943e7648b6c4f,a85fdd37f319bd44f28313d54303c44765a321bde793c4b2faad4f1467ba1660
"スタートダッシュログインキャンペーン","10","530100","0","0","2016/09/01 15:00:00","20000","0","2023/02/16 4:59:59","0","2"
"スタートダッシュログインキャンペーン","10","530100","0","0","2023/02/16 5:00:00","20001","0","2099/01/01 23:59:00","0","2"
"ログインボーナス","15","0","0","0","2016/04/01 15:00:00","30000","0","2099/01/01 23:59:00","0","3"
"CM放映記念ログインボーナス第1弾","1","0","0","0","2016/09/01 15:00:00","40000","0","2017/01/01 23:59:00","0","4"
"Half Anniversary ログインキャンペーン","10","500160","1","0","2018/08/15 5:00:00","40001","0","2018/09/01 4:59:59","0","4"
"グラブルコラボログインボーナス","10","40003","2","0","2018/12/09 5:00:00","40003","0","2018/12/22 4:59:59","0","4"
"マナリアフレンズ放送応援ログインキャンペーン","10","40004","3","0","2019/01/20 5:00:00","40004","0","2019/01/31 4:59:59","0","4"
"Shadowverseコラボログインボーナス","10","40005","2","0","2019/03/28 5:00:00","40005","0","2019/04/25 4:59:59","0","4"
"アニメ放送記念 スタンプログインキャンペーン","10","40006","3","0","2020/04/06 5:00:00","40006","0","2020/04/16 4:59:59","0","4"
"復刻Re:ゼロコラボ開催記念 スタンプログインキャンペーン","10","40007","2","0","2020/11/10 5:00:00","40007","0","2020/11/22 4:59:59","0","4"
"ドラガリアロスト 応援ログインキャンペーン","10","40008","3","0","2020/12/01 5:00:00","40008","0","2020/12/14 4:59:59","0","4"
"復刻デレステコラボ開催記念 スタンプログインキャンペーン","10","40009","2","0","2021/03/08 5:00:00","40009","0","2021/03/25 4:59:59","0","4"
"アニメ放送記念 スタンプログインキャンペーン","10","40010","3","0","2022/01/11 5:00:00","40010","0","2022/04/07 4:59:59","0","4"
"メインストーリー第3部開始記念ログインキャンペーン","6","531200","3","0","2023/02/13 5:00:00","40011","0","2023/02/19 4:59:59","0","4"
"TANITAコラボログインキャンペーン","8","40012","3","0","2023/09/27 5:00:00","40012","0","2023/10/30 4:59:59","0","4"
