c25bd7ec5ce27b968572743a5b0bb83625e58c78803f2347e1558fdd71cb3d1d,e8b2ff5a5c9240ad202374adaa733115dcbed8a51f8f8df7c4f0308f69b9004d,504b031add7a83a233cff05161346248910cc78076e5b03b3070386460726078,5d9007925d6269ad0db0f79a08aacfb9d07cedfbaf62b9cd4474d9890a12df79,0b345abf9183de9d2f8d3e55b41606a316fe8751d6e04b226a5151bdcaa22e4d
"100","91002","8","1","1"
"100","91002","8","2","2"
"100","91002","8","3","3"
"100","91002","8","4","4"
"100","91002","8","5","5"
"500","23003","2","6","6"
"100","140001","4","7","7"
"1","21953","2","8","8"
"500","23003","2","9","9"
"100","25001","2","10","10"
"100","90005","2","11","11"
"1","41000","2","12","12"
"500","23003","2","13","13"
"10000","25011","2","14","14"
"10000","25012","2","15","15"
"10000","25013","2","16","16"
"10000","25014","2","17","17"
"10000","25015","2","18","18"
"5000","25021","2","19","19"
"1","25101","2","20","20"
"100","23003","2","21","21"
"10000","25011","2","22","22"
"10000","25012","2","23","23"
"10000","25013","2","24","24"
"10000","25014","2","25","25"
"10000","25015","2","26","26"
"5000","25021","2","27","27"
"100","91002","8","28","28"
"150","23003","2","29","29"
"150","23003","2","30","30"
"150","23003","2","31","31"
"150","23003","2","32","32"
"150","23003","2","33","33"
"150","23003","2","34","34"
"50000","26202","2","35","35"
"50000","26202","2","36","36"
"1","26203","2","37","37"
"50000","26202","2","38","38"
"50000","26202","2","39","39"
"1","26203","2","40","40"
"50000","26202","2","41","41"
"50000","26202","2","42","42"
"1","26203","2","43","43"
"50000","26202","2","44","44"
"50000","26202","2","45","45"
"1","26203","2","46","46"
"50000","26202","2","47","47"
"50000","26202","2","48","48"
"1","26203","2","49","49"
"100000","26202","2","50","50"
"100000","26202","2","51","51"
"1","26203","2","52","52"
"100000","26202","2","53","53"
"100000","26202","2","54","54"
"1","26203","2","55","55"
"100000","26202","2","56","56"
"100000","26202","2","57","57"
"1","26203","2","58","58"
"100000","26202","2","59","59"
"100000","26202","2","60","60"
"1","26203","2","61","61"
"100000","26202","2","62","62"
"100000","26202","2","63","63"
"1","26203","2","64","64"
"100","91002","8","65","65"
"100","91002","8","66","66"
"100","91002","8","67","67"
"100","91002","8","68","68"
"100","91002","8","69","69"
"1000","23003","2","70","70"
"1000","23003","2","71","71"
"1000","23003","2","72","72"
"1","25101","2","73","73"
"150000","26202","2","74","74"
"150000","26202","2","75","75"
"150000","26202","2","76","76"
"150000","26202","2","77","77"
"1","41000","2","78","78"
"150000","26202","2","79","79"
"150000","26202","2","80","80"
"150000","26202","2","81","81"
"150000","26202","2","82","82"
"1","41000","2","83","83"
"150000","26202","2","84","84"
"150000","26202","2","85","85"
"150000","26202","2","86","86"
"150000","26202","2","87","87"
"1","41000","2","88","88"
"150000","26202","2","89","89"
"150000","26202","2","90","90"
"150000","26202","2","91","91"
"150000","26202","2","92","92"
"1","41000","2","93","93"
"150000","26202","2","94","94"
"150000","26202","2","95","95"
"150000","26202","2","96","96"
"150000","26202","2","97","97"
"1","41000","2","98","98"
"150000","26202","2","99","99"
"150000","26202","2","100","100"
"150000","26202","2","101","101"
"150000","26202","2","102","102"
"1","41000","2","103","103"
"150000","26202","2","104","104"
"150000","26202","2","105","105"
"150000","26202","2","106","106"
"150000","26202","2","107","107"
"1","41000","2","108","108"
"150000","26202","2","109","109"
"150000","26202","2","110","110"
"150000","26202","2","111","111"
"150000","26202","2","112","112"
"1","41000","2","113","113"
"150000","26202","2","114","114"
"150000","26202","2","115","115"
"150000","26202","2","116","116"
"150000","26202","2","117","117"
"1","41000","2","118","118"
"150000","26202","2","119","119"
"150000","26202","2","120","120"
"150000","26202","2","121","121"
"150000","26202","2","122","122"
"1","41000","2","123","123"
"150000","26202","2","124","124"
"150000","26202","2","125","125"
"1","26203","2","126","126"
"150000","26202","2","127","127"
"150000","26202","2","128","128"
"150000","26202","2","129","129"
"150000","26202","2","130","130"
"1","41000","2","131","131"
"150000","26202","2","132","132"
"150000","26202","2","133","133"
"1","26203","2","134","134"
"150000","26202","2","135","135"
"150000","26202","2","136","136"
"150000","26202","2","137","137"
"150000","26202","2","138","138"
"1","41000","2","139","139"
"150000","26202","2","140","140"
"150000","26202","2","141","141"
"1","26203","2","142","142"
"150000","26202","2","143","143"
"150000","26202","2","144","144"
"150000","26202","2","145","145"
"150000","26202","2","146","146"
"1","41000","2","147","147"
"150000","26202","2","148","148"
"150000","26202","2","149","149"
"1","26203","2","150","150"
"150000","26202","2","151","151"
"150000","26202","2","152","152"
"150000","26202","2","153","153"
"150000","26202","2","154","154"
"1","41000","2","155","155"
