c95f984d6107fb72364331b7903f596b8003b6e85ff2d71238f0fda7146a8000,2c12386d0fbd62dfe696e5faad4b3594a40e862b8c0911a6c94ba3b35f55b223,5831f20fd2d06063857ee6736466bf2e9dabef6bda3e48d3ca784e5591b701fd,0143971885e4733a98c8504ff4a5b0de68f7106cf888ce371b9c88f7af5fb113,cd34818a6b3c44242d049f40d78e39ba8616bda4fb8d0e8599e3671306c4e9ba,eef45d584791a65a5e213c56eaef87a5996052ec855b213606965604e2a347ea
"11001001","1","15","1001","1","99001001"
"91002","2","8","0","10","99001001"
"11001002","3","15","1001","1","99001002"
"91002","4","8","0","10","99001002"
"11001003","5","15","1002","1","99001003"
"91002","6","8","0","20","99001003"
"11001004","7","15","1003","1","99001004"
"91002","8","8","0","30","99001004"
"11001005","9","15","1001","1","99001005"
"91002","10","8","0","10","99001005"
"11001006","11","15","1001","1","99001006"
"91002","12","8","0","10","99001006"
"11001007","13","15","1002","1","99001007"
"91002","14","8","0","20","99001007"
"11001008","15","15","1003","1","99001008"
"91002","16","8","0","30","99001008"
"11001009","17","15","1001","1","99001009"
"91002","18","8","0","10","99001009"
"11001010","19","15","1001","1","99001010"
"91002","20","8","0","10","99001010"
"11001011","21","15","1002","1","99001011"
"91002","22","8","0","20","99001011"
"11001012","23","15","1003","1","99001012"
"91002","24","8","0","30","99001012"
"11001017","33","15","1001","1","99001017"
"91002","34","8","0","30","99001017"
"11001018","35","15","1001","1","99001018"
"91002","36","8","0","30","99001018"
"11001019","37","15","1002","1","99001019"
"91002","38","8","0","30","99001019"
"11001020","39","15","1003","1","99001020"
"91002","40","8","0","30","99001020"
"11001021","41","15","1001","0","99001021"
"11001022","42","15","1002","0","99001022"
"11001023","43","15","1001","1","99001023"
"91002","44","8","0","30","99001023"
"11001024","45","15","1001","1","99001024"
"91002","46","8","0","30","99001024"
"11001025","47","15","1002","1","99001025"
"91002","48","8","0","30","99001025"
"11001026","49","15","1003","1","99001026"
"91002","50","8","0","30","99001026"
"11001027","51","15","1001","1","99001027"
"91002","52","8","0","30","99001027"
"11001028","53","15","1001","1","99001028"
"91002","54","8","0","30","99001028"
"11001029","55","15","1002","1","99001029"
"91002","56","8","0","30","99001029"
"11001030","57","15","1003","1","99001030"
"91002","58","8","0","30","99001030"
"11001031","59","15","1001","1","99001031"
"91002","60","8","0","30","99001031"
"11001032","61","15","1001","1","99001032"
"91002","62","8","0","30","99001032"
"11001033","63","15","1002","1","99001033"
"91002","64","8","0","30","99001033"
"11001034","65","15","1003","1","99001034"
"91002","66","8","0","30","99001034"
"11001039","75","15","1001","0","99001039"
"11001040","76","15","1002","0","99001040"
"11001041","77","15","1003","0","99001041"
"11001042","78","15","1001","1","99001042"
"91002","79","8","0","30","99001042"
"11001043","80","15","1001","1","99001043"
"91002","81","8","0","30","99001043"
"11001044","82","15","1002","1","99001044"
"91002","83","8","0","30","99001044"
"11001045","84","15","1003","1","99001045"
"91002","85","8","0","30","99001045"
"11001046","86","15","1001","1","99001046"
"11001050","87","15","1001","1","99001046"
"91002","88","8","0","30","99001046"
"11001047","89","15","1001","1","99001047"
"91002","90","8","0","30","99001047"
"11001048","91","15","1002","1","99001048"
"91002","92","8","0","30","99001048"
"11001049","93","15","1003","1","99001049"
"91002","94","8","0","30","99001049"
"11001051","95","15","1001","1","99001051"
"91002","96","8","0","30","99001051"
"11001052","97","15","1001","1","99001052"
"91002","98","8","0","30","99001052"
"11001053","99","15","1002","1","99001053"
"91002","100","8","0","30","99001053"
"11001054","101","15","1003","1","99001054"
"91002","102","8","0","30","99001054"
"11001055","103","15","1001","1","99001055"
"91002","104","8","0","30","99001055"
"11001056","105","15","1001","1","99001056"
"91002","106","8","0","30","99001056"
"11001057","107","15","1002","1","99001057"
"91002","108","8","0","30","99001057"
"11001058","109","15","1003","1","99001058"
"91002","110","8","0","30","99001058"
"11001059","111","15","1001","1","99001059"
"91002","112","8","0","30","99001059"
"11001060","113","15","1001","1","99001060"
"91002","114","8","0","30","99001060"
"11001061","115","15","1002","1","99001061"
"91002","116","8","0","30","99001061"
"11001062","117","15","1003","1","99001062"
"91002","118","8","0","30","99001062"
"11001063","119","15","1001","1","99001063"
"91002","120","8","0","30","99001063"
"11001064","121","15","1001","1","99001064"
"91002","122","8","0","30","99001064"
"11001065","123","15","1002","1","99001065"
"91002","124","8","0","30","99001065"
"11001066","125","15","1003","1","99001066"
"91002","126","8","0","30","99001066"
