07f5eb485f5822eacf7d36def62c05113a75cfa8528cd222cab613987d1f53f9,bd127cbe9d6a075823da73ea7f6bd3c6a82d3ec8c4f97a04706b5fad121c9dfe,bad6b2432b300fc829d83cbe0cc4cd747ff80e8c9ed22491df7eccc266d3a05d,038e0ca519f62b82909069627ff5d994e853bb207c4e99bd16b935dcc0c2c94b,1ce432238962dd0c7a842a10fe9d7c3d212816109dc049445bc2a7d38dd5d2a9
"1","2","10","31058","9105801"
"2","2","10","31020","9102001"
"3","2","10","31002","9100201"
"4","2","10","31055","9105501"
"5","2","10","31016","9101601"
"6","2","10","31124","9112401"
"7","2","10","31044","9104401"
"8","2","10","31023","9102301"
"9","2","10","31059","9105901"
"10","2","10","31042","9104201"
"11","2","10","31040","9104001"
"12","2","10","31021","9102101"
"13","2","10","31063","9106301"
"14","2","10","31065","9106501"
"15","2","10","31009","9100901"
"16","2","10","31017","9101701"
"17","2","10","31056","9105601"
"18","2","10","31053","9105301"
"19","2","10","31027","9102701"
"20","2","10","31108","9110801"
"21","2","10","31043","9104301"
"22","2","10","31125","9112501"
"23","2","10","31004","9100401"
"24","2","10","31037","9103701"
"25","2","10","31061","9106101"
"26","2","10","31018","9101801"
"27","2","10","31013","9101301"
"28","2","10","31011","9101101"
"29","2","10","31001","9100101"
"30","2","10","31030","9103001"
"31","2","10","31060","9106001"
"32","2","10","31015","9101501"
"33","2","10","31054","9105401"
"34","2","10","31109","9110901"
"35","2","10","31010","9101001"
"36","2","10","31066","9106601"
"37","2","10","31028","9102801"
"38","2","10","31008","9100801"
"39","2","10","31049","9104901"
"40","2","10","31047","9104701"
"41","2","10","31014","9101401"
"42","2","10","31094","9109401"
"43","2","10","31038","9103801"
"44","2","10","31048","9104801"
"45","2","10","31045","9104501"
"46","2","10","31022","9100601"
"47","2","10","31006","9100601"
"48","2","10","31005","9100501"
"49","2","10","31126","9112601"
"50","2","10","31092","9109201"
"51","2","10","31025","9102501"
"52","2","10","31031","9103101"
"53","2","10","31012","9101201"
"54","2","10","31026","9102601"
"55","2","10","31050","9105001"
"56","2","10","31003","9100301"
"57","2","10","31007","9100701"
"58","2","10","31029","9102901"
"59","2","10","31036","9103601"
"60","2","10","31093","9109301"
"61","2","10","31071","9107101"
"62","2","10","31110","9111001"
"63","2","10","31046","9104601"
"64","2","10","31033","9103301"
"65","2","10","31051","9105101"
"66","2","10","31057","9105701"
"67","2","10","31032","9103201"
"68","2","10","31052","9105201"
"69","2","10","31034","9103401"
"70","2","10","31070","9107001"
"71","2","10","31058","9105802"
"72","2","10","31020","9102002"
"73","2","10","31002","9100202"
"74","2","10","31055","9105502"
"75","2","10","31016","9101602"
"77","2","10","31044","9104402"
"78","2","10","31023","9102302"
"79","2","10","31059","9105902"
"80","2","10","31042","9104202"
"81","2","10","31040","9104002"
"82","2","10","31021","9102102"
"83","2","10","31063","9106302"
"84","2","10","31065","9106502"
"85","2","10","31009","9100902"
"86","2","10","31017","9101702"
"87","2","10","31056","9105602"
"88","2","10","31068","9106802"
"89","2","10","31053","9105302"
"90","2","10","31027","9102702"
"91","2","10","31108","9110802"
"92","2","10","31043","9104302"
"94","2","10","31004","9100402"
"95","2","10","31037","9103702"
"96","2","10","31061","9106102"
"97","2","10","31018","9101802"
"98","2","10","31013","9101302"
"99","2","10","31011","9101102"
"100","2","10","31001","9100102"
"101","2","10","31030","9103002"
"102","2","10","31060","9106002"
"103","2","10","31015","9101502"
"104","2","10","31054","9105402"
"105","2","10","31109","9110902"
"106","2","10","31180","9118002"
"107","2","10","31010","9101002"
"108","2","10","31066","9106602"
"109","2","10","31028","9102802"
"110","2","10","31008","9100802"
"111","2","10","31049","9104902"
"112","2","10","31047","9104702"
"113","2","10","31014","9101402"
"114","2","10","31094","9109402"
"115","2","10","31038","9103802"
"116","2","10","31048","9104802"
"117","2","10","31045","9104502"
"118","2","10","31022","9100602"
"119","2","10","31006","9100602"
"120","2","10","31005","9100502"
"122","2","10","31092","9109202"
"123","2","10","31025","9102502"
"124","2","10","31031","9103102"
"125","2","10","31012","9101202"
"126","2","10","31026","9102602"
"127","2","10","31050","9105002"
"128","2","10","31003","9100302"
"129","2","10","31007","9100702"
"130","2","10","31029","9102902"
"131","2","10","31036","9103602"
"132","2","10","31093","9109302"
"133","2","10","31071","9107102"
"134","2","10","31110","9111002"
"135","2","10","31046","9104602"
"136","2","10","31033","9103302"
"137","2","10","31051","9105102"
"138","2","10","31057","9105702"
"139","2","10","31032","9103202"
