c833dac7b07863c3d731d86fea16b9f6d17239e44a0521ebe20a01b5f160e4d1,9205b46a55bf3037d63e7c3004b735cfeca66bf05f0279dbad57e34e317da6f7,b64aa0b8c47c8d059da4ea0e829a61404ff29848fd2c3f97681945f6c354509d,2f2e0ce0198c95add60e88c0e3773ba4e41f3ce6dc0baab2fb4ee35208c3b387,67c486e28be17532de20aa9ae16f463ddd3f3bf174206313a8b951d9a24f4248,4163c0c205eb91a9d69a9b3062708a1e0db76e07fd6fa8028ef54f4b9ddb6f7f
"10201","5","10201001","5201083","2","201"
"10213","3","10213001","5213062","2","1021301"
"10213","2","10213002","1021301","3","5213063"
"10213","3","10213003","5213064","2","1021302"
"10213","2","10213004","1021302","3","5213065"
"10213","3","10213005","5213066","2","1021303"
"10213","2","10213006","1021303","3","5213067"
"10213","3","10213007","5213068","2","1021304"
"10213","2","10213008","1021304","3","5213069"
"10213","3","10213009","5213070","2","1021305"
"10213","2","10213010","1021305","3","5213071"
"10213","3","10213011","5213072","2","1021306"
"10213","2","10213012","1021306","3","5213073"
"10213","3","10213013","5213074","2","1021307"
"10213","2","10213014","1021307","3","5213075"
"10213","3","10213015","5213076","2","1021311"
"10213","2","10213016","1021311","3","5213077"
"10213","3","10213017","5213078","2","1021312"
"10213","2","10213018","1021312","3","5213079"
"10213","3","10213019","5213080","2","1021313"
"10213","2","10213020","1021313","3","5213081"
"10213","3","10213021","5213082","2","1021314"
"10213","2","10213022","1021314","3","5213083"
"10213","3","10213023","5213084","2","1021315"
"10213","2","10213024","1021315","3","5213085"
"10213","3","10213025","5213086","2","1021316"
"10213","2","10213026","1021316","3","5213087"
"10213","3","10213027","5213088","2","1021317"
"10213","2","10213028","1021317","3","5213089"
"10213","3","10213029","5213090","2","1021321"
"10213","2","10213030","1021321","3","5213091"
"10213","3","10213031","5213092","2","1021322"
"10213","2","10213032","1021322","3","5213093"
"10213","3","10213033","5213094","2","1021323"
"10213","2","10213034","1021323","3","5213095"
"10213","3","10213035","5213096","2","1021324"
"10213","2","10213036","1021324","3","5213097"
"10213","3","10213037","5213098","2","1021325"
"10213","2","10213038","1021325","3","5213099"
"10213","3","10213039","5213100","2","1021326"
"10213","2","10213040","1021326","3","5213101"
"10213","3","10213041","5213102","2","1021327"
"10213","2","10213042","1021327","3","5213103"
