ca72b1e6ae6ed5cc618d7526f55541bd184cdfa8c1c8c9ebcd354c4ae6d3c888,a61e101a7adf92fa271a972699c8a063271a945dc086033f0e75691f7bed61f2,9c8299d4fb7380f29ef095c234774965aec262d295ca7d9f3599e4952062a670,80c44f4c5bc4762440c1b98c5863b6fb8743c01ff12c27ffb94d01cebc4ebd16,f01d9668901172696eba473344353e33f01224d8b91443f8489e09eb7f41b8fb,6075f45813d399979c454224ad7f553ea5901955e2a5e4928fb14c93d136f6c1,8b60863f10115f408506abdde7e4111e01a3f6a3cce0c7e2bebf24e81f95ebb4,7b938a7f5e7b3aaf0f9ef76304615e49aa1eb022190cee286dabaa9053ebc1ff
"1","100","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","平凡な\n未鑑定トレジャー","平凡な未鑑定トレジャー","53001","200"
"2","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","貴重な\n未鑑定トレジャー","貴重な未鑑定トレジャー","53002","400"
"3","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","1","至高の\n未鑑定トレジャー","至高の未鑑定トレジャー","53003","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なジェムストーン","平凡なジェムストーン","53004","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なジェムストーン","貴重なジェムストーン","53005","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のジェムストーン","至高のジェムストーン","53006","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なインゴット","平凡なインゴット","53007","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なインゴット","貴重なインゴット","53008","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のインゴット","至高のインゴット","53009","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なスクロール","平凡なスクロール","53010","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なスクロール","貴重なスクロール","53011","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のスクロール","至高のスクロール","53012","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なティアラ","平凡なティアラ","53013","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なティアラ","貴重なティアラ","53014","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のティアラ","至高のティアラ","53015","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なルーン","平凡なルーン","53016","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なルーン","貴重なルーン","53017","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のルーン","至高のルーン","53018","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なクラウン","平凡なクラウン","53019","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なクラウン","貴重なクラウン","53020","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のクラウン","至高のクラウン","53021","800"
"1","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","平凡なアーティファクト","平凡なアーティファクト","53022","200"
"2","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","貴重なアーティファクト","貴重なアーティファクト","53023","400"
"3","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","至高のアーティファクト","至高のアーティファクト","53024","800"
