5e0d981b67c0b47fce97d439e339005d580826b87aa1f63259b7653791d0778d,c8e40d8b78ce430752c2a596b423067a2a44c1417ebbc9ab36a2909a202f90ee,b3c62f7de45ec0bbfc14ffa369555b20df296af507263f81dbff606f428b4f82,541da5af2e6f08871def97b12a1c0cff682908b26cb0447ca0362767d6d9f87d,0703d1e528ebb258b19d5d35c6689bab86d8452a0331d0088920ea4dc0a28aca
"1","ひよっこ","26999","0","1"
"1","未熟者","26999","0","2"
"1","稚魚","26999","0","3"
"3","ビギナーランナー","26999","0","4"
"1","赤ちゃん","26999","0","5"
"1","ベイビー","26999","0","6"
"1","小物","26999","0","7"
"1","へっぽこ","26999","0","8"
"1","素人","26999","0","9"
"1","小魚","33999","27000","10"
"1","初心者","33999","27000","11"
"3","エンジョイランナー","33999","27000","12"
"1","若輩者","33999","27000","13"
"1","ルーキー","33999","27000","14"
"1","ガール","33999","27000","15"
"1","注目株","33999","27000","16"
"1","原石","33999","27000","17"
"2","ニューホープ","33999","27000","18"
"1","探究者","50399","34000","19"
"1","暴れん坊","50399","34000","20"
"1","申し子","50399","34000","21"
"1","奇才","50399","34000","22"
"1","大物","50399","34000","23"
"1","麒麟児","50399","34000","24"
"1","ホープ","50399","34000","25"
"1","新星","50399","34000","26"
"1","逸材","50399","34000","27"
"1","マーメイド","59999","50400","28"
"1","先輩","59999","50400","29"
"1","中級者","59999","50400","30"
"3","ビーチフラッガー","59999","50400","31"
"1","魚","59999","50400","32"
"1","チーフ","59999","50400","33"
"1","キャプテン","59999","50400","34"
"1","一人前","59999","50400","35"
"1","セミプロ","59999","50400","36"
"1","大型新人","59999","50400","37"
"1","流れ星","69999","60000","38"
"1","先生","69999","60000","39"
"1","ドルフィン","69999","60000","40"
"1","職人","69999","60000","41"
"1","レーサー","69999","60000","42"
"1","トゥンヌス","69999","60000","43"
"1","中の中","69999","60000","44"
"2","ビッグネーム","69999","60000","45"
"1","異才","69999","60000","46"
"1","エリート","69999","60000","47"
"1","仕事人","69999","60000","48"
"1","玄人","69999","60000","49"
"1","オルカ","83999","70000","50"
"1","名人","83999","70000","51"
"1","魔術師","83999","70000","52"
"1","師匠","83999","70000","53"
"1","サブマリン","83999","70000","54"
"2","スプリンター","83999","70000","55"
"1","名手","83999","70000","56"
"2","エースランナー","83999","70000","57"
"1","プロ","83999","70000","58"
"1","看板選手","83999","70000","59"
"1","第一人者","83999","70000","60"
"1","ドン","83999","70000","61"
"2","スピードスター","99999","84000","62"
"1","豪傑","99999","84000","63"
"1","プリンセス","99999","84000","64"
"1","女神","99999","84000","65"
"1","マスター","99999","84000","66"
"2","ナンバーワン","99999","84000","67"
"1","寵児","99999","84000","68"
"3","ワイルドグリフォン","99999","84000","69"
"1","ワイバーン","99999","84000","70"
"2","エキスパート","99999","84000","71"
"2","トップランナー","99999","84000","72"
"1","韋駄天","119999","100000","73"
"1","クイーン","119999","100000","74"
"2","チャンピオン","119999","100000","75"
"2","天才ランナー","119999","100000","76"
"3","レコードホルダー","119999","100000","77"
"1","極致","119999","100000","78"
"2","ネプテリオン","119999","100000","79"
"2","シードレイク","119999","100000","80"
"1","女傑","119999","100000","81"
"1","革命家","119999","100000","82"
"2","ビッグスター","119999","100000","83"
"2","ファンタジスタ","999999","120000","84"
"2","スーパースター","999999","120000","85"
"3","ワールドチャンプ","999999","120000","86"
"1","レジェンド","999999","120000","87"
"1","超人","999999","120000","88"
"1","トルペドン","999999","120000","89"
"1","カルキノス","999999","120000","90"
"2","アクアリオス","999999","120000","91"
"1","至宝","999999","120000","92"
"3","グランドマスター","999999","120000","93"
"1","英雄","999999","120000","94"
"1","天下取り","999999","120000","95"
