bc955e3e59508a61b06e85e12b8b16b1b5d4245beaab01c870dfb26eb2157cb9,fd4dcdb5f35ca613ef7c82f7b09a5d6dec1d0726a7a6a77e987c92ff95db9f2a,b7f80ae1fae0188460be1582dc1e7cecddd52cfa52bd4f45a8ed64fcb70fef28,6ee3c8b28dab557943057dc2ddd081c106cd3412bca9ac43f99baab687035f50,adc97b09a0f8a25895d7be75fa9a76ba69c44fb6aedb301af1bbe376975908f6,f26e17e05a8312bbae101e1433baa98e4ffb9ebac4874581a8373591b6f266db,ef86835b8ac0c94e0c453fe4b602d39c0ba528d33eaf360af03957f15c0c5d5c,9f46963e662f76467b89051a382002c00def84991e1db668a6037b000706bee4,aec5d69b741014838fcc0a62db704375c7d756e6f36a7b6a5e6369dd521da6d7
"1","1","0","2018/06/01 4:59:59","0","2018/05/22 5:00:00","0","1","0"
"2","2","0","2018/09/01 4:59:59","0","2018/08/21 5:00:00","0","1","0"
"3","3","0","2019/01/04 4:59:59","0","2018/12/22 5:00:00","0","1","0"
"4","4","0","2019/03/01 4:59:59","0","2019/02/15 5:00:00","1","1","0"
"5","5","0","2019/03/31 11:59:59","4","2019/03/01 5:00:00","1","0","14"
"6","6","0","2019/09/01 4:59:59","0","2019/08/15 5:00:00","1","1","0"
"7","7","0","2020/01/03 18:59:59","0","2019/12/20 5:00:00","1","1","0"
"8","8","0","2020/03/01 4:59:59","0","2020/02/15 5:00:00","1","1","0"
"9","9","0","2020/05/07 4:59:59","0","2020/04/30 5:00:00","1","1","0"
"10","10","0","2020/09/01 4:59:59","0","2020/08/15 5:00:00","1","1","0"
"11","11","0","2020/11/17 4:59:59","0","2020/11/10 5:00:00","1","1","0"
"12","12","0","2020/11/30 11:59:59","11","2020/11/17 5:00:00","1","0","7"
"13","13","0","2021/01/04 4:59:59","0","2020/12/21 5:00:00","1","1","0"
"14","14","0","2021/01/31 11:59:59","13","2021/01/04 5:00:00","1","0","14"
"15","15","0","2021/03/01 4:59:59","0","2021/02/15 5:00:00","1","1","0"
"16","16","0","2021/03/31 11:59:59","15","2021/03/01 5:00:00","1","0","14"
"17","17","0","2021/05/10 4:59:59","0","2021/04/30 5:00:00","1","1","0"
"18","18","0","2021/09/01 4:59:59","0","2021/08/15 5:00:00","1","1","0"
"19","19","0","2021/09/30 11:59:59","18","2021/09/01 5:00:00","1","0","17"
"20","20","0","2021/11/10 4:59:59","0","2021/11/03 5:00:00","1","1","0"
"21","21","0","2021/11/30 4:59:59","20","2021/11/10 5:00:00","1","0","7"
"22","22","0","2022/01/04 4:59:59","0","2021/12/22 5:00:00","1","1","0"
"23","23","0","2022/01/31 4:59:59","22","2022/01/04 5:00:00","1","0","13"
"24","24","0","2022/03/01 4:59:59","0","2022/02/15 5:00:00","1","1","0"
"25","25","0","2022/03/31 4:59:59","24","2022/03/01 5:00:00","1","0","14"
"26","26","0","2022/05/10 4:59:59","0","2022/04/30 5:00:00","1","1","0"
"27","27","0","2022/09/01 4:59:59","0","2022/08/15 5:00:00","1","1","0"
"28","28","0","2022/11/01 4:59:59","0","2022/10/25 5:00:00","1","1","0"
"29","29","0","2023/01/04 4:59:59","0","2022/12/23 5:00:00","1","1","0"
"30","30","0","2023/03/01 4:59:59","0","2023/02/15 5:00:00","1","1","0"
"31","31","0","2023/05/01 4:59:59","0","2023/04/25 5:00:00","1","1","0"
"32","32","0","2023/09/01 4:59:59","0","2023/08/15 5:00:00","1","1","0"
"33","33","0","2023/11/01 4:59:59","0","2023/10/26 5:00:00","1","1","0"
"34","34","0","2024/01/04 4:59:59","0","2023/12/22 5:00:00","2","1","0"
"35","35","0","2024/03/01 4:59:59","0","2024/02/15 5:00:00","2","1","0"
"36","36","0","2024/05/01 4:59:59","0","2024/04/26 5:00:00","2","1","0"
"37","37","0","2024/09/01 4:59:59","0","2024/08/15 5:00:00","2","1","0"
"38","38","0","2025/01/04 4:59:59","0","2024/12/22 5:00:00","2","1","0"
