cfef6262ce8e4757ba57ade549ebd2beccf97ff1cbe13183bb360b23d86292f4,783228da3365d9773174d01d8b3ba2b0dacf43984a27ef8b1dea148a2ae82a05,2d81c5035359a5a4de9d5be3fc6573fd8b02e69e0c97a0bb57b9b45409a66c0d,37f91f90114b2c749a731ed58602645012f490b4fff64ee88eacec11ba2af371,263650eaf8ed7d5a3db2a801d29e60d13b4f41b8763f0bc9c9c28dbd4e3baa3d,013c3b41e5a74239938e2aef978b63b7cd53cf25459d23307c83b6ebcb557ed1,7a42a67f478d1ed8f55e0c746589906cd704f5b85a324e7ef199fb180441dd49,5514d0ee77a5bc4a3d4dd0c1eea372344f9cdf7e52fa63904c7c800d27733cb2,30938ec6cbbf5372d4aaf223e0eb97a64ad2efb1ea4eb389b62ad3768531c33e
"7008","1","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1002","1","32000101","500000","32000101","1010"
"7008","1","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1002","2","32000102","750000","32000102","1010"
"7008","1","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1002","3","32000103","1000000","32000103","1010"
"7008","1","全プレイヤーでフレイヤを合計500,000回倒そう","1003","4","32000104","500000","32000104","1010"
"7008","1","全プレイヤーでフレイヤを合計750,000回倒そう","1003","5","32000105","750000","32000105","1010"
"7008","1","全プレイヤーでフレイヤを合計1,000,000回倒そう","1003","6","32000106","1000000","32000106","1010"
"7008","0","全プレイヤーでアラクネを合計1,000,000回倒そう","1004","7","32000107","1000000","32000107","1010"
"7008","0","全プレイヤーでアラクネを合計1,500,000回倒そう","1004","8","32000108","1500000","32000108","1010"
"7008","0","全プレイヤーでアラクネを合計2,000,000回倒そう","1004","9","32000109","2000000","32000109","1010"
"7007","1","宝石蜘蛛の群れに1回挑戦しよう","1001","10","32000110","1","32000110","1009"
"7007","1","バンディ・シスターズを1回倒そう","1002","11","32000111","1","32000111","1009"
"7007","1","フレイヤを1回倒そう","1003","12","32000112","1","32000112","1009"
"7007","0","アラクネを1回倒そう","1004","13","32000113","1","32000113","1009"
