ef604054ba592ac93e32f3d0c9274bb8d22e0d91609445baaaa72fd2798e504f,d7ce78c630a9921f7fbfc9c0b5121d19d5cb2f66bec99947389e48db955e6ac1,39369ba6cbffc21744ab043275be53c8a36d0d8282b74a3a59a91917ca571f65,18fe3a4e7a4cf49839e01e21086fc12387915e101f3b03eaf3ed386b42e1759f,887d5f1cef5f3e768ca92865237224c4643419e6ee5a554d9231516afd057959,b174c5e4459e1d31fbe6de11e3daeff36f9f4d6b5f5e814c30e59f0b02fbc164,b93b6d0be07fca9927bf101ba599f3276adb21328ad0573ea9f55d87f2d30ee8
"924070101","924070102","924070105","924070103","924070104","924070100","2407001"
"924070201","924070202","924070205","924070203","924070204","924070200","2407002"
"924070301","924070302","924070305","924070303","924070304","924070300","2407003"
"924071101","0","0","0","0","924071100","2407004"
"924071201","0","0","0","0","924071200","2407005"
"924071301","0","0","0","0","924071300","2407006"
"924071401","0","0","0","0","924071400","2407007"
"924072101","0","0","0","0","924072100","2407008"
"924072201","0","0","0","0","924072200","2407009"
"924072301","0","0","0","0","924072300","2407010"
"924072401","0","0","0","0","924072400","2407011"
"924073101","0","0","0","0","924073100","2407012"
"924073201","0","0","0","0","924073200","2407013"
"924073301","0","0","0","0","924073300","2407014"
"924073401","0","0","0","0","924073400","2407015"
"924080101","924080102","924080105","924080103","924080104","924080100","2408001"
"924080201","924080202","924080205","924080203","924080204","924080200","2408002"
"924080301","924080302","924080305","924080303","924080304","924080300","2408003"
"924081101","0","0","0","0","924081100","2408004"
"924081201","0","0","0","0","924081200","2408005"
"924081301","0","0","0","0","924081300","2408006"
"924081401","0","0","0","0","924081400","2408007"
"924082101","0","0","0","0","924082100","2408008"
"924082201","0","0","0","0","924082200","2408009"
"924082301","0","0","0","0","924082300","2408010"
"924082401","0","0","0","0","924082400","2408011"
"924083101","0","0","0","0","924083100","2408012"
"924083201","0","0","0","0","924083200","2408013"
"924083301","0","0","0","0","924083300","2408014"
"924083401","0","0","0","0","924083400","2408015"
"924090101","924090102","924090105","924090103","924090104","924090100","2409001"
"924090201","924090202","924090205","924090203","924090204","924090200","2409002"
"924090301","924090302","924090305","924090303","924090304","924090300","2409003"
"924091101","0","0","0","0","924091100","2409004"
"924091201","0","0","0","0","924091200","2409005"
"924091301","0","0","0","0","924091300","2409006"
"924091401","0","0","0","0","924091400","2409007"
"924092101","0","0","0","0","924092100","2409008"
"924092201","0","0","0","0","924092200","2409009"
"924092301","0","0","0","0","924092300","2409010"
"924092401","0","0","0","0","924092400","2409011"
