be0f2a787ef1e99c0ac56de2dfab2239d7aa30ca097fa7b2a1bed14dacb56c5a,751a36e002618355650a7fe80316bf86afbe2cbed6a555d8d53264d68038c2d8,21b36fabf7c862d2481c3ef26a35cece06fe28e21f8442727d719ca0350157e2
"1","100101","1"
"1","100201","1"
"1","100301","1"
"1","100401","1"
"1","102101","1"
"1","102201","1"
"1","102501","1"
"1","103401","1"
"1","104001","1"
"1","105001","1"
"1","105201","1"
"1","105801","1"
"1","105901","1"
"1","106001","1"
"1","100601","2"
"1","100701","2"
"1","100801","2"
"1","101301","2"
"1","101601","2"
"1","101701","2"
"1","102001","2"
"1","102301","2"
"1","102701","2"
"1","103101","2"
"1","103301","2"
"1","103801","2"
"1","104201","2"
"1","104501","2"
"1","104601","2"
"1","104801","2"
"1","105101","2"
"1","102601","2"
"1","101501","2"
"1","105401","2"
"1","100501","2"
"1","100901","3"
"1","101001","3"
"1","101101","3"
"1","101201","3"
"1","101801","3"
"1","102801","3"
"1","102901","3"
"1","103001","3"
"1","103201","3"
"1","104301","3"
"1","104901","3"
"1","105301","3"
"1","105701","3"
"1","104701","3"
"1","106301","3"
"1","103601","3"
"1","104401","3"
"1","103701","3"
"1","105601","3"
"1","107101","3"
