b35c5f3eb8364669c76fe971ff7659b4adef2ce6b78e9b17cd9f9e15e474002b,80cd2948e0895d79cc2b825bbfe5765f6390dd606104d8c97d4793ec8cb334a9,89cfabd4349d0541cf33e63342538123bc33b7cee17825b9b1a3a7ffda9a3430,a328b8d407fb42beb6987cb95c401eed0354e55560e7d4cd7b65199180d83c6d,3ef5ae4828a878c3d3d4d4025a7a9cf6561989a626c28d5dcc94a10fd913cf91,0d880fecd54a9b61752a94712978004cfdfc36854fc8ac0c8a8742641420452e,cdc666d14da9e274442d00c6b20b4250f1da66b1d6537d374d8e697969460cf0,8e6f1836ab0891fff3dbb84c7c110e2584969d59658fb1809a98fb12a1c58a25,cb1789a82ca8d5ad8635952da34f24c74ac1ec453e9c964e88e98d4a137e5002,c3f69437ced53a54ffab11b40c2858ab70688f4faeb1e2b84a8e4edc28bce343
"バク","ハグ","1","2110001","パグ","0","0","0","バグ","0"
"テクニック","テイク","1","2110003","手首","0","0","0","テクノロジー","0"
"ふぶき","じひびき","1","2110005","ゆきやけ","0","0","0","なだれ","0"
"化石","黒曜石","1","2110006","大理石","0","0","0","磁石","0"
"リバー","ガルフ","1","2110007","ミスト","0","0","0","オーシャン","0"
"ラットマーク","バットマーク","1","2110008","カットマーク","0","0","0","アットマーク","0"
"太陽があたらない場所","いつもすずしい場所","1","2110010","建物の中の場所","0","0","0","太陽の日があたる場所","0"
"ダブルデート","ハッピーデート","1","2110011","バレンタインデート","0","0","0","アップデート","0"
"ブルドーザー","オブリガード","1","2110012","バリケード","0","0","0","ブリザード","0"
"月","地球","1","2110014","火星","0","0","0","太陽","0"
"放物線","電話線","1","2110016","新幹線","0","0","0","地平線","0"
"白歴史","赤歴史","1","2110018","青歴史","0","0","0","黒歴史","0"
"みりん","お酢","1","2110019","みそ","0","0","0","しょうゆ","0"
"お腹","手のひら","1","2110021","顔","0","0","0","背中","0"
"ガラス板","ベニヤ板","1","2110022","看板","0","0","0","鉄板","0"
"プレスコード","バーコード","1","2110023","エンコード","0","0","0","ドレスコード","0"
"だるまおとし","やくおとし","1","2110024","まくおとし","0","0","0","こけらおとし","0"
"コイル","ライス","1","2110025","ライン","0","0","0","コイン","0"
"パラレル","ナチュラル","1","2110026","パラソル","0","0","0","アパレル","0"
"ぼかし","上塗り","1","2110028","薄塗り","0","0","0","透かし","0"
"風邪薬","塗り薬","1","2110031","胃薬","0","0","0","目薬","0"
"のれん","馬の耳","1","2110032","石の上","0","0","0","ぬか","0"
"なみだ","カナブン","1","2110034","豆腐","0","0","0","金棒","0"
"レモネード","コーラ","1","2110035","サイダー","0","0","0","水","0"
"一度","二度","1","2110036","四度","0","0","0","三度","0"
"髪の毛","手ぬぐい","1","2110037","メガネ","0","0","0","たんこぶ","0"
"光","極楽","1","2110038","天国","0","0","0","闇","0"
"団子","ようかん","1","2110039","あんみつ","0","0","0","ぼた餅","0"
"はえ","か","1","2110040","あぶ","0","0","0","はち","0"
"猿","羊","1","2110041","猫","0","0","0","馬","0"
"風","火","1","2110042","土","0","0","0","水","0"
"寒","氷","1","2110043","水","0","0","0","冷","0"
"韓","散","1","2110044","脇","0","0","0","朝","0"
"生麦","生米","1","2110045","生卵","0","0","0","生姜","0"
"先生","先制","1","2110046","占星","0","0","0","宣誓","0"
"気象","希少","1","2110047","気性","0","0","0","起床","0"
"非","無","1","2110049","未","0","0","0","不","0"
"不","無","1","2110050","未","0","0","0","非","0"
"不","非","1","2110051","未","0","0","0","無","0"
"不","非","1","2110052","無","0","0","0","未","0"
"馬耳東風","一日千秋","1","2110053","有名無実","0","0","0","三日坊主","0"
"ねこ","いぬ","1","2110054","きつね","0","0","0","たぬき","0"
"くつひも","てぶくろ","1","2110056","あしのうら","0","0","0","たび","0"
"十","千","1","2110058","万 ","0","0","0","百","0"
"九","八","1","2110060","七","0","0","0","十","0"
"ジャッジメント","アジテーション","1","2111001","ハイテンション","0","0","0","ハッピーエンド","0"
"ちぇる～ん☆","やばいですね★","1","2111002","夢はスーパースター☆☆★","0","0","0","どるるるる～ん★","0"
