2d7ec143340ae4a0c806424995109bda324c6cac660e552f4c82f7d0bbd0fa27,5b682206f06ade2e00b0e83be7719b5b3a78a209394158ae8a5904ef60911da7,5464d81971c05bee79f8a984a91a234759e6efe6feafc13c5d74b5942a879088,e4c23e26f3e615f7d5e89c1d1cb3e271fe235d708a3bdd209e26e3073b3f99e9
"20","20","1","2"
"30","30","1","3"
"80","50","2","3"
"160","80","3","3"
"60","60","1","4"
"160","100","2","4"
"340","180","3","4"
"700","360","4","4"
"1200","500","5","4"
"100","100","1","5"
"260","160","2","5"
"540","280","3","5"
"1020","480","4","5"
"1800","780","5","5"
"100","100","1","6"
"260","160","2","6"
"540","280","3","6"
"1020","480","4","6"
"1800","780","5","6"
"100","100","1","7"
"260","160","2","7"
"540","280","3","7"
"1020","480","4","7"
"1800","780","5","7"
"100","100","1","8"
"260","160","2","8"
"540","280","3","8"
"1020","480","4","8"
"1800","780","5","8"
"100","100","1","9"
"260","160","2","9"
"540","280","3","9"
"1020","480","4","9"
"1800","780","5","9"
"100","100","1","10"
"260","160","2","10"
"540","280","3","10"
"1020","480","4","10"
"1800","780","5","10"
"100","100","1","11"
"260","160","2","11"
"540","280","3","11"
"1020","480","4","11"
"1800","780","5","11"
