e0318fbfc5dff6d8cc89cb28c7dbff001644e8f17483dc2c5e1ea67febc4be90,fc10984dc5eb9337645f784b0d7688ed812a469f63f02cc38cf77cf278e99e9d,212edf63dfca8f84d4305d965b35097aa6463819410e6981a05e3bca07634267,08d48462b8c1f1a16f7c91351a3cc3a74ad6d17c8886adcf9efb02afa22be8ed,74b376fe93f069459f513919a72d371df57fe5b18ff7abd17bf0030473581162,c9ff7483b53653d5653c5d87b6c301676dabfa9b7d35c4bc8c845a5bbf03c81e,c9f2cd4a6458d1f29ef83e4c83c37c7175b62d544188667cfa9a26ee77fe2435,9e08974f7abe7ae84ca64acbbe14bd0bd7bcad8c57f68f418f508ead53f2546f
"10001","bgm_M32","タルグム地方","10001","bgm_M32","10001101","10001101","10001"
"10002","bgm_M98","マシーナ地方","10002","bgm_M98_2","10002101","10002101","10002"
"10003","bgm_M106","ランドソル郊外","10003","bgm_M106","10003101","10003101","10003"
"10004","bgm_M112","タパスビーチ周辺","10004","bgm_M112","10004101","10004101","10004"
"10005","bgm_M121","イルシオンの孤島","10005","bgm_M121","10005101","10005101","10005"
"10006","bgm_M128","王都ランドソル","10006","bgm_M128","10006101","10006101","10006"
"10007","bgm_M135","ランドソル近郊","10007","bgm_M135","10007101","10007101","10007"
"10008","bgm_M121","ランドソル近郊","10008","bgm_M121","10008101","10008101","10008"
"10009","bgm_M171","クリスマス","10009","bgm_M171","10009101","10009101","10009"
"10010","bgm_M121","神殿への参道","10010","bgm_M121","10010101","10010101","10010"
"10011","bgm_M189","バレンタイン","10011","bgm_M189","10011101","10011101","10011"
"10012","bgm_M206","王都ランドソル","10012","bgm_M206","10012101","10012101","10012"
"10013","bgm_M215","マナリア","10013","bgm_M215","10013101","10013101","10013"
"10014","bgm_M32","タルグム地方","10014","bgm_M32","10014101","10014101","10014"
