b6fce50b4ea5f9a575eb0bbb73ececfa50df6b638c2f23d2b2d6792d27c2e8f0,91f1e900b071e17228508ccf83cc230e4ad787802043c1e1f5ed13e6f9f94c43,e426c05212ef341961c6279356b1e9d30ccef2289c37a720f5a4971e05cf5449,2709bfc973e44ccdf4570b8dda452b2ab824fee754707f7f40e56f7a0c4c6bf0,99b15024bfeb5d160de6cea837fc92a5e036674a42bfbc8bdb472c32a6595dc9,24c47ec788188144408439859a88541f9fe75afef5918cd243415aa5a3845500,c79def9743e7fa5effa9985d2c48095d768eb0a7e8be13a42854a2f9ce92360c,0638de18c1631d8f8f59e7b6e433feefaaa7eb3eddc0e6c6e25d442c64cb6486,e532619665b228952f8e12b50904a64a2504eca7c40408b38c58e6d3ba1460c4,7a5398078cfb88773d89b4a5dafabe8f7efa2427ca626b1ba91e7271954ca2ab
"","vo_10011600","0","vo_10011600_0101","1","0","2","0","1","1010001"
"　明日から","0","0","0","1","0","1","8","2","1010002"
"","0","1.625","0","1","1","4","0","3","1010003"
"聖テレサ女学院に通うことになっちゃった！","0","0","0","1","0","1","10","4","1010004"
"","0","4","0","1","1","4","0","5","1010005"
"","vo_10011600","0","vo_10011600_0102","1","0","2","0","6","1010006"
"　なんで、","0","0","0","1","0","1","8","7","1010007"
"","0","1.375","0","1","1","4","0","8","1010008"
"どうしてこんなことになっちゃったんだろう。\n","0","0","0","1","0","1","9","9","1010009"
"","0","3.33333333333333","0","1","1","4","0","10","1010010"
"","vo_10011600","0","vo_10011600_0103","1","0","2","0","11","1010011"
"ミサト先生は","0","0","0","1","0","1","8","12","1010012"
"","0","1.75","0","1","1","4","0","13","1010013"
"私ならきっとやれると言ってくれたけど……","0","0","0","1","0","1","10","14","1010014"
"","0","3","0","1","1","4","0","15","1010015"
"絶対ムリだー！\n","0","0","0","1","0","1","8","16","1010016"
"","0","3.875","0","1","1","4","0","17","1010017"
"","vo_10011600","0","vo_10011600_0104","1","0","2","0","18","1010018"
"でも。","0","0","0","1","0","1","8","19","1010019"
"","0","2.375","0","1","1","4","0","20","1010020"
"でも……","0","0","0","1","0","1","8","21","1010021"
"","0","2.5","0","1","1","4","0","22","1010022"
"","vo_10011600","0","vo_10011600_0105","1","0","2","0","23","1010023"
"でも、","0","0","0","1","0","1","8","24","1010024"
"","0","1.375","0","1","1","4","0","25","1010025"
"もしも、","0","0","0","1","0","1","8","26","1010026"
"","0","1.5","0","1","1","4","0","27","1010027"
"私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","0","0","1","0","1","8","28","1010028"
"","0","4.875","0","1","1","4","0","29","1010029"
"","vo_10011600","0","vo_10011600_0106","1","0","2","0","30","1010030"
"……友達、","0","0","0","1","0","1","6","31","1010031"
"","0","1.58333333333333","0","1","1","4","0","32","1010032"
"できるかな？","0","0","0","1","0","1","8","33","1010033"
"","0","1.75","0","1","1","4","0","34","1010034"
"","vo_10011600","0","vo_10011600_0201","2","0","2","0","1","1020001"
"　ごきげんようという挨拶で","0","0","0","2","0","1","8","2","1020002"
"","0","2.375","0","2","1","4","0","3","1020003"
"私のぼっち心は最初から爆発寸前。\n","0","0","0","2","0","1","8","4","1020004"
"","0","4","0","2","1","4","0","5","1020005"
"","vo_10011600","0","vo_10011600_0202","2","0","2","0","6","1020006"
"ところが、","0","0","0","2","0","1","8","7","1020007"
"","0","1.125","0","2","1","4","0","8","1020008"
"なんとそこにBB団の団長さんが登場！","0","0","0","2","0","1","8","9","1020009"
"","0","3.75","0","2","1","4","0","10","1020010"
"","vo_10011600","0","vo_10011600_0203","2","0","2","0","11","1020011"
"　BB団の絆は","0","0","0","2","0","1","8","12","1020012"
"","0","1.875","0","2","1","4","0","13","1020013"
"どんな場所だろうと離れることはないんですね！\n","0","0","0","2","0","1","8","14","1020014"
"","0","3.75","0","2","1","4","0","15","1020015"
"","vo_10011600","0","vo_10011600_0204","2","0","2","0","16","1020016"
"そして、","0","0","0","2","0","1","8","17","1020017"
"","0","1","0","2","1","4","0","18","1020018"
"あの人と一緒にやってきた","0","0","0","2","0","1","8","19","1020019"
"","0","2","0","2","1","4","0","20","1020020"
"聖テレサ女学院","0","0","0","2","0","1","8","21","1020021"
"","0","1.125","0","2","1","4","0","22","1020022"
"（なかよし部）のみなさんとお知り合いに。","0","0","0","2","0","1","8","23","1020023"
"","0","3.5","0","2","1","4","0","24","1020024"
"","vo_10011600","0","vo_10011600_0205","2","0","2","0","25","1020025"
"　なんだかとても個性的な方々で、","0","0","0","2","0","1","8","26","1020026"
"","0","3","0","2","1","4","0","27","1020027"
"仲良くなれるか心配……","0","0","0","2","0","1","6","28","1020028"
"","0","2.83333333333333","0","2","1","4","0","29","1020029"
