3354670ba06f325554cd5bf78ce615fb967f1bd0d5539005d074bf8462787c80,c3bbb0c8025576b2b6c0294512ed9076842f3ac95ff399f4a996daf42f86f9ee,f2181eff13932ccaa5c1ea07c50c942710a5318075d619cd4a706f5da51dc106,808932d6233dec91066ca700d4ecd62aaed1fe544f66069bf8a2dfb5421afa4c,6cce4f94638f97ce43c16cdcedac47b28622be1da9382c6c83d0cc6b2d38f1a2,ce66204a791a8cab978ff67a98753b7f7c6a349b086a4f63b39e3314f37ae0e0,10e40567574a479304b821fdf2d0a73a87c0a09d71ce081934ce9494df847236,af5063e5824b40b3f238396bd90905c98d674e0ea4fa6afc84e41a18483cbb94,c71d3cc53929e0dfe1bb94769774dc520fb34d6a5051b38709417289e13ef8a1,ac0f54eaeb91e757224ce8d6f304971ad1cba567ec81a62b6101dc427fe0c198,728b4e74edfad999b69ef60b6f13dba35675bfe013dad2616f5a279d65fed4f8,896fba7149fb9f68735905f2d64297692d8cbc401f02c6407ced2030a1dd45a9,558f13d4c6687ac12d25914d70df3e49b33d93252d90f4acc6ab0f8dac1ae4eb,7a482bf68ac732e58665d780deadc96634bc8c2201220b6d6684c91d2dff1bd5,91e2fa9723ece51bf4a44971d5047fbb80e5efed90632c0d3602bb0757d4fbff,d547d4d2a7c932ede424c36c8b9a091920670d68a5280ceccd093d6a257d6a11
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25011","2","400","1001001"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25012","2","400","1001002"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25013","2","400","1001003"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25014","2","400","1001004"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25015","2","400","1001005"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25011","2","400","1001006"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25012","2","400","1001007"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25013","2","400","1001008"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25014","2","400","1001009"
"25001","12","200","91002","10","2","2","10","500000","8","94002","90008","25015","2","400","1001010"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25011","2","400","1001011"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25012","2","400","1001012"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25013","2","400","1001013"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25014","2","400","1001014"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25015","2","400","1001015"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","0","0","0","1001016"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","0","0","0","1001017"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","0","0","0","1001018"
"25021","12","200","91002","10","2","2","50","500000","8","94002","90008","25011","2","400","1002001"
