20c0bd257d7c9f0bbe278b2a49c772e879cac9b33d90344afb37fcf7cc0adf35,868c4e00f38eafb89a0ef7b09ff337418d14136f6b344866ade348627f7a609d,cfb1ed43cd5e1873438cb285bd3fd9ba335b5c8bec00f6834b50917c73660a52,6d948f52e38d8d21e865ca1363a537f6938a095672c7c1ddb3ef66aeba257e1b,69cc828d5ebec9ef4cd49addd5572bb328e9502097ebc86ec25fcaaf8706218d,0e6afe39fa5322b8b33146b4d9f5fccd9fd1cdc3e96a0f5258fd1f05b6abdf28,61b053d81b72e683826bd92e47c69c80825ee35c1b2f582a1229bc73a772aee3,44e7e5694cc973e6043b42ca0883b6a6dac25e15c8b068377a44245be11d93f0,8abca65cbf303002e526be4f335c9fae259969b9c59b2a3acf20e1a6a19abb5d,89b8b214385b22ff598d9c998bc3138004b4830a71c04afbaf6498e66c711e3d
"0","0","0","2019/02/15 14:59:59","2018/01/01 15:00:00","0","0","0","0","10001"
"0","1001","1","2019/02/28 11:59:59","2019/02/15 15:00:00","0","1001","1","1001","10002"
"0","0","1","2020/02/15 14:59:59","2019/02/28 12:00:00","0","1001","1","0","10003"
"0","1002","1","2020/02/29 11:59:59","2020/02/15 15:00:00","1002","1001","1","1002","10004"
"2015009","1002","2","2020/02/29 11:59:59","2020/02/15 15:00:00","1002","1002","2","1002","10005"
"0","0","1","2020/08/15 14:59:59","2020/02/29 12:00:00","0","1001","1","0","10006"
"2015009","0","2","2020/08/15 14:59:59","2020/02/29 12:00:00","0","1002","2","0","10007"
"0","0","1","2020/08/31 11:59:59","2020/08/15 15:00:00","1003","1001","1","0","10008"
"2015009","0","2","2020/08/31 11:59:59","2020/08/15 15:00:00","1003","1002","2","0","10009"
"0","0","1","2021/02/15 14:59:59","2020/08/31 12:00:00","0","1001","1","0","10010"
"2015009","0","2","2021/02/15 14:59:59","2020/08/31 12:00:00","0","1002","2","0","10011"
"0","1003","1","2021/02/28 11:59:59","2021/02/15 15:00:00","1004","1001","1","1003","10012"
"2015009","1003","2","2021/02/28 11:59:59","2021/02/15 15:00:00","1004","1002","2","1003","10013"
"0","0","1","2021/08/15 14:59:59","2021/02/28 12:00:00","0","1001","1","0","10014"
"2015009","0","2","2021/08/15 14:59:59","2021/02/28 12:00:00","0","1002","2","0","10015"
"0","0","1","2021/08/31 11:59:59","2021/08/15 15:00:00","1005","1001","1","0","10016"
"2015009","0","2","2021/08/31 11:59:59","2021/08/15 15:00:00","1005","1002","2","0","10017"
"0","0","1","2030/02/15 14:59:59","2021/08/31 12:00:00","0","1001","1","0","10018"
"2015009","0","2","2030/02/15 14:59:59","2021/08/31 12:00:00","0","1002","2","0","10019"
