539d7b41b77cb32080d6d22b57ee7971b710cb2096953cb718db7bf54784b29f,2a1c81250f4eeb2320e00adb441b1f5a9e0aef32d84283f170861d2784e0d315,374e7c17747d6205423647ff8711b6fd27b13fcc613cdebeddce5158d0de3c93,5e90eb5f4941d48b07bec9cd62e813103334e7b062a6142d40840aa52cae1b38,30fce4a22624b3aff121cb73ddc16e92edf30ab99a9f75a78e21a1fd858ebfa8,a36853f6e7250db682f90f9b5f23bf05b13053697ac39181b9d29792eb60c5d8
"0","5201009","10201","102010201","2","2"
"0","5201010","10201","102010202","2","3"
"0","0","10201","102010301","3","502510"
"0","0","10202","102020201","2","501220"
"0","0","10202","102020301","3","501201"
"0","0","10203","102030201","2","500801"
"0","0","10203","102030301","3","500031"
"0","0","10204","102040201","2","502360"
"0","0","10204","102040301","3","500030"
"0","0","10205","102050201","2","502170"
"0","0","10205","102050301","3","502080"
"0","0","10206","102060201","2","501030"
"0","0","10206","102060301","3","500160"
"0","0","10207","102070201","2","500690"
"0","0","10207","102070301","3","500163"
"0","0","10208","102080201","3","532300"
"0","0","10209","102090201","2","502460"
"0","0","10209","102090301","3","502290"
