2ca727e7223c41d62d38d7bb78044df84ede049353bd48e24f3182569b6a251d,fa1e858f5454f52f7a344d4486c29cfd05a24716b600296d8fb01079513c47a8,9ad1ee330c85d7101724d97d6497171ee4f251ba65e93b7cfaee9538f37022c6,2028cd9cd811ba93349034bb2b4f3c8c9c8d7c31e9a06862108b9e693ae57f7b,e0c778e4b3b57b95436a41c936192dd9760f9c20d6491cb47c828e2551b45f48,4f687c35e9f47f37b357b3d62d3f850dc2679fd1d9505e50b06dfc038f4b0fc9,c1518115218c78128d738f756bb34dc4010fb625d78e385df4717da53879ba48
"1","0","400","2018/12/24 5:00:00","70000","2018/12/25 4:59:59","0"
"2","0","401","2018/12/25 5:00:00","70000","2018/12/26 4:59:59","0"
"3","0","410","0","70001","0","1"
"4","0","411","0","70001","0","2"
"5","0","412","0","70001","0","3"
"6","0","400","2019/12/24 5:00:00","70002","2019/12/25 4:59:59","0"
"7","0","401","2019/12/25 5:00:00","70002","2019/12/26 4:59:59","0"
"8","0","413","0","70003","0","1"
"9","0","414","0","70003","0","2"
"10","0","415","0","70003","0","3"
"21","0","400","2020/12/24 5:00:00","70004","2020/12/25 4:59:59","0"
"22","0","401","2020/12/25 5:00:00","70004","2020/12/26 4:59:59","0"
"23","0","416","0","70005","0","1"
"24","0","417","0","70005","0","2"
"25","0","418","0","70005","0","3"
"26","0","9002001","2021/01/30 5:00:00","80004","2021/01/31 4:59:59","3"
"27","0","9002002","2021/01/31 5:00:00","80004","2021/02/01 4:59:59","3"
"28","0","9002003","2021/02/01 5:00:00","80004","2021/02/02 4:59:59","3"
"29","0","9002004","2021/02/02 5:00:00","80004","2021/02/03 4:59:59","3"
"30","0","9002005","2021/02/03 5:00:00","80004","2021/02/04 4:59:59","3"
"31","0","9002006","2021/02/04 5:00:00","80004","2021/02/05 4:59:59","3"
"32","0","9002007","2021/02/05 5:00:00","80004","2021/02/06 4:59:59","3"
"33","0","9002008","2021/02/06 5:00:00","80004","2021/02/07 4:59:59","3"
"34","0","9002009","2021/02/07 5:00:00","80004","2021/02/08 4:59:59","3"
"35","0","9002010","2021/02/08 5:00:00","80004","2021/02/09 4:59:59","3"
"36","0","9002011","2021/02/09 5:00:00","80004","2021/02/10 4:59:59","3"
"37","0","9002012","2021/02/10 5:00:00","80004","2021/02/11 4:59:59","3"
"38","0","9002013","2021/02/11 5:00:00","80004","2021/02/12 4:59:59","3"
"39","0","9002014","2021/02/12 5:00:00","80004","2021/02/13 4:59:59","3"
"40","0","9002015","2021/02/13 5:00:00","80004","2021/02/14 4:59:59","3"
"41","0","9002016","2021/02/14 5:00:00","80004","2021/02/15 4:59:59","3"
"42","1","9002017","2021/02/15 5:00:00","80004","2021/02/16 4:59:59","3"
"43","0","400","2021/12/24 5:00:00","70006","2021/12/25 4:59:59","0"
"44","0","401","2021/12/25 5:00:00","70006","2021/12/26 4:59:59","0"
"45","0","9004001","2022/01/30 5:00:00","80006","2022/01/31 4:59:59","3"
"46","0","9004002","2022/01/31 5:00:00","80006","2022/02/01 4:59:59","3"
"47","0","9004003","2022/02/01 5:00:00","80006","2022/02/02 4:59:59","3"
"48","0","9004004","2022/02/02 5:00:00","80006","2022/02/03 4:59:59","3"
"49","0","9004005","2022/02/03 5:00:00","80006","2022/02/04 4:59:59","3"
"50","0","9004006","2022/02/04 5:00:00","80006","2022/02/05 4:59:59","3"
"51","0","9004007","2022/02/05 5:00:00","80006","2022/02/06 4:59:59","3"
"52","0","9004008","2022/02/06 5:00:00","80006","2022/02/07 4:59:59","3"
"53","0","9004009","2022/02/07 5:00:00","80006","2022/02/08 4:59:59","3"
"54","0","9004010","2022/02/08 5:00:00","80006","2022/02/09 4:59:59","3"
"55","0","9004011","2022/02/09 5:00:00","80006","2022/02/10 4:59:59","3"
"56","0","9004012","2022/02/10 5:00:00","80006","2022/02/11 4:59:59","3"
"57","0","9004013","2022/02/11 5:00:00","80006","2022/02/12 4:59:59","3"
"58","0","9004014","2022/02/12 5:00:00","80006","2022/02/13 4:59:59","3"
"59","0","9004015","2022/02/13 5:00:00","80006","2022/02/14 4:59:59","3"
"60","0","9004016","2022/02/14 5:00:00","80006","2022/02/15 4:59:59","3"
"61","1","9004017","2022/02/15 5:00:00","80006","2022/02/16 4:59:59","3"
"62","0","436","0","70007","0","1"
"63","0","437","0","70007","0","2"
"64","0","438","0","70007","0","3"
"65","0","9005001","2022/08/01 5:00:00","80007","2022/08/02 4:59:59","3"
"66","0","9005002","2022/08/02 5:00:00","80007","2022/08/03 4:59:59","3"
"67","0","9005003","2022/08/03 5:00:00","80007","2022/08/04 4:59:59","3"
"68","0","9005004","2022/08/04 5:00:00","80007","2022/08/05 4:59:59","3"
"69","0","9005005","2022/08/05 5:00:00","80007","2022/08/06 4:59:59","3"
"70","0","9005006","2022/08/06 5:00:00","80007","2022/08/07 4:59:59","3"
"71","0","9005007","2022/08/07 5:00:00","80007","2022/08/08 4:59:59","3"
"72","0","9005008","2022/08/08 5:00:00","80007","2022/08/09 4:59:59","3"
"73","0","9005009","2022/08/09 5:00:00","80007","2022/08/10 4:59:59","3"
"74","0","9005010","2022/08/10 5:00:00","80007","2022/08/11 4:59:59","3"
