ab8412fe64905be21f826448df104d0b47f6e37b79e9423c8881b60b1623ece9,7ae7fa8b8000afd4fd1028069ce2ad527a54ea38dc1130f43193de945585e6a0,08165eee8424baaea4ce4a6f4c21ba863f9bf56facd4147b4a550dd46a9e453f,d460a15931ce094e5164b80d119df1199fd87b74df60038ba405ab5b3e87ed8d,9e37d2170f042d62fa0ca4858e415727206c81329b75c9d53cdc0ada71e6b562,326547427f7c19cad49051fb0f2704b960ac545e2953cb5a4161db3faedae543,a2439c0ed7270beceb96883826649882adf6cea6311b905dde8736e6fddcc9ea,d46be016d89d64275d4f6d983fb27eb70375d366b2cebf53a8395b18b3c9f28e,1143d6aefb01271ea500cdbb349d7154e9407ed491dfcac54fb55dd283c01909,ae919cf3ba01bf94efd3fe5b331d3bc0b5629755aec4520601efa25ea0bb9d14,cfa92755aed45d719c44efb00fcec9efdea095e555e76fc22c702ee6b4c8abaa,74d21f1d01cb372fa366ac80be04c0682754de17e4cc6e802ef0e694b2e70101
"1","0","1","0","0","0","0","100980101","0.8","4","1009801","0"
"2","0","0","vo_lsv","0","0","0","100980102","0","2","1009801","vo_lsv_0101"
"3","1","0","0","0","300","2","100980103","0","1","1009801","0"
"4","0","1","0","0","0","0","100980104","2.3","4","1009801","0"
"5","2","0","0","0","280","2","100980105","0","1","1009801","0"
"6","0","1","0","0","0","0","100980106","3","4","1009801","0"
"7","0","0","vo_lsv","0","0","0","100980107","0","2","1009801","vo_lsv_0102"
"8","3","0","0","0","300","2.05","100980108","0","1","1009801","0"
"9","0","1","0","0","0","0","100980109","2.05","4","1009801","0"
"10","4","0","0","0","327","1.8","100980110","0","1","1009801","0"
"11","0","1","0","0","0","0","100980111","2.8","4","1009801","0"
"12","0","0","vo_lsv","0","0","0","100980112","0","2","1009801","vo_lsv_0103"
"13","5","0","0","0","300","2.3","100980113","0","1","1009801","0"
"14","0","1","0","0","0","0","100980114","2.5","4","1009801","0"
"15","6","0","0","0","275","1.9","100980115","0","1","1009801","0"
"16","0","1","0","0","0","0","100980116","2.9","4","1009801","0"
"17","0","0","vo_lsv","0","0","0","100980117","0","2","1009801","vo_lsv_0104"
"18","7","0","0","0","300","2.7","100980118","0","1","1009801","0"
"19","0","1","0","0","0","0","100980119","2.9","4","1009801","0"
"20","8","0","0","0","310","2.3","100980120","0","1","1009801","0"
"21","0","1","0","0","0","0","100980121","2.3","4","1009801","0"
"22","9","0","0","0","250","1.8","100980122","0","1","1009801","0"
"23","0","1","0","0","0","0","100980123","2.8","4","1009801","0"
"24","0","0","vo_lsv","0","0","0","100980124","0","2","1009801","vo_lsv_0105"
"25","10","0","0","0","320","2.5","100980125","0","1","1009801","0"
"26","0","1","0","0","0","0","100980126","2.5","4","1009801","0"
"27","11","0","0","15","165","0.7","100980127","0","1","1009801","0"
"1","0","1","0","0","0","0","100980201","0.8","4","1009802","0"
"2","0","0","vo_lsv","0","0","0","100980202","0","2","1009802","vo_lsv_0201"
"3","1","0","0","0","300","1.51","100980203","0","1","1009802","0"
"4","0","1","0","0","0","0","100980204","1.51","4","1009802","0"
"5","2","0","0","0","300","1.5","100980205","0","1","1009802","0"
"6","0","1","0","0","0","0","100980206","2.5","4","1009802","0"
"7","0","0","vo_lsv","0","0","0","100980207","0","2","1009802","vo_lsv_0202"
"8","3","0","0","0","300","1.8","100980208","0","1","1009802","0"
"9","0","1","0","0","0","0","100980209","1.8","4","1009802","0"
"10","4","0","0","0","300","1.1","100980210","0","1","1009802","0"
"11","0","1","0","0","0","0","100980211","2.1","4","1009802","0"
"12","0","0","vo_lsv","0","0","0","100980212","0","2","1009802","vo_lsv_0203"
"13","5","0","0","0","300","1.95","100980213","0","1","1009802","0"
"14","0","1","0","0","0","0","100980214","1.95","4","1009802","0"
"15","6","0","0","0","310","2.05","100980215","0","1","1009802","0"
"16","0","1","0","0","0","0","100980216","2.05","4","1009802","0"
"17","7","0","0","0","150","0.8","100980217","0","1","1009802","0"
"18","0","1","0","0","0","0","100980218","1.8","4","1009802","0"
"19","0","0","vo_lsv","0","0","0","100980219","0","2","1009802","vo_lsv_0204"
"20","8","0","0","0","300","1.7","100980220","0","1","1009802","0"
"21","0","1","0","0","0","0","100980221","2.1","4","1009802","0"
"22","9","0","0","0","327","2.3","100980222","0","1","1009802","0"
"23","0","1","0","0","0","0","100980223","3.3","4","1009802","0"
"24","0","0","vo_lsv","0","0","0","100980224","0","2","1009802","vo_lsv_0205"
"25","10","0","0","0","300","1.83","100980225","0","1","1009802","0"
"26","0","1","0","0","0","0","100980226","2.4","4","1009802","0"
"27","11","0","0","0","300","1.7","100980227","0","1","1009802","0"
"28","0","1","0","0","0","0","100980228","2.1","4","1009802","0"
"29","12","0","0","0","210","1.1","100980229","0","1","1009802","0"
"30","0","1","0","0","0","0","100980230","0.5","4","1009802","0"
"1","0","1","0","0","0","0","100980301","0.8","4","1009803","0"
"2","0","0","vo_lsv","0","0","0","100980302","0","2","1009803","vo_lsv_0301"
"3","1","0","0","0","300","1.87","100980303","0","1","1009803","0"
"4","0","1","0","0","0","0","100980304","2","4","1009803","0"
"5","2","0","0","0","110","0.561","100980305","0","1","1009803","0"
"6","0","1","0","0","0","0","100980306","1.561","4","1009803","0"
"7","0","0","vo_lsv","0","0","0","100980307","0","2","1009803","vo_lsv_0302"
"8","2","0","0","110","320","1.3","100980308","0","1","1009803","0"
"9","0","1","0","0","0","0","100980309","1.3","4","1009803","0"
"10","3","0","0","0","227","1.2","100980310","0","1","1009803","0"
"11","0","1","0","0","0","0","100980311","2.2","4","1009803","0"
"12","0","0","vo_lsv","0","0","0","100980312","0","2","1009803","vo_lsv_0303"
"13","4","0","0","0","280","2.1","100980313","0","1","1009803","0"
"14","0","1","0","0","0","0","100980314","2.1","4","1009803","0"
"15","5","0","0","0","195","1.2","100980315","0","1","1009803","0"
"16","0","1","0","0","0","0","100980316","2.2","4","1009803","0"
"17","0","0","vo_lsv","0","0","0","100980317","0","2","1009803","vo_lsv_0304"
"18","6","0","0","0","300","1.305","100980318","0","1","1009803","0"
"19","0","1","0","0","0","0","100980319","1.305","4","1009803","0"
"20","7","0","0","0","325","2.181","100980320","0","1","1009803","0"
"21","0","1","0","0","0","0","100980321","2.781","4","1009803","0"
"22","8","0","0","0","250","1.32","100980322","0","1","1009803","0"
"23","0","1","0","0","0","0","100980323","2.32","4","1009803","0"
"24","0","0","vo_lsv","0","0","0","100980324","0","2","1009803","vo_lsv_0305"
"25","9","0","0","0","300","2.453","100980325","0","1","1009803","0"
"26","0","1","0","0","0","0","100980326","2.453","4","1009803","0"
"27","10","0","0","0","215","1.547","100980327","0","1","1009803","0"
"28","0","1","0","0","0","0","100980328","2.547","4","1009803","0"
"29","0","0","vo_lsv","0","0","0","100980329","0","2","1009803","vo_lsv_0306"
"30","11","0","0","0","300","1.95","100980330","0","1","1009803","0"
"31","0","1","0","0","0","0","100980331","2.95","4","1009803","0"
"32","0","0","vo_lsv","0","0","0","100980332","0","2","1009803","vo_lsv_0307"
"33","12","0","0","0","240","1.39","100980333","0","1","1009803","0"
"1","0","1","0","0","0","0","100980401","0.8","4","1009804","0"
"2","0","0","vo_lsv","0","0","0","100980402","0","2","1009804","vo_lsv_0401"
"3","1","0","0","0","300","2.4","100980403","0","1","1009804","0"
"4","0","1","0","0","0","0","100980404","2.4","4","1009804","0"
"5","2","0","0","0","150","0.6","100980405","0","1","1009804","0"
"6","0","1","0","0","0","0","100980406","1.6","4","1009804","0"
"7","0","0","vo_lsv","0","0","0","100980407","0","2","1009804","vo_lsv_0402"
"8","3","0","0","0","355","2.35","100980408","0","1","1009804","0"
"9","0","1","0","0","0","0","100980409","3.35","4","1009804","0"
"10","0","0","vo_lsv","0","0","0","100980410","0","2","1009804","vo_lsv_0403"
"11","4","0","0","0","300","1.669","100980411","0","1","1009804","0"
"12","0","1","0","0","0","0","100980412","2.1","4","1009804","0"
"13","5","0","0","0","230","1.7","100980413","0","1","1009804","0"
"14","0","1","0","0","0","0","100980414","2","4","1009804","0"
"15","6","0","0","0","230","1.35","100980415","0","1","1009804","0"
"16","0","1","0","0","0","0","100980416","2.85","4","1009804","0"
"17","0","0","vo_lsv","0","0","0","100980417","0","2","1009804","vo_lsv_0404"
"18","7","0","0","0","327","1.51","100980418","0","1","1009804","0"
"19","0","1","0","0","0","0","100980419","1.61","4","1009804","0"
"20","8","0","0","0","300","1.29","100980420","0","1","1009804","0"
"21","0","1","0","0","0","0","100980421","1.949","4","1009804","0"
"22","9","0","0","0","300","1.925","100980422","0","1","1009804","0"
"1","0","1","0","0","0","0","100980501","0.8","4","1009805","0"
"2","0","0","vo_lsv","0","0","0","100980502","0","2","1009805","vo_lsv_0501"
"3","1","0","0","0","300","2.115","100980503","0","1","1009805","0"
"4","0","1","0","0","0","0","100980504","3.115","4","1009805","0"
"5","0","0","vo_lsv","0","0","0","100980505","0","2","1009805","vo_lsv_0502"
"6","2","0","0","0","310","1.743","100980506","0","1","1009805","0"
"7","0","1","0","0","0","0","100980507","2.743","4","1009805","0"
"8","0","0","vo_lsv","0","0","0","100980508","0","2","1009805","vo_lsv_0503"
"9","3","0","0","0","300","1.86","100980509","0","1","1009805","0"
"10","0","1","0","0","0","0","100980510","2.26","4","1009805","0"
"11","4","0","0","0","300","1.667","100980511","0","1","1009805","0"
"12","0","1","0","0","0","0","100980512","2.324","4","1009805","0"
"13","5","0","0","0","310","2.168","100980513","0","1","1009805","0"
"14","0","1","0","0","0","0","100980514","3.168","4","1009805","0"
"15","0","0","vo_lsv","0","0","0","100980515","0","2","1009805","vo_lsv_0504"
"16","6","0","0","0","300","1.752","100980516","0","1","1009805","0"
"17","0","1","0","0","0","0","100980517","2.276","4","1009805","0"
"18","7","0","0","0","300","1.43","100980518","0","1","1009805","0"
"19","0","1","0","0","0","0","100980519","1.43","4","1009805","0"
"20","8","0","0","0","125","0.749","100980520","0","1","1009805","0"
"21","0","1","0","0","0","0","100980521","1.749","4","1009805","0"
"22","0","0","vo_lsv","0","0","0","100980522","0","2","1009805","vo_lsv_0505"
"23","8","0","0","125","300","0.65","100980523","0","1","1009805","0"
"24","0","1","0","0","0","0","100980524","0.65","4","1009805","0"
"25","9","0","0","0","300","1.753","100980525","0","1","1009805","0"
"26","0","1","0","0","0","0","100980526","1.753","4","1009805","0"
"27","10","0","0","0","160","0.929","100980527","0","1","1009805","0"
"28","0","1","0","0","0","0","100980528","1.929","4","1009805","0"
"29","0","0","vo_lsv","0","0","0","100980529","0","2","1009805","vo_lsv_0506"
"30","10","0","0","160","300","0.536","100980530","0","1","1009805","0"
"31","0","1","0","0","0","0","100980531","0.536","4","1009805","0"
"32","11","0","0","0","327","1.438","100980532","0","1","1009805","0"
"33","0","1","0","0","0","0","100980533","1.438","4","1009805","0"
"34","12","0","0","0","300","2.426","100980534","0","1","1009805","0"
"1","0","1","0","0","0","0","100980601","0.8","4","1009806","0"
"2","0","0","vo_lsv","0","0","0","100980602","0","2","1009806","vo_lsv_0601"
"3","1","0","0","0","330","2.5","100980603","0","1","1009806","0"
"4","0","1","0","0","0","0","100980604","2.5","4","1009806","0"
"5","2","0","0","0","270","1.5","100980605","0","1","1009806","0"
"6","0","1","0","0","0","0","100980606","2.5","4","1009806","0"
"7","0","0","vo_lsv","0","0","0","100980607","0","2","1009806","vo_lsv_0602"
"8","3","0","0","0","325","1.9","100980608","0","1","1009806","0"
"9","0","1","0","0","0","0","100980609","1.9","4","1009806","0"
"10","4","0","0","0","300","1.744","100980610","0","1","1009806","0"
"11","0","1","0","0","0","0","100980611","2.329","4","1009806","0"
"12","5","0","0","0","300","1.049","100980612","0","1","1009806","0"
"13","0","1","0","0","0","0","100980613","1.049","4","1009806","0"
"14","6","0","0","0","210","1.093","100980614","0","1","1009806","0"
"15","0","1","0","0","0","0","100980615","2.093","4","1009806","0"
"16","0","0","vo_lsv","0","0","0","100980616","0","2","1009806","vo_lsv_0603"
"17","7","0","0","0","300","1.9","100980617","0","1","1009806","0"
"18","0","1","0","0","0","0","100980618","1.9","4","1009806","0"
"19","8","0","0","0","300","2.4","100980619","0","1","1009806","0"
"20","0","1","0","0","0","0","100980620","2.4","4","1009806","0"
"21","9","0","0","0","300","1.65","100980621","0","1","1009806","0"
"22","0","1","0","0","0","0","100980622","2.65","4","1009806","0"
"23","0","0","vo_lsv","0","0","0","100980623","0","2","1009806","vo_lsv_0604"
"24","10","0","0","0","300","1.763","100980624","0","1","1009806","0"
"25","0","1","0","0","0","0","100980625","1.763","4","1009806","0"
"26","11","0","0","0","205","1.308","100980626","0","1","1009806","0"
"27","0","1","0","0","0","0","100980627","2.308","4","1009806","0"
"28","0","0","vo_lsv","0","0","0","100980628","0","2","1009806","vo_lsv_0605"
"29","11","0","0","205","320","1","100980629","0","1","1009806","0"
"30","0","1","0","0","0","0","100980630","1","4","1009806","0"
"31","12","0","0","0","270","1.853","100980631","0","1","1009806","0"
"1","0","1","0","0","0","0","100980701","0.8","4","1009807","0"
"2","0","0","vo_lsv","0","0","0","100980702","0","2","1009807","vo_lsv_0701"
"3","1","0","0","0","300","1.355","100980703","0","1","1009807","0"
"4","0","1","0","0","0","0","100980704","1.355","4","1009807","0"
"5","2","0","0","0","300","1.126","100980705","0","1","1009807","0"
"6","0","1","0","0","0","0","100980706","1.126","4","1009807","0"
"7","3","0","0","0","300","1.641","100980707","0","1","1009807","0"
"8","0","1","0","0","0","0","100980708","2","4","1009807","0"
"9","0","0","vo_lsv","0","0","0","100980709","0","2","1009807","vo_lsv_0702"
"10","4","0","0","0","300","1.325","100980710","0","1","1009807","0"
"11","0","1","0","0","0","0","100980711","1.325","4","1009807","0"
"12","5","0","0","0","327","1.891","100980712","0","1","1009807","0"
"13","0","1","0","0","0","0","100980713","2.437","4","1009807","0"
"14","6","0","0","0","327","1.93","100980714","0","1","1009807","0"
"15","0","1","0","0","0","0","100980715","2.93","4","1009807","0"
"16","0","0","vo_lsv","0","0","0","100980716","0","2","1009807","vo_lsv_0703"
"17","7","0","0","0","300","1.84","100980717","0","1","1009807","0"
"18","0","1","0","0","0","0","100980718","2.361","4","1009807","0"
"19","8","0","0","0","300","1.38","100980719","0","1","1009807","0"
"20","0","1","0","0","0","0","100980720","1.38","4","1009807","0"
"21","9","0","0","0","300","1.399","100980721","0","1","1009807","0"
"22","0","1","0","0","0","0","100980722","2.399","4","1009807","0"
"23","0","0","vo_lsv","0","0","0","100980723","0","2","1009807","vo_lsv_0704"
"24","10","0","0","0","300","2.268","100980724","0","1","1009807","0"
"25","0","1","0","0","0","0","100980725","2.268","4","1009807","0"
"26","11","0","0","0","300","1.299","100980726","0","1","1009807","0"
"1","0","1","0","0","0","0","100980801","0.8","4","1009808","0"
"2","0","0","vo_lsv","0","0","0","100980802","0","2","1009808","vo_lsv_0801"
"3","1","0","0","0","300","1.4","100980803","0","1","1009808","0"
"4","0","1","0","0","0","0","100980804","1.4","4","1009808","0"
"5","2","0","0","0","300","1","100980805","0","1","1009808","0"
"6","0","1","0","0","0","0","100980806","2","4","1009808","0"
"7","0","0","vo_lsv","0","0","0","100980807","0","2","1009808","vo_lsv_0802"
"8","3","0","0","0","300","1.6","100980808","0","1","1009808","0"
"9","0","1","0","0","0","0","100980809","1.8","4","1009808","0"
"10","4","0","0","0","300","1","100980810","0","1","1009808","0"
"11","0","1","0","0","0","0","100980811","1","4","1009808","0"
"12","5","0","0","0","300","1.5","100980812","0","1","1009808","0"
"13","0","1","0","0","0","0","100980813","2.5","4","1009808","0"
"14","0","0","vo_lsv","0","0","0","100980814","0","2","1009808","vo_lsv_0803"
"15","6","0","0","0","320","1.9","100980815","0","1","1009808","0"
"16","0","1","0","0","0","0","100980816","2.5","4","1009808","0"
"17","7","0","0","0","240","1.3","100980817","0","1","1009808","0"
"18","0","1","0","0","0","0","100980818","2.3","4","1009808","0"
"19","0","0","vo_lsv","0","0","0","100980819","0","2","1009808","vo_lsv_0804"
"20","8","0","0","0","300","1.3","100980820","0","1","1009808","0"
"21","0","1","0","0","0","0","100980821","1.3","4","1009808","0"
"22","9","0","0","0","300","1.5","100980822","0","1","1009808","0"
"23","0","1","0","0","0","0","100980823","2.5","4","1009808","0"
"24","0","0","vo_lsv","0","0","0","100980824","0","2","1009808","vo_lsv_0805"
"25","10","0","0","0","300","1.4","100980825","0","1","1009808","0"
"26","0","1","0","0","0","0","100980826","2.6","4","1009808","0"
"27","0","0","vo_lsv","0","0","0","100980827","0","2","1009808","vo_lsv_0806"
"28","11","0","0","15","327","1.363","100980828","0","1","1009808","0"
"1","0","1","0","0","0","0","100980901","0.8","4","1009809","0"
"2","0","0","vo_lsv","0","0","0","100980902","0","2","1009809","vo_lsv_0901"
"3","1","0","0","0","300","2.1","100980903","0","1","1009809","0"
"4","0","1","0","0","0","0","100980904","2.9","4","1009809","0"
"5","0","0","vo_lsv","0","0","0","100980905","0","2","1009809","vo_lsv_0902"
"6","2","0","0","0","327","2.46","100980906","0","1","1009809","0"
"7","0","1","0","0","0","0","100980907","2.64","4","1009809","0"
"8","3","0","0","0","327","1.845","100980908","0","1","1009809","0"
"9","0","1","0","0","0","0","100980909","1.85","4","1009809","0"
"10","4","0","0","0","300","1.735","100980910","0","1","1009809","0"
"11","0","1","0","0","0","0","100980911","2","4","1009809","0"
"12","0","0","vo_lsv","0","0","0","100980912","0","2","1009809","vo_lsv_0903"
"13","5","0","0","0","327","2.484","100980913","0","1","1009809","0"
"14","0","1","0","0","0","0","100980914","2.663","4","1009809","0"
"15","6","0","0","0","327","1.546","100980915","0","1","1009809","0"
"16","0","1","0","0","0","0","100980916","1.55","4","1009809","0"
"17","7","0","0","0","327","1.205","100980917","0","1","1009809","0"
"18","0","1","0","0","0","0","100980918","1.5","4","1009809","0"
