0e435a6772194a95189a55a29d18915a38c531d2b325786b0dd35fbdfb30daac,6777cdc582f4eb95f1620c171aa35e187d5cb4114664ac45c1d42068e2e298e4,a6062405926c505f1a2091b7d1f47d65f245903cce1be1c61063d9beb89d41d7,1af07ec7902e0db08bd24c6bffa99215716de2a862c76054b3fcc728fa8083ef,2f14c235a805399781798c75281430982b7a70274069f3ec80f8c3c39e39bbe8,abb2e08aa4db28060babd52b5fd0163b33ef88446f837b77cee2e2fa9a4fd9c3,6be0d2fcc21558490cb5d1be2366fb8b938e260264c2b7e07c23df6ddfde1587,21d38f19b9de842c7f05d869e330a42d5ca1f2b4973e0f4db42deb0d67a06ce3,c269f7fd83911d4b454ebfd24317406cbd8f4ff9cf09bfe25f7d1b590e394fc5,d39da8258f7097132cbdb9ccbb048f5fbcdf7ec98ace72112df776edaa8b48b2,d9a4bae5cb02067b9070f3cb89806a15202c005e66489f9251d174ea5d7336b9
"bsm_idle_yamato","0","100","0","1001","1","1","1","1.3","0","130011"
"","1","0","bsm_drama_arm_crossed_loop","1002","1","130011","3","0.2","0","bsm_drama_arm_crossed"
"","","0","0","1003","1","vo_minigame_1014","21","","","vo_minigame_1014_top_1000"
"1","0","5","1","1004","1","130011","11","0","0","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな"
"","","","","1005","1","0","91","","",""
"","","1","","1006","1","130011","3","0.3","","bsm_idle_yamato"
"bsm_idle_yamato","0","100","0","2001","2","1","1","1.3","0","130011"
"","","1","","2002","2","130011","3","0.2","","bsm_drama_thinking"
"","","0","0","2003","2","vo_minigame_1014","21","","","vo_minigame_1014_top_1001"
"1","0","6","1","2004","2","130011","11","0","0","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね"
"","","","","2005","2","0","91","","",""
"","","1","","2006","2","130011","3","0.3","","bsm_idle_yamato"
"bsm_idle_yamato","0","100","0","3001","3","1","1","1.3","0","130011"
"","1","0","bsm_drama_doya_loop","3002","3","130011","3","0.2","0","bsm_drama_doya"
"","","0","0","3003","3","vo_minigame_1014","21","","","vo_minigame_1014_top_1002"
"1","0","7","1","3004","3","130011","11","0","0","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ"
"","","","","3005","3","0","91","","",""
"","","1","","3006","3","130011","3","0.3","","bsm_idle_yamato"
"bsm_idle_wakana","0","100","0","4001","4","1","1","1.3","0","130111"
"","1","0","bsm_drama_guts_loop","4002","4","130111","3","0.2","0","bsm_drama_guts"
"","","0","0","4003","4","vo_minigame_1014","21","","","vo_minigame_1014_top_2000"
"1","0","8","1","4004","4","130111","11","0","0","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！"
"","","","","4005","4","0","91","","",""
"","","1","","4006","4","130111","3","0.3","","bsm_idle_wakana"
"bsm_idle_wakana","0","100","0","5001","5","1","1","1.3","0","130111"
"","","1","","5002","5","130111","3","0.2","","bsm_drama_wish"
"","","0","0","5003","5","vo_minigame_1014","21","","","vo_minigame_1014_top_2001"
"1","0","8","1","5004","5","130111","11","0","0","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです"
"","","","","5005","5","0","91","","",""
"","","1","","5006","5","130111","3","0.3","","bsm_idle_wakana"
"bsm_idle_wakana","0","100","0","6001","6","1","1","1.3","0","130111"
"","","1","","6002","6","130111","3","0.2","","bsm_drama_pazzled"
"","","0","0","6003","6","vo_minigame_1014","21","","","vo_minigame_1014_top_2002"
"1","0","7","1","6004","6","130111","11","0","0","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？"
"","","","","6005","6","0","91","","",""
"","","1","","6006","6","130111","3","0.3","","bsm_idle_wakana"
"bsm_idle_fubuki","0","100","0","7001","7","1","1","1.3","0","130211"
"","","1","","7002","7","130211","3","0.2","","bsm_drama_smile"
"","","0","0","7003","7","vo_minigame_1014","21","","","vo_minigame_1014_top_3000"
"1","0","5","1","7004","7","130211","11","0","0","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡"
"","","","","7005","7","0","91","","",""
"","","1","","7006","7","130211","3","0.2","","bsm_idle_fubuki"
"bsm_idle_fubuki","0","100","0","8001","8","1","1","1.3","0","130211"
"","1","0","bsm_drama_doya_loop","8002","8","130211","3","0.2","","bsm_drama_doya"
"","","0","0","8003","8","vo_minigame_1014","21","","","vo_minigame_1014_top_3001"
"1","0","7","1","8004","8","130211","11","0","0","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？"
"","","","","8005","8","0","91","","",""
"","","1","","8006","8","130211","3","0.2","","bsm_idle_fubuki"
"bsm_idle_fubuki","0","100","0","9001","9","1","1","1.3","0","130211"
"","1","0","bsm_drama_laugh_loop","9002","9","130211","3","0.2","0","bsm_drama_laugh"
"","","0","0","9003","9","vo_minigame_1014","21","","","vo_minigame_1014_top_3002"
"1","0","7","1","9004","9","130211","11","0","0","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡"
"","","","","9005","9","0","91","","",""
"","","1","","9006","9","130211","3","0.2","","bsm_idle_fubuki"
