3c606a75be8122d0f4c8077d300bac79e93b0a9520e271f3e911aadc7285c8a8,89e882e7a403c5aa3aafaf74d9c5e76d774e2f1a8334d73d6c07daff49be7382,29ffd74327f03f5e0342f9b2ed5fd33729099f1a0ff345eda67b946abdeac641,42382dd61c4007ef79afb7319c2f258605af44bb0fdecbd6bc0367674cc75876,cb54ca8696969483f506ee0b19051e67d7d28b15bfa93db706845aef7b847522,c5e4a1f2ae3eef1b3c9c29878743f94ea5c181b6c186eabd54ed4ecabaf767c8,20bb6c58061d7f9fb61081af4a7858284a38db43e28cfd4d4e8b4fa0b9b7a44e
"2500","累計スコアを2500pt 獲得しよう","12","5126700","94002","50000","1"
"5000","累計スコアを5000pt 獲得しよう","12","0","94002","50000","1"
"7500","累計スコアを7500pt 獲得しよう","12","0","94002","50000","1"
"10000","累計スコアを10000pt 獲得しよう","7","5126701","2839","1","1"
"12500","累計スコアを12500pt 獲得しよう","12","0","94002","80000","1"
"15000","累計スコアを15000pt 獲得しよう","12","0","94002","80000","1"
"17500","累計スコアを17500pt 獲得しよう","12","0","94002","80000","1"
"20000","累計スコアを20000pt 獲得しよう","8","5126702","91002","25","1"
"22500","累計スコアを22500pt 獲得しよう","12","0","94002","100000","1"
"25000","累計スコアを25000pt 獲得しよう","12","0","94002","100000","1"
"27500","累計スコアを27500pt 獲得しよう","8","0","91002","100","1"
"30000","累計スコアを30000pt 獲得しよう","15","5126703","11001262","1","1"
"2500","累計スコアを2500pt 獲得しよう","12","5126710","94002","50000","2"
"5000","累計スコアを5000pt 獲得しよう","12","0","94002","50000","2"
"7500","累計スコアを7500pt 獲得しよう","12","0","94002","50000","2"
"10000","累計スコアを10000pt 獲得しよう","7","5126711","2840","1","2"
"12500","累計スコアを12500pt 獲得しよう","12","0","94002","80000","2"
"15000","累計スコアを15000pt 獲得しよう","12","0","94002","80000","2"
"17500","累計スコアを17500pt 獲得しよう","12","0","94002","80000","2"
"20000","累計スコアを20000pt 獲得しよう","8","5126712","91002","25","2"
"22500","累計スコアを22500pt 獲得しよう","12","0","94002","100000","2"
"25000","累計スコアを25000pt 獲得しよう","12","0","94002","100000","2"
"27500","累計スコアを27500pt 獲得しよう","8","0","91002","100","2"
"30000","累計スコアを30000pt 獲得しよう","15","5126713","11001263","1","2"
