947807ec06292576e71318c24e160ff844e54e525e6e9f70f8799d0846aa7b47,0e71180e2bf2116c23164eb7d7227521997b724e9efea1029cd83eb2a087692b,3779979b20a0eea1e7f3309019cd625d78499d27f0f46d17d4d78c26edb46112,9cde23a711b2676afb81627ce4db6d3ad053873c6289e1f41c4dafcc097120a8,4384a8f4547a19a8cd4924354695439ed40527710004a4e2dcf4281c8aa24b56
"101","片手剣","red","#D23232","90009"
"102","両手剣","red","#D23232","90009"
"103","短剣","red","#D23232","90009"
"104","槍","red","#D23232","90009"
"105","斧","red","#D23232","90009"
"106","弓","red","#D23232","90009"
"107","拳","red","#D23232","90009"
"108","盾","red","#D23232","90009"
"109","杖","red","#D23232","90009"
"110","本","red","#D23232","90009"
"201","服","blue","#476FD8","90010"
"202","鎧","blue","#476FD8","90010"
"203","白ローブ","blue","#476FD8","90010"
"204","黒ローブ","blue","#476FD8","90010"
"301","指輪","yellow","#E5681E","90011"
"302","腕輪","yellow","#E5681E","90011"
"303","ネックレス","yellow","#E5681E","90011"
"304","宝珠","yellow","#E5681E","90011"
"305","イヤリング","yellow","#E5681E","90011"
