061a870dc31789256e9bb561f05f131bcd00281c21bce1a885394f1b6f728011,4e52dcad9e1f7a2c6a909508807b10474b78ab15480995b72828c5eccb7904ae,7df8f751e9f081aac29534d08f1bb929d009c8689904a0c4708599eca6455bd8,527835777fd691a38fe7d0ab61679a913a912fa692ece50b09df48f5fe7b3ca3,e8ea3ba20cd7c3314064fe1dc2c22269a5f78db7fcbb12b10457ed1e9dea300a,f305962c297c680ae98e22de76d459517345cddf9e0d066f8fd89bd8a14bfddf,6d241e14da77b77efd293c2d2d0bded1cdb4edcfa655d9a958c2451ff814ed7f,303da7c3e5ee1d2e146a1772a59b6e4919a5217896ebf9ac68ce4c5b7a288602,e94bb96d0f7114925060c4ba1e500398f9aa834ec529a9a4caa68a6d6796b1ba,b9c53e39e9352a22677bd82a9b9f589ed153dcff69733bc61e8599780073469a,5816e0fac182e7da658527ec8d2eed66d78a94c9c006287a2e300becf2a55fd3
"61001","1","1.8","100","-278","idle_normal","1","0","105811","5146061","-225"
"61002","6","1.8","101","-278","idle_normal","5","0","1058","5146061","-225"
"61003","1","1.8","103","-288","kokkoro_idle_normal","1","0","105911","5146061","-385"
"61004","3","1.8","104","-288","kokkoro_idle_normal","5","0","1059","5146061","-385"
"61005","1","1.8","106","-278","idle_normal","1","1","106011","5146061","290"
"61006","4","1.8","107","-278","idle_normal","5","1","1060","5146061","290"
"61007","105811","","","","","13","","200","5146061",""
"61008","105911","","","","","13","","203","5146061",""
"61009","106011","","","","","13","","206","5146061",""
"61010","7","0.85","15","-174","idle","5","0","7","5146061","0"
"61011","20","1","210","8","empty","5","0","201","5146061","290"
"61012","20","1","211","-78","empty","5","0","202","5146061","0"
"61013","20","1","210","16","empty","5","0","203","5146061","-315"
"61014","21","1","60","153","empty","5","0","21","5146061","0"
"61015","1","1","0","1","","31","","1","5146061","0"
"61016","2","0","0","1","","31","","2","5146061","-57.7"
"61017","10","0","0","1","","31","","10","5146061","0"
"61018","11","0","0","1","","31","","11","5146061","0"
"61019","0","","","","","91","","0","5146061",""
"61020","0","","0","","","102","","0","5146061",""
"61021","1","","","","","93","","0","5146061",""
"61022","106011","0.2","0","1","","3","0","doya_in_shy","5146061","doya_talk_shy"
"61023","1060","0.2","0","1","","3","0","doya_in_shy","5146061","doya_talk_shy"
"61024","vo_apg","","0","","","21","","vo_apg_0101","5146061","0"
"61025","106011","0","10","1","0","11","0","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","5146061","1"
"61026","0","","","","","91","","","5146061",""
"61027","2","","","","","32","","1","5146061",""
"61028","2","","","","","37","","fade105_in","5146061",""
"61029","106011","","","","","4","","0","5146061",""
"61030","1060","","","","","4","","0","5146061",""
"61031","106011","0.5","1","","","3","","sad_idle_dere_shy","5146061",""
"61032","1060","0.5","1","","","3","","sad_idle_dere_shy","5146061",""
"61033","vo_apg","","0","","","21","","vo_apg_0102","5146061","0"
"61034","201","0","0","","","3","","0102_in","5146061",""
"61035","4.6","","","","","93","","1","5146061",""
"61036","201","0","0","","","3","","0102_mid","5146061",""
"61037","","","","","","92","","","5146061",""
"61038","201","0","0","","","3","","0102_out","5146061",""
"61039","0.2","","","","","93","","0","5146061",""
"61040","106011","0.2","0","1","","3","0","kyaru_smile_in","5146061","kyaru_smile_idle"
"61041","1060","0.2","0","1","","3","0","kyaru_smile_in","5146061","kyaru_smile_idle"
"61042","vo_apg","","0","","","21","","vo_apg_0103","5146061","0"
"61043","201","0","0","","","3","","0103_in","5146061",""
"61044","5.4","","","","","93","","1","5146061",""
"61045","201","0","0","","","3","","0103_mid","5146061",""
"61046","","","","","","92","","","5146061",""
"61047","201","0","0","","","3","","0103_out","5146061",""
"61048","0.2","","","","","93","","0","5146061",""
"61049","2","","","","","37","","fade105_out","5146061",""
"61050","105811","","","","","4","","1","5146061",""
"61051","1058","","","","","4","","1","5146061",""
"61052","105811","0.2","1","","","3","","surprise_talk","5146061",""
"61053","1058","0.2","1","","","3","","surprise_talk","5146061",""
"61054","vo_apg","","0","","","21","","vo_apg_0104","5146061","0"
"61055","105811","0","10","1","0","11","0","……キャルちゃん、\n写真写りたくないんですかね…？","5146061","1"
"61056","0","","","","","91","","","5146061",""
"61057","105811","0.2","1","","","3","","surprise_idle_talk1R","5146061",""
"61058","1058","0.2","1","","","3","","surprise_idle_talk1R","5146061",""
"61059","105911","0.2","1","","","3","","kokkoro_surprise_talk","5146061",""
"61060","1059","0.2","1","","","3","","kokkoro_surprise_talk","5146061",""
"61061","vo_apg","","0","","","21","","vo_apg_0105","5146061","0"
"61062","105911","0","10","1","0","11","0","はい。\nどうやらそのようでございます","5146061","1"
"61063","0","","","","","91","","","5146061",""
"61064","105911","0.2","1","","","3","","kokkoro_idle_normal","5146061",""
"61065","1059","0.2","1","","","3","","kokkoro_idle_normal","5146061",""
"61066","105811","0.2","1","","","3","","idle_normal_talk1R","5146061",""
"61067","1058","0.2","1","","","3","","idle_normal_talk1R","5146061",""
"61068","105811","","","","","4","","0","5146061",""
"61069","1058","","","","","4","","0","5146061",""
"61070","106011","","","","","4","","1","5146061",""
"61071","1060","","","","","4","","1","5146061",""
"61072","106011","0.2","0","1","","3","0","cool_in_sing_shy","5146061","cool_talk_sing_shy"
"61073","1060","0.2","0","1","","3","0","cool_in_sing_shy","5146061","cool_talk_sing_shy"
"61074","vo_apg","","0","","","21","","vo_apg_0106","5146061","0"
"61075","106011","0","10","1","0","11","0","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","5146061","1"
"61076","0","","","","","91","","","5146061",""
"61077","0","","","","","22","","0","5146061",""
"61078","106011","0.2","1","","","3","","walk_kyapi_shy","5146061",""
"61079","1060","0.2","1","","","3","","walk_kyapi_shy","5146061",""
"61080","105811","0.2","1","","","3","","walk_furimuki","5146061",""
"61081","1058","0.2","1","","","3","","walk_furimuki","5146061",""
"61082","105911","0.2","1","","","3","","kokkoro_walk_surprise","5146061",""
"61083","1059","0.2","1","","","3","","kokkoro_walk_surprise","5146061",""
"61084","106011","","-278","0","","2","","149","5146061","2"
"61085","1060","","-278","0","","2","","149","5146061","2"
"61086","105811","","-278","0","","2","","-54","5146061","2"
"61087","1058","","-278","0","","2","","-54","5146061","2"
"61088","105911","","-288","0","","2","","-214","5146061","2"
"61089","1059","","-288","0","","2","","-214","5146061","2"
"61090","1","","","","","93","","0","5146061",""
