229311fb5c4848a0834ba8345148c61eb4e2744acf347fb73621143561e6aba9,49a0a31296435755e5f589f3836b01f205a0688fdb58e35bf46dd40ad257fd46,c1b2b9cbc96d9007e69352622ebc05b56e22f5afa176adbac5dc2afd9b9d930a,02855a81c7692f9498c4222db22c87030d5651ba0b62683c7c65dda81f2b61bc,0d48af850cfdb9232829098f691bb489d775b12f5cbb52dbd5bbd5a79a679290,02af7d1bd25aec4cc21998ff562a3572bd7a8ef2ec71ec54a0f0b850062df502,2495828c0dac7e5edd5a79509644622bcd19a21ad9899fe6cfac635f4940f837,ebd94347d6ce6a35f2ff255d8888a22effb9bcdfa2b41d5729f19f0bded08657,a449c2131cca8e94bd58f70f67fc4c3b4d38a598b0e57062bd5a5da318d5013e,f1d4beae52917285f720ee56ed3b5449fb97555fc2d371fd04f32a5794246a3b,5e11ea570827a51c34d7b819442d133de3a00072d8bb6cd537c3e9b34e7dd714
"2","31","284001001","2","25021","10","91002","8","25014","8","1"
"2","31","284001002","2","25021","10","91002","8","25014","8","2"
"2","32","284001003","2","25021","10","91002","8","25014","8","3"
"2","32","284001004","2","25021","10","91002","8","25014","8","4"
"2","33","284001005","2","25021","10","91002","8","25014","8","5"
"2","33","284001006","2","25021","10","91002","9","25014","8","6"
"2","34","284001007","2","25021","10","91002","9","25014","8","7"
"2","35","284001008","2","25021","10","91002","9","25014","8","8"
"2","35","284001009","2","25021","10","91002","9","25014","8","9"
"2","37","284001010","2","25021","30","91002","10","25014","8","10"
"2","41","284001011","2","25021","10","91002","10","25014","8","11"
"2","43","284001012","2","25021","10","91002","11","25014","8","12"
"2","46","284001013","2","25021","10","91002","11","25014","8","13"
"2","48","284001014","2","25021","10","91002","12","25014","8","14"
"2","50","284001015","2","25021","10","91002","12","25014","8","15"
"2","53","284001016","2","25021","10","91002","13","25014","8","16"
"2","55","284001017","2","25021","10","91002","14","25014","8","17"
"2","58","284001018","2","25021","10","91002","14","25014","8","18"
"2","60","284001019","2","25021","10","91002","15","25014","8","19"
"2","62","284001020","2","25021","30","91002","15","25014","8","20"
"2","68","284001021","2","25021","10","91002","16","25014","8","21"
"2","70","284001022","2","25021","10","91002","16","25014","8","22"
"2","72","284001023","2","25021","10","91002","16","25014","8","23"
"2","75","284001024","2","25021","10","91002","17","25014","8","24"
"2","77","284001025","2","25021","10","91002","18","25014","8","25"
"2","79","284001026","2","25021","10","91002","18","25014","8","26"
"2","82","284001027","2","25021","10","91002","19","25014","8","27"
"2","84","284001028","2","25021","10","91002","19","25014","8","28"
"2","86","284001029","2","25021","10","91002","19","25014","8","29"
"2","89","284001030","2","25021","30","91002","20","25014","8","30"
"2","94","284001031","2","25021","10","91002","20","25014","8","31"
"2","96","284001032","2","25021","10","91002","21","25014","8","32"
"2","99","284001033","2","25021","10","91002","21","25014","8","33"
"2","101","284001034","2","25021","10","91002","22","25014","8","34"
"2","103","284001035","2","25021","10","91002","22","25014","8","35"
"2","106","284001036","2","25021","10","91002","23","25014","8","36"
"2","108","284001037","2","25021","10","91002","23","25014","8","37"
"2","111","284001038","2","25021","10","91002","24","25014","8","38"
"2","113","284001039","2","25021","10","91002","25","25014","8","39"
"2","115","284001040","2","25021","30","91002","25","25014","8","40"
"2","121","284001041","2","25021","10","91002","26","25014","8","41"
"2","123","284001042","2","25021","10","91002","27","25014","8","42"
"2","125","284001043","2","25021","10","91002","28","25014","8","43"
"2","128","284001044","2","25021","10","91002","28","25014","8","44"
"2","130","284001045","2","25021","10","91002","29","25014","8","45"
"2","132","284001046","2","25021","10","91002","30","25014","8","46"
"2","135","284001047","2","25021","10","91002","30","25014","8","47"
"2","137","284001048","2","25021","10","91002","31","25014","8","48"
"2","139","284001049","2","25021","10","91002","31","25014","8","49"
"2","142","284001050","2","25021","30","91002","31","25014","8","50"
"2","144","284001051","2","25021","10","91002","32","25014","8","51"
"2","146","284001052","2","25021","10","91002","32","25014","8","52"
"2","149","284001053","2","25021","10","91002","32","25014","8","53"
"2","152","284001054","2","25021","10","91002","33","25014","8","54"
"2","155","284001055","2","25021","10","91002","33","25014","8","55"
"2","157","284001056","2","25021","10","91002","33","25014","8","56"
"2","160","284001057","2","25021","10","91002","34","25014","8","57"
"2","163","284001058","2","25021","10","91002","34","25014","8","58"
"2","166","284001059","2","25021","10","91002","34","25014","8","59"
"2","169","284001060","2","25021","30","91002","35","25014","8","60"
"2","171","284001061","2","25021","10","91002","35","25014","8","61"
"2","174","284001062","2","25021","10","91002","35","25014","8","62"
"2","177","284001063","2","25021","10","91002","36","25014","8","63"
"2","180","284001064","2","25021","10","91002","36","25014","8","64"
"2","182","284001065","2","25021","10","91002","36","25014","8","65"
"2","185","284001066","2","25021","10","91002","37","25014","8","66"
"2","187","284001067","2","25021","10","91002","37","25014","8","67"
"2","190","284001068","2","25021","10","91002","37","25014","8","68"
"2","193","284001069","2","25021","10","91002","38","25014","8","69"
"2","196","284001070","2","25021","30","91002","38","25014","8","70"
