28ded4e578b2c5f6eba44f2e23e2c13b14dc9523aeebaff9dbb9e8d61de0b856,2a0b9e3bd4b0343fc63e1819e909cf8f825b71396689c62589969fd15fb59e82,8f419d835804dfd09ad82c81999625bfd5614b659cce9dd3d9074813920b9431,5c4ec9fed546a25bfcf3019642567c36a47dc3739c2c0e671d74d08928c53c9b,d598a724aa4a8a7beeae76fa1f0d17f983178b092047111d2d38ccc7dc960097,a2e4755e12e9628b9000fc1e1035d61ba4b9d3166ea591bba805ae3e03ee50ae,954188fcacba0e0b5b48e1156fc9e44499298a8a16f40f7dd9de1c2e8ba39471,12228351dd9de3bfcde4354d6d37ec8dd696a79210145fc9b9eed2371a0b732b,2f20a1eb98517298d5f7a98e9c86e29a712d885966657bf16ca0b5a81d040f8b,6c13e51236487abd7ab11b510f1f275c1f83e19d77d6ff2aac20f5be86efcdcb
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1001","ライラエル","","","126501","1"
"10001","0","最大1000マイルを入手する","2","1002","モニカ","","","105301","2"
"1","0","料理を{0}つ入手する","3","1003","クローチェ","","","126401","1"
"1","0","ダイスの目を{0}回振りなおせる","4","1004","マツリ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100501","3"
"2","0","ダイスの目を{0}回振りなおせる","4","1005","ナナカ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101301","2"
"4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1006","マコト","出目が{0}のダイスを同時に振って\nどちらか選択できる","","104301","2"
"3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1007","エリコ","出目が{0}のダイスを同時に振って\nどちらか選択できる","","102701","3"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1008","アンナ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","100901","1"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1009","ミツキ","","","105101","1"
"10001","0","最大1000マイルを入手する","2","1010","イオ","","","101801","2"
"0","0","ダイスの表と裏\nどちらを適用するか選択できる","8","1011","ネフィ＝ネラ","ダイスの表と裏\nどちらを適用するか選択できる","","129701","2"
"1","0","ダイスの目を{0}回振りなおせる","4","1012","スズナ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101601","3"
"2","0","ダイスの目を{0}回振りなおせる","4","1013","ルカ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","105601","2"
"3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1014","ミミ","出目が{0}のダイスを同時に振って\nどちらか選択できる","","102001","3"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1015","アネモネ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","129601","1"
"1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","10","1016","ミソギ","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","","100401","2"
"2","1","出たダイスの目が{0}だった場合、\n+{1}進める","13","1017","リンド","出たダイスの目が{0}だった場合、\n+{1}進める","","127701","3"
"1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","10","1018","ヴルム","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","","127801","2"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1019","ミフユ","","","104801","1"
"2","0","ダイスの目を{0}回振りなおせる","4","1020","ジュン","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","104701","2"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1021","ミサキ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","105001","1"
"10002","0","最大2000マイルを入手する","2","1022","アキノ","","","103201","1"
"1","0","福引券を{0}枚入手する","12","1023","クルル","","","130901","1"
"1","0","料理を{0}つ入手する","3","1024","スズメ","","","102501","1"
"0","0","ダイスの表と裏\nどちらを適用するか選択できる","8","1025","ユキ","ダイスの表と裏\nどちらを適用するか選択できる","","100801","2"
"4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1026","ネア","出目が{0}のダイスを同時に振って\nどちらか選択できる","","123301","2"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1027","タマキ","","","104601","1"
"2","0","ダイスの目を{0}回振りなおせる","4","1028","ランファ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118101","2"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1029","ユカリ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","103401","1"
"10002","0","最大2000マイルを入手する","2","1030","クレジッタ","","","118001","1"
"1","0","福引券を{0}枚入手する","12","1031","サレン","","","102801","1"
"1","0","料理を{0}つ入手する","3","1032","ユイ","","","100201","1"
"1","1","出たダイスの目が{0}だった場合、\n+{1}進める","13","1033","ハツネ","出たダイスの目が{0}だった場合、\n+{1}進める","","101201","3"
"1","0","ダイスの目を{0}回振りなおせる","4","1034","ミソラ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118201","3"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1035","ムイミ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","106101","1"
"4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1036","シノブ","出目が{0}のダイスを同時に振って\nどちらか選択できる","","103101","2"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1037","マヒル","","","103301","1"
"10002","0","最大2000マイルを入手する","2","1038","キョウカ","","","103601","1"
"1","0","福引券を{0}枚入手する","12","1039","グレイス","","","133001","1"
"1","0","料理を{0}つ入手する","3","1040","ヴァイオレット","","","133101","1"
"0","0","ダイスの表と裏\nどちらを適用するか選択できる","8","1041","ラビリスタ","ダイスの表と裏\nどちらを適用するか選択できる","","106801","2"
