3227d30fff8ea487f61d788e2322440e932a0845735f37765093abb518bd990d,b2ad21519792c8c8b882a00ecf45c8af5b65d61a0eb4ab2484768a79e4784074,8f1c9f9e77810de67e51038392c4c978b646eda528527e67a8b01da1ac4512bb,b8cbe2a49e5eb4ad36f24b8042112137b33a5c40d2ce6cf850c92e89a35d84c8,655b5392e2c2b46890889ca59f8a30efcbe3284468771d6b6b27d1bcf2c377cd,ad03b44e7979c66bd9e2b1cd3b6f61963e4ec688a6acc05fe5099a326f7086b6,c66bccbe956488ec75d30af72084ab3185bf96a4062724a038e6bc56a869fbaf,041dbd771f1b583810bc0dfa3c918cd5a39bd96aa2e53d4866360b661a64d087,123335606398f85d6fc417d16cfdaa3c92a60c4ff39d34f217665e527804392e,6ca0cfe8b3282b0af255148f3c744adab9d498c93928a98129acb893ef2795a4,4b3dac2bdff8b8324d9eacbe055d8155053460d88ef53878107769bafc9b32b9,94c675d063f2bfdc1393e6219cc02ed46cbfb36adb4a5d55bd89ecfb8fa0c729
"0","0","0","0","0","0","0","1","0","0","0","0"
"1","0","0","800","0","1","3","11002","2","0","0","0"
"1","0","0","500","0","1","1","12001","1","0","0","0"
"1","0","0","700","0","1","1","12002","1","0","0","0"
"1","0","0","600","0","1","1","13001","2","0","0","0"
"1","0","0","700","0","1","1","13002","2","0","0","0"
"1","0","0","600","0","1","1","14002","2","0","0","0"
"2","0","0","900","0","1","3","21001","2","0","0","0"
"8000","0","0","0","0","2","0","22001","0","0","0","0"
"5","0","0","1","0","3","99","23001","1","0","0","1"
"7","0","0","1","0","3","99","23002","1","0","0","1"
"0","0","0","3","0","5","0","25001","4","0","0","1"
"0","0","0","0","0","5","0","25002","1","1","0","0"
"1","0","0","3","0","5","0","25003","4","0","0","1"
"1","0","0","0","0","5","0","25004","1","1","0","0"
"76","0","0","37","0","6","0","26001","0","40","0","0"
"2","0","0","1","0","7","0","27001","0","1","0","0"
"3","0","0","1","0","7","0","27002","0","1","0","0"
"0","0","0","0","0","8","0","28001","0","0","0","0"
