056b108681ba389da45fcb550bf5290466443668a8d738101ef04e5e3e2b41a3,991d21fcf394e3ffed38f77b19e53bfb8a42b2c30108c9c0b7d1bfa22440c1f9,f9aa2f250e5210d34c9392ed4f63390756a2385a1bd729f3308947777f70905a,e07488c3d82c3f5bcf0e6d9afea62ed96fc26a7e48fa17f77e7cbbd30c422bd3,dd38930d90cc50863c776a6272526f2c5613862b1c114911fc54cbbdbf3443a5,cc67bba29af908e6bda488afa43b7db3add1a1277eda224f250b93726b1ce05f,bc3e5c80a546ff0c82f622d4f3c94164a442590d37ef6095b2ae2003291658e1,bbf0a19ffacb79e026a3a5fade5ffe78fee8fa63145a4f67cd1e168ad5bd1d85,3f18b41f163b4b624830e87be818f286451a9929eb56dfb4f63519c74c408bab,650651b8b58613f4cdaac2ab287d354f9ed37bbb1fc13aaf9ebc1c2f3cefb6b2,e6c1ffdba2912e2ad20c91c3e21fd3d7d9642856507aaadb847a8cc3ceafaff0,0f5e19c4197940dce7444c3f97195ed3d4945cba36f306615f1a2cd39becb328,6ba447d63ff0b30e23cd28fa63ddc35af631c82f4c91b38fe10e2d6f4a299356,66420af8daead462145d5f3bc16eeacddd76ca698cd1b7e5e4a2962da0b83ada,392bb9e72059ef394d6177c1e8ed44074edc574abf65b4dfb2da84825454577d
"0","4003002","4003001","11002012","400","雲をつらぬく山脈","45","400","10","195","501010001","1","31001","雲海の山脈","200010"
"0","4003004","4003003","11005013","300","深い森の奥に存在する1本の大樹","30","300","10","-110","501010002","1","31002","密林の大樹","200020"
"0","4003006","4003005","11007014","200","断崖絶壁で発見された遺跡","-190","200","10","-570","501010003","1","31003","断崖の遺跡","200030"
"0","4003008","4003007","11011017","100","大海原にそびえる謎の巨塔","-30","100","10","750","501010004","1","31004","蒼海の孤塔","200040"
"0","4003010","4003009","11014014","100","瘴気渦巻く常闇の孤峰","20","100","10","465","501010005","1","31005","毒瘴の闇稜","200050"
"0","4003012","4003011","11026014","100","厳峰に佇む竜の寝床","90","100","10","360","501010006","1","31006","緑竜の骸嶺","200060"
"0","4003014","4003013","11035014","100","天空の番人が静かに眠る聖城","90","100","10","130","501010007","1","31007","天上の浮城","200070"
"0","4003018","4003017","11047014","100","砂の大瀑布が落ちゆく果ての都","120","100","10","-50","501010008","1","31008","砂瀑の底都","200080"
"0","4003020","4003019","11057014","100","紺碧の底に君臨する海王の城砦","70","100","10","-360","501010009","1","31009","紺碧の王砦","200090"
"0","4003022","4003021","11062014","100","四季彩りし霊狐の仙境","0","0","10","0","501010010","1","31010","四彩の霊峰","0"
"31006","4003016","4003015","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32001","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32002","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32003","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32004","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32005","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32006","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32007","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32008","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32009","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32010","スペシャルダンジョン","0"
"31006","0","0","0","100","期間限定ダンジョンの踏破に挑戦","0","100","10","0","0","1","32011","スペシャルダンジョン","0"
