91d7d08c3855cfb090571a915a4fefed1f33b11f0120ff861d82b4a4cfcf1ee8,3354e2b832803ea9073a6a3c20e5cbb9ebe3baa2a4986795015d00984e2968a8,75df314a696d4b22e267f8679449593363bd027133d078d9ee4c69f5e30354e5,e8e78454fda6c109199ccd79dd69fa161b047ef2d10a6a5e04037cfbdcb080c1,00b494689a335f6878e2ee6e2e1c487d445ab5451bc7cf7ff4ae68bacbf57303,60fe891b2cf4aec15b294a70eebe538bba328ab552ce5c4895d4901a371a4773,e629708c3f3e968e2c745a549fd9f787512f55f0696b57510ec6d7d46a4a1faf,3c6ec6dc1dbeafcf7e84f66e2bb0344d60623f92d28542be2e49d9525207c5d0,c71719feccd51fde336d21b4fd1c2dc87cbd13acb011c0c10eba2829958819f3,04b766151ef658cb4464279ea9cb685098a499858af2d007eb9f6d07a39c1f1c
"0","0","1","ウヅキとリンのメモリー","10062103","7001","0","0","10062","0"
"0","0","2","ニュージェネレーションズのメモリー","10062107","7002","0","0","10062","0"
"0","0","4","ウヅキとミオのメモリー","10062107","7003","0","0","10062","0"
"0","0","6","美食殿のメモリー","10062111","7004","0","0","10062","0"
"0","0","7","リンとミオのメモリー","10062111","7005","0","0","10062","0"
"0","0","8","ニュージェネレーションズのメモリー","10062111","7006","0","0","10062","0"
"0","0","9","ニュージェネレーションズと美食殿のメモリー","10062115","7007","0","0","10062","0"
"0","0","10","美食殿のメモリー","10062115","7008","0","0","10062","0"
"0","0","14","ニュージェネレーションズと美食殿のメモリー","10063111","7009","0","0","10063","0"
"0","0","3","ニュージェネレーションズのメモリー","10062107","7102","0","0","10062","0"
"0","0","5","美食殿のメモリー","10062107","7103","0","0","10062","0"
"0","0","11","ニュージェネレーションズと美食殿のメモリー","10062115","7104","0","0","10062","0"
"0","0","12","ニュージェネレーションズと美食殿のメモリー","10063111","7105","0","0","10063","0"
"0","0","13","ニュージェネレーションズと美食殿のメモリー","10063111","7106","0","0","10063","0"
"2405","1","15","","10062103","7201","1","0","10062","7"
