1c5e8112c722b3fce82baa675bede510233e119edc5462ff1d97b498ab4449e1,1d50001327371130dd97d7af7a2bc0a3e52cf14ddd9953e3ed0970e4b1f8d9fa,befd0242a545b86fb6a5f23c57fbf505aa6d9a7d0d90f7582bf043da86606a59,01aeb8f569ef5b45e4535cb7e5433b3425b4c984bb969ff4bcdfabc21c87940d,57b6acbb1cbc526069afcbfeb52037efe867a5a21570f3f5566c9eb0721ff68e,0614c90b9f948195b52cc76a2d95745bb9477fac92fa31e56084e488d02990b1,5537ca5e63a74a7b5d8a7909ebb506953261ddc9103e6ca1e2a49769ddc2b25d,2f46ca205578e050baf72060ac3bc9a93cd961f9ae670df7a3751a962bd08701,43361338839b38483f64f3ae231497dfec12d46962b7149c8fbcd6b0783a303c,ab98dcef35dea50dc249eaade6bd53b240507a45203f16e052651b2b61add200,b318fe3f8e3ca4420fb33ec27606ccec99389b4af7ea9f169a864feca6b0a25e
"31","25021","25012","1","10","91002","282001001","2","8","8","2"
"31","25021","25012","2","10","91002","282001002","2","8","8","2"
"32","25021","25012","3","10","91002","282001003","2","8","8","2"
"32","25021","25012","4","10","91002","282001004","2","8","8","2"
"33","25021","25012","5","10","91002","282001005","2","8","8","2"
"33","25021","25012","6","10","91002","282001006","2","9","8","2"
"34","25021","25012","7","10","91002","282001007","2","9","8","2"
"35","25021","25012","8","10","91002","282001008","2","9","8","2"
"35","25021","25012","9","10","91002","282001009","2","9","8","2"
"37","25021","25012","10","30","91002","282001010","2","10","8","2"
"41","25021","25012","11","10","91002","282001011","2","10","8","2"
"43","25021","25012","12","10","91002","282001012","2","11","8","2"
"46","25021","25012","13","10","91002","282001013","2","11","8","2"
"48","25021","25012","14","10","91002","282001014","2","12","8","2"
"50","25021","25012","15","10","91002","282001015","2","12","8","2"
"53","25021","25012","16","10","91002","282001016","2","13","8","2"
"55","25021","25012","17","10","91002","282001017","2","14","8","2"
"58","25021","25012","18","10","91002","282001018","2","14","8","2"
"60","25021","25012","19","10","91002","282001019","2","15","8","2"
"62","25021","25012","20","30","91002","282001020","2","15","8","2"
"68","25021","25012","21","10","91002","282001021","2","16","8","2"
"70","25021","25012","22","10","91002","282001022","2","16","8","2"
"72","25021","25012","23","10","91002","282001023","2","16","8","2"
"75","25021","25012","24","10","91002","282001024","2","17","8","2"
"77","25021","25012","25","10","91002","282001025","2","18","8","2"
"79","25021","25012","26","10","91002","282001026","2","18","8","2"
"82","25021","25012","27","10","91002","282001027","2","19","8","2"
"84","25021","25012","28","10","91002","282001028","2","19","8","2"
"86","25021","25012","29","10","91002","282001029","2","19","8","2"
"89","25021","25012","30","30","91002","282001030","2","20","8","2"
"94","25021","25012","31","10","91002","282001031","2","20","8","2"
"96","25021","25012","32","10","91002","282001032","2","21","8","2"
"99","25021","25012","33","10","91002","282001033","2","21","8","2"
"101","25021","25012","34","10","91002","282001034","2","22","8","2"
"103","25021","25012","35","10","91002","282001035","2","22","8","2"
"106","25021","25012","36","10","91002","282001036","2","23","8","2"
"108","25021","25012","37","10","91002","282001037","2","23","8","2"
"111","25021","25012","38","10","91002","282001038","2","24","8","2"
"113","25021","25012","39","10","91002","282001039","2","25","8","2"
"115","25021","25012","40","30","91002","282001040","2","25","8","2"
"121","25021","25012","41","10","91002","282001041","2","26","8","2"
"123","25021","25012","42","10","91002","282001042","2","27","8","2"
"125","25021","25012","43","10","91002","282001043","2","28","8","2"
"128","25021","25012","44","10","91002","282001044","2","28","8","2"
"130","25021","25012","45","10","91002","282001045","2","29","8","2"
"132","25021","25012","46","10","91002","282001046","2","30","8","2"
"135","25021","25012","47","10","91002","282001047","2","30","8","2"
"137","25021","25012","48","10","91002","282001048","2","31","8","2"
"139","25021","25012","49","10","91002","282001049","2","31","8","2"
"142","25021","25012","50","30","91002","282001050","2","31","8","2"
"144","25021","25012","51","10","91002","282001051","2","32","8","2"
"146","25021","25012","52","10","91002","282001052","2","32","8","2"
"149","25021","25012","53","10","91002","282001053","2","32","8","2"
"152","25021","25012","54","10","91002","282001054","2","33","8","2"
"155","25021","25012","55","10","91002","282001055","2","33","8","2"
"157","25021","25012","56","10","91002","282001056","2","33","8","2"
"160","25021","25012","57","10","91002","282001057","2","34","8","2"
"163","25021","25012","58","10","91002","282001058","2","34","8","2"
"166","25021","25012","59","10","91002","282001059","2","34","8","2"
"169","25021","25012","60","30","91002","282001060","2","35","8","2"
"171","25021","25012","61","10","91002","282001061","2","35","8","2"
"174","25021","25012","62","10","91002","282001062","2","35","8","2"
"177","25021","25012","63","10","91002","282001063","2","36","8","2"
"180","25021","25012","64","10","91002","282001064","2","36","8","2"
"182","25021","25012","65","10","91002","282001065","2","36","8","2"
"185","25021","25012","66","10","91002","282001066","2","37","8","2"
"187","25021","25012","67","10","91002","282001067","2","37","8","2"
"190","25021","25012","68","10","91002","282001068","2","37","8","2"
"193","25021","25012","69","10","91002","282001069","2","38","8","2"
"196","25021","25012","70","30","91002","282001070","2","38","8","2"
