9e8f5f1d336f82fe9720b3bc2c30bd6ee4526c48992451088b77796eb2a82d4a,9060e97db931c714336218825c6bf542eb89fdd1e65e73d7c0f3fcd08e2d5c2c,4c6f59b9735a52c91b2614414019f55131c1404316f0c458b8625fb488a85dfb,22dd6372090be80c729f9471a0f8924a77ceaf8aee51c1ceeda745bd9e9d2b64,32d2a2f1e47114adb19df2c8a0bcaa35e7c8ba9cfc59546b26e5429eece0e427,640c6e8c9ca16655ca8be28c2752f84f4ed58bbd91d845c4bd6b6c492d64e692,f3948da4365994e5c6d577b5826bc65014282228abe9f3a4a54741a0be80162e
"12","5126700","50000","1","94002","累計スコアを2500pt 獲得しよう","2500"
"12","0","50000","1","94002","累計スコアを5000pt 獲得しよう","5000"
"12","0","50000","1","94002","累計スコアを7500pt 獲得しよう","7500"
"7","5126701","1","1","2839","累計スコアを10000pt 獲得しよう","10000"
"12","0","80000","1","94002","累計スコアを12500pt 獲得しよう","12500"
"12","0","80000","1","94002","累計スコアを15000pt 獲得しよう","15000"
"12","0","80000","1","94002","累計スコアを17500pt 獲得しよう","17500"
"8","5126702","25","1","91002","累計スコアを20000pt 獲得しよう","20000"
"12","0","100000","1","94002","累計スコアを22500pt 獲得しよう","22500"
"12","0","100000","1","94002","累計スコアを25000pt 獲得しよう","25000"
"8","0","100","1","91002","累計スコアを27500pt 獲得しよう","27500"
"15","5126703","1","1","11001262","累計スコアを30000pt 獲得しよう","30000"
"12","5126710","50000","2","94002","累計スコアを2500pt 獲得しよう","2500"
"12","0","50000","2","94002","累計スコアを5000pt 獲得しよう","5000"
"12","0","50000","2","94002","累計スコアを7500pt 獲得しよう","7500"
"7","5126711","1","2","2840","累計スコアを10000pt 獲得しよう","10000"
"12","0","80000","2","94002","累計スコアを12500pt 獲得しよう","12500"
"12","0","80000","2","94002","累計スコアを15000pt 獲得しよう","15000"
"12","0","80000","2","94002","累計スコアを17500pt 獲得しよう","17500"
"8","5126712","25","2","91002","累計スコアを20000pt 獲得しよう","20000"
"12","0","100000","2","94002","累計スコアを22500pt 獲得しよう","22500"
"12","0","100000","2","94002","累計スコアを25000pt 獲得しよう","25000"
"8","0","100","2","91002","累計スコアを27500pt 獲得しよう","27500"
"15","5126713","1","2","11001263","累計スコアを30000pt 獲得しよう","30000"
