fb72aff58f321f4973f5d0e42702f9e2fa7eaa2e90269fb8a4ed9b2ba44251c5,d7c9b2a5bd471c4840dd06cb271fcfbf2fac894d83dcb9097cbe42ced8d92b08,2ff8943a93d28af318826c863474db593d21bdda0ea20bed35c6bde56c4697ef,a68cb91adf8170ae296e7943f81c6da0766e6d1ce866cc7d410690f13c56222e,6a72507e9d8f4dff06aaa53374a03384c485c0157c22fe4da30350bf03d36b17,670675cb227e8632f7a40dc5675d4ccdde635afea5d94b8b1b17a06dbe6cb479,5937db0fda552fb0b29f6e557b8ab662539e5b6ee9a6aa9af8ea824301370727
"1","8","10","累計スコアを2500pt 獲得しよう","91002","2500","101"
"1","8","10","累計スコアを5000pt 獲得しよう","91002","5000","102"
"1","8","10","累計スコアを10000pt 獲得しよう","91002","10000","103"
"1","8","10","累計スコアを12500pt 獲得しよう","91002","12500","104"
"1","8","10","累計スコアを15000pt 獲得しよう","91002","15000","105"
"1","8","10","累計スコアを20000pt 獲得しよう","91002","20000","106"
"1","8","10","累計スコアを25000pt 獲得しよう","91002","25000","107"
"1","8","10","累計スコアを30000pt 獲得しよう","91002","30000","108"
"1","8","10","累計スコアを35000pt 獲得しよう","91002","35000","109"
"1","8","10","累計スコアを40000pt 獲得しよう","91002","40000","110"
"1","8","10","累計スコアを45000pt 獲得しよう","91002","45000","111"
"1","15","1","累計スコアを50000pt 獲得しよう","11001302","50000","112"
"2","8","10","累計スコアを2500pt 獲得しよう","91002","2500","201"
"2","8","10","累計スコアを5000pt 獲得しよう","91002","5000","202"
"2","8","10","累計スコアを10000pt 獲得しよう","91002","10000","203"
"2","8","10","累計スコアを12500pt 獲得しよう","91002","12500","204"
"2","8","10","累計スコアを15000pt 獲得しよう","91002","15000","205"
"2","8","10","累計スコアを20000pt 獲得しよう","91002","20000","206"
"2","8","10","累計スコアを25000pt 獲得しよう","91002","25000","207"
"2","8","10","累計スコアを30000pt 獲得しよう","91002","30000","208"
"2","8","10","累計スコアを35000pt 獲得しよう","91002","35000","209"
"2","8","10","累計スコアを40000pt 獲得しよう","91002","40000","210"
"2","8","10","累計スコアを45000pt 獲得しよう","91002","45000","211"
"2","15","1","累計スコアを50000pt 獲得しよう","11001303","50000","212"
