858b0002055a3460b7a5e01881d48d88c4a8625a44afe47e3354113c9f7e0523,693690d9c1dc5404463bdeb74b838011a4fce307905182fc4c1d1249a0e30ee6,332a517c62f1b52a4458dbd9d6e82750ef0fd8fcffd2888a0727845d9a562441,86733e05cfa9aa7b273525a253a58e65946a2cfd774f1f052f3d7c85d288e934,1525be91ecc21879f38a2346e156f9c6e8a6ca89bfe4e2560ca1bab1fd6db2e3,e60762bb46b0183757c87cde3928de8d13d9e81225d11ac3fd7d4029b6c683d9,408dd88d8a56bafca1cba2bac91410b38611436e46b210061de5fa1259d06b0d,497356e2b856cddfcde11d4a940490b7b784bef99b808563b508990bfc0a5ac6,2d6b7d0b6c47c63cc22a8b113825727d16784bf0b28b647c35be5ec9c8a8313d,716373a39ad0064749c090a25fe8d1a1e5b960018ec6e4003b365f4bfbf72e4f,7c5f5a89fe8a48b4f0035b2596431ff4daf97e9c88d1068c9adcf2addc1df6c7,3c8d0aa2999ed84e38400b3154db0e177d70f2d5afb1011202378b8518e981fe
"0","0","vo_10020900_0001","0","0","1","0","0","2","1","vo_10020900","1010001"
"0","0","0","0","0.818181818181818","1","1","180","1","2","0","1010002"
"1","0","0","0.818181818181818","0","1","1","0","4","3","0","1010003"
"0","0","0","0","0.634285714285714","1","2","148","1","4","0","1010004"
"1","0","0","1.03428571428571","0","1","2","0","4","5","0","1010005"
"0","148","0","0","1.33714285714286","1","2","460","1","6","0","1010006"
"1","0","0","2.13714285714286","0","1","2","0","4","7","0","1010007"
"0","0","vo_10020900_0002","0","0","1","0","0","2","8","vo_10020900","1010008"
"0","0","0","0","1.12948051948052","1","3","223","1","9","0","1010009"
"1","0","0","2.12948051948052","0","1","3","0","4","10","0","1010010"
"0","0","vo_10020900_0003","0","0","1","0","0","2","11","vo_10020900","1010011"
"0","223","0","0","0.545454545454545","1","3","343","1","12","0","1010012"
"1","0","0","1.04545454545455","0","1","3","0","4","13","0","1010013"
"0","343","0","0","1.71545454545455","1","3","700","1","14","0","1010014"
"1","0","0","2.71545454545455","0","1","3","0","4","15","0","1010015"
"0","0","vo_10020900_0004","0","0","1","0","0","2","16","vo_10020900","1010016"
"0","0","0","0","1.67857142857143","1","4","275","1","17","0","1010017"
"1","0","0","2.17857142857143","0","1","4","0","4","18","0","1010018"
"0","0","vo_10020900_0005","0","0","1","0","0","2","19","vo_10020900","1010019"
"0","275","0","0","1.28311688311688","1","4","465","1","20","0","1010020"
"1","0","0","1.98311688311688","0","1","4","0","4","21","0","1010021"
"0","465","0","0","1.2987012987013","1","4","715","1","22","0","1010022"
"1","0","0","1.9987012987013","0","1","4","0","4","23","0","1010023"
"0","0","0","0","2.07792207792208","1","5","400","1","24","0","1010024"
"1","0","0","3.07792207792208","0","1","5","0","4","25","0","1010025"
"0","0","vo_10020900_0006","0","0","1","0","0","2","26","vo_10020900","1010026"
"0","0","0","0","1.06363636363636","1","6","182","1","27","0","1010027"
"1","0","0","1.56363636363636","0","1","6","0","4","28","0","1010028"
"0","182","0","0","2.96","1","6","700","1","29","0","1010029"
"1","0","0","3.96","0","1","6","0","4","30","0","1010030"
"0","0","vo_10020900_0007","0","0","1","0","0","2","31","vo_10020900","1010031"
"0","0","0","0","0.386363636363636","1","7","85","1","32","0","1010032"
"1","0","0","0.886363636363636","0","1","7","0","4","33","0","1010033"
"0","85","0","0","3.54090909090909","1","7","750","1","34","0","1010034"
"1","0","0","4.54090909090909","0","1","7","0","4","35","0","1010035"
"0","0","vo_10020900_0008","0","0","1","0","0","2","36","vo_10020900","1010036"
"0","0","0","0","0.431818181818182","1","8","95","1","37","0","1010037"
"1","0","0","1.03181818181818","0","1","8","0","4","38","0","1010038"
"0","0","vo_10020900_0009","0","0","1","0","0","2","39","vo_10020900","1010039"
"0","95","0","0","0.709090909090909","1","8","235","1","40","0","1010040"
"1","0","0","1.30909090909091","0","1","8","0","4","41","0","1010041"
"0","0","vo_10020900_0010","0","0","1","0","0","2","42","vo_10020900","1010042"
"0","235","0","0","3.07662337662338","1","8","750","1","43","0","1010043"
"1","0","0","4.07662337662338","0","1","8","0","4","44","0","1010044"
"0","0","vo_10020900_0011","0","0","1","0","0","2","45","vo_10020900","1010045"
"0","0","0","0","1.43506493506493","1","9","170","1","46","0","1010046"
"1","0","0","2.43506493506493","0","1","9","0","4","47","0","1010047"
"0","0","vo_10020900_0012","0","0","1","0","0","2","48","vo_10020900","1010048"
"0","170","0","0","2.75","1","9","720","1","49","0","1010049"
"1","0","0","3.95","0","1","9","0","4","50","0","1010050"
"0","0","vo_10020900_0013","0","0","1","0","0","2","51","vo_10020900","1010051"
"0","170","0","0","1.67792207792208","1","10","585","1","52","0","1010052"
"1","0","0","2.27792207792208","0","1","10","0","4","53","0","1010053"
"0","585","0","0","0.9","1","10","750","1","54","0","1010054"
