0e6454bc114cccdc8dc7f2b5890e742974ef17fac4a04b261b467d29984440c8,e5ff5612bf03afb7a05116afa90c2c4a353427b9b9cb62e3dd0c62e902c83017,44fb30f981d48ff73bcb03c778fe9d423193a192dc36f620f406da6cd8789d24,77e511ea718bc85555083b6d14db3ff2b143cad8375f3933657217b19c4ba69f,848c65c62579141981e4ede6eba1851ec617c1e54b77af250411fd4de1d58384,36db6441c0516ff5304d61c9e6c9b2ca7b71f86f2c40cfdd6ad9b143521c6422
"1","11001001","99001001","1001","15","1"
"2","91002","99001001","0","8","10"
"3","11001002","99001002","1001","15","1"
"4","91002","99001002","0","8","10"
"5","11001003","99001003","1002","15","1"
"6","91002","99001003","0","8","20"
"7","11001004","99001004","1003","15","1"
"8","91002","99001004","0","8","30"
"9","11001005","99001005","1001","15","1"
"10","91002","99001005","0","8","10"
"11","11001006","99001006","1001","15","1"
"12","91002","99001006","0","8","10"
"13","11001007","99001007","1002","15","1"
"14","91002","99001007","0","8","20"
"15","11001008","99001008","1003","15","1"
"16","91002","99001008","0","8","30"
"17","11001009","99001009","1001","15","1"
"18","91002","99001009","0","8","10"
"19","11001010","99001010","1001","15","1"
"20","91002","99001010","0","8","10"
"21","11001011","99001011","1002","15","1"
"22","91002","99001011","0","8","20"
"23","11001012","99001012","1003","15","1"
"24","91002","99001012","0","8","30"
"33","11001017","99001017","1001","15","1"
"34","91002","99001017","0","8","30"
"35","11001018","99001018","1001","15","1"
"36","91002","99001018","0","8","30"
"37","11001019","99001019","1002","15","1"
"38","91002","99001019","0","8","30"
"39","11001020","99001020","1003","15","1"
"40","91002","99001020","0","8","30"
"41","11001021","99001021","1001","15","0"
"42","11001022","99001022","1002","15","0"
"43","11001023","99001023","1001","15","1"
"44","91002","99001023","0","8","30"
"45","11001024","99001024","1001","15","1"
"46","91002","99001024","0","8","30"
"47","11001025","99001025","1002","15","1"
"48","91002","99001025","0","8","30"
"49","11001026","99001026","1003","15","1"
"50","91002","99001026","0","8","30"
"51","11001027","99001027","1001","15","1"
"52","91002","99001027","0","8","30"
"53","11001028","99001028","1001","15","1"
"54","91002","99001028","0","8","30"
"55","11001029","99001029","1002","15","1"
"56","91002","99001029","0","8","30"
"57","11001030","99001030","1003","15","1"
"58","91002","99001030","0","8","30"
"59","11001031","99001031","1001","15","1"
"60","91002","99001031","0","8","30"
"61","11001032","99001032","1001","15","1"
"62","91002","99001032","0","8","30"
"63","11001033","99001033","1002","15","1"
"64","91002","99001033","0","8","30"
"65","11001034","99001034","1003","15","1"
"66","91002","99001034","0","8","30"
"75","11001039","99001039","1001","15","0"
"76","11001040","99001040","1002","15","0"
"77","11001041","99001041","1003","15","0"
"78","11001042","99001042","1001","15","1"
"79","91002","99001042","0","8","30"
"80","11001043","99001043","1001","15","1"
"81","91002","99001043","0","8","30"
