7a1de8e97d230f401b868464f58b3142c6a485e080759884b11d37f932e23995,907d46d3817d401722a329aefafcd5fcb2575fd96d19b3f2f1858fec5fb882eb,dd3e7f2e4c8044a107be987fdc602a0966cb886f25448cb2cafa1d57f4d8dd42,e75522674ae56491a09c7334f66692eac58934fad683d3688658242a3beac603,04e8b818d23302e44d7341d1ad6ede388ab46528f5d7eb1bee71d5f0358533fe,83cc5fddb70083f28eaa679295415d81a92c37d72d64a26ef5b1abe83b9494ce,c258e3b70971d8147ceea4d077448a9c3927b96d50188a110011a1b1c11be5c2,cefff7592e82df8454aac6c818411710b6c1504bcc60e7e74dcc70c18a3e77ff,4d01e24df0478bcfc59596c7501655f205b336451c58ab2d7ab972d2646d82f3
"502001102","43.5","11","1","1","320010106","1","0","0.7"
"502001103","13","67","2","3","320010106","2","0","0.65"
"0","-74","49","3","2","320010106","3","0","0.65"
"502001108","-49","13","4","1","320010107","1","0","0.7"
"502001109","-4","62","5","3","320010107","2","0","0.85"
"0","59","50","6","2","320010107","3","0","0.65"
"0","0","-10","7","1","320010108","1","0","1.05"
"0","-15","-10","8","1","320010109","1","0","1.05"
"0","-85","-45","9","1","320010110","1","0","0.43"
"0","85","-45","10","2","320010110","2","0","0.43"
"502001202","43.5","11","11","1","320010206","1","0","0.7"
"502001203","13","67","12","3","320010206","2","0","0.65"
"0","-74","49","13","2","320010206","3","0","0.65"
"502001208","-49","13","14","1","320010207","1","0","0.7"
"502001209","-4","62","15","3","320010207","2","0","0.85"
"0","59","50","16","2","320010207","3","0","0.65"
"0","0","-10","17","1","320010208","1","0","1.05"
"0","-15","-10","18","1","320010209","1","0","1.05"
"0","-85","-45","19","1","320010210","1","0","0.43"
"0","85","-45","20","2","320010210","2","0","0.43"
"502001302","43.5","11","21","1","320010306","1","0","0.7"
"502001303","13","67","22","3","320010306","2","0","0.65"
"0","-74","49","23","2","320010306","3","0","0.65"
"502001308","-49","13","24","1","320010307","1","0","0.7"
"502001309","-4","62","25","3","320010307","2","0","0.85"
"0","59","50","26","2","320010307","3","0","0.65"
"0","0","-10","27","1","320010308","1","0","1.05"
"0","-15","-10","28","1","320010309","1","0","1.05"
"0","-85","-45","29","1","320010310","1","0","0.43"
"0","85","-45","30","2","320010310","2","0","0.43"
"502001402","43.5","11","31","1","320010406","1","0","0.7"
"502001403","13","67","32","3","320010406","2","0","0.65"
"0","-74","49","33","2","320010406","3","0","0.65"
"502001408","-49","13","34","1","320010407","1","0","0.7"
"502001409","-4","62","35","3","320010407","2","0","0.85"
"0","59","50","36","2","320010407","3","0","0.65"
"0","0","-10","37","1","320010408","1","0","1.05"
"0","-15","-10","38","1","320010409","1","0","1.05"
"0","-85","-45","39","1","320010410","1","0","0.43"
"0","85","-45","40","2","320010410","2","0","0.43"
"502001502","43.5","11","41","1","320010506","1","0","0.7"
"502001503","13","67","42","3","320010506","2","0","0.65"
"0","-74","49","43","2","320010506","3","0","0.65"
"502001508","-49","13","44","1","320010507","1","0","0.7"
"502001509","-4","62","45","3","320010507","2","0","0.85"
"0","59","50","46","2","320010507","3","0","0.65"
"0","0","-10","47","1","320010508","1","0","1.05"
"0","-15","-10","48","1","320010509","1","0","1.05"
"0","-85","-45","49","1","320010510","1","0","0.43"
"0","85","-45","50","2","320010510","2","0","0.43"
"502002102","43.5","11","51","1","320020106","1","0","0.7"
"502002103","13","67","52","3","320020106","2","0","0.65"
"0","-74","49","53","2","320020106","3","0","0.65"
"502002108","-49","13","54","1","320020107","1","0","0.7"
"502002109","-4","62","55","3","320020107","2","0","0.85"
"0","59","50","56","2","320020107","3","0","0.65"
"0","0","-10","57","1","320020108","1","0","1.05"
"0","-15","-10","58","1","320020109","1","0","1.05"
"0","-85","-45","59","1","320020110","1","0","0.43"
"0","85","-45","60","2","320020110","2","0","0.43"
"502002202","43.5","11","61","1","320020206","1","0","0.7"
"502002203","13","67","62","3","320020206","2","0","0.65"
"0","-74","49","63","2","320020206","3","0","0.65"
"502002208","-49","13","64","1","320020207","1","0","0.7"
"502002209","-4","62","65","3","320020207","2","0","0.85"
"0","59","50","66","2","320020207","3","0","0.65"
"0","0","-10","67","1","320020208","1","0","1.05"
"0","-15","-10","68","1","320020209","1","0","1.05"
"0","-85","-45","69","1","320020210","1","0","0.43"
"0","85","-45","70","2","320020210","2","0","0.43"
"502002302","43.5","11","71","1","320020306","1","0","0.7"
"502002303","13","67","72","3","320020306","2","0","0.65"
"0","-74","49","73","2","320020306","3","0","0.65"
"502002308","-49","13","74","1","320020307","1","0","0.7"
"502002309","-4","62","75","3","320020307","2","0","0.85"
"0","59","50","76","2","320020307","3","0","0.65"
"0","0","-10","77","1","320020308","1","0","1.05"
"0","-15","-10","78","1","320020309","1","0","1.05"
"0","-85","-45","79","1","320020310","1","0","0.43"
"0","85","-45","80","2","320020310","2","0","0.43"
"502002402","43.5","11","81","1","320020406","1","0","0.7"
"502002403","13","67","82","3","320020406","2","0","0.65"
"0","-74","49","83","2","320020406","3","0","0.65"
"502002408","-49","13","84","1","320020407","1","0","0.7"
"502002409","-4","62","85","3","320020407","2","0","0.85"
"0","59","50","86","2","320020407","3","0","0.65"
"0","0","-10","87","1","320020408","1","0","1.05"
"0","-15","-10","88","1","320020409","1","0","1.05"
"0","-85","-45","89","1","320020410","1","0","0.43"
"0","85","-45","90","2","320020410","2","0","0.43"
"502002502","43.5","11","91","1","320020506","1","0","0.7"
"502002503","13","67","92","3","320020506","2","0","0.65"
"0","-74","49","93","2","320020506","3","0","0.65"
"502002508","-49","13","94","1","320020507","1","0","0.7"
"502002509","-4","62","95","3","320020507","2","0","0.85"
"0","59","50","96","2","320020507","3","0","0.65"
"0","0","-10","97","1","320020508","1","0","1.05"
"0","-15","-10","98","1","320020509","1","0","1.05"
"0","-85","-45","99","1","320020510","1","0","0.43"
"0","85","-45","100","2","320020510","2","0","0.43"
"502003102","43.5","11","101","1","320030106","1","0","0.7"
"502003103","13","67","102","2","320030106","2","0","0.65"
"0","-74","49","103","3","320030106","3","0","0.65"
"502003108","-49","13","104","1","320030107","1","0","0.7"
"502003109","-4","62","105","3","320030107","2","0","0.85"
"0","59","50","106","2","320030107","3","0","0.65"
"0","0","-10","107","1","320030108","1","0","1.05"
"0","-15","-10","108","1","320030109","1","0","1.05"
"0","-85","-45","109","1","320030110","1","0","0.43"
"0","85","-45","110","2","320030110","2","0","0.43"
"502003202","43.5","11","111","1","320030206","1","0","0.7"
"502003203","13","67","112","2","320030206","2","0","0.65"
"0","-74","49","113","3","320030206","3","0","0.65"
"502003208","-49","13","114","1","320030207","1","0","0.7"
"502003209","-4","62","115","3","320030207","2","0","0.85"
"0","59","50","116","2","320030207","3","0","0.65"
"0","0","-10","117","1","320030208","1","0","1.05"
"0","-15","-10","118","1","320030209","1","0","1.05"
"0","-85","-45","119","1","320030210","1","0","0.43"
"0","85","-45","120","2","320030210","2","0","0.43"
"502003302","43.5","11","121","1","320030306","1","0","0.7"
"502003303","13","67","122","2","320030306","2","0","0.65"
"0","-74","49","123","3","320030306","3","0","0.65"
"502003308","-49","13","124","1","320030307","1","0","0.7"
"502003309","-4","62","125","3","320030307","2","0","0.85"
"0","59","50","126","2","320030307","3","0","0.65"
"0","0","-10","127","1","320030308","1","0","1.05"
"0","-15","-10","128","1","320030309","1","0","1.05"
"0","-85","-45","129","1","320030310","1","0","0.43"
"0","85","-45","130","2","320030310","2","0","0.43"
"502003402","43.5","11","131","1","320030406","1","0","0.7"
"502003403","13","67","132","2","320030406","2","0","0.65"
