f1b5542d6c7b9638e2ff3991c078fdef2eff5cfe226248eeac61b3a3a1c88e3b,8475b91c696ab460f60969db6d1bf816230c37b2e369d418c14f6cc119242bd9,3f26a6c7867392091934107b4858d416dccfaa4b2b4db96a9585d0ef5f8cd1f3,ef2b0a97b8a6b004f3f441b55e64e4c32d8e6eac315665fcdbfabea61e703f9f,64064bcd824f79c20e6eae62242629a3e00751eee842827abae65b4e42f3b33f
"1","1","0","0","3030100"
"2","1","0","0","3050100"
"3","1","0","0","3040100"
"4","1","0","0","3020100"
"5","1","0","0","2040100"
"5","2","0","0","2040100"
"6","1","0","0","2020100"
"6","2","0","0","2020100"
"7","1","0","314","1030100"
"8","1","0","0","4030100"
"9","1","0","502","1050100"
"10","1","0","0","4020100"
"11","1","0","0","2030100"
"11","2","0","0","2030100"
"12","1","10301010","0","3040100"
"13","1","0","202","1020100"
"14","1","20201010","406","1040102"
"15","1","0","105","1010200"
"15","2","0","0","2010200"
"15","3","0","0","2010200"
"16","1","0","0","3050200"
"17","1","0","0","3040200"
"18","1","0","0","3020200"
"19","1","0","0","2040200"
"19","2","0","0","2040200"
"20","1","0","0","2020200"
"20","2","0","0","2020200"
"21","1","0","315","1030200"
"22","1","0","205","1020200"
"23","1","0","509","1050200"
"24","1","0","0","4020200"
"25","1","0","0","2030200"
"25","2","0","0","2030200"
"26","1","0","0","4030200"
"27","1","10101020","0","3020200"
"28","1","20201020","408","1040200"
"29","1","10101020","0","3040200"
"30","1","10101020","0","3010200"
"31","1","0","102","1010300"
"31","2","0","0","2010300"
"31","3","0","0","2010300"
"32","1","0","0","3050300"
"33","1","0","0","3040300"
"34","1","0","0","3020300"
"35","1","0","0","2040300"
"35","2","0","0","2040300"
"36","1","0","0","2020300"
"36","2","0","0","2020300"
"37","1","0","306","1030300"
"38","1","0","206","1020300"
"39","1","0","502","1050300"
"40","1","0","0","4020300"
"41","1","0","0","2030300"
"41","2","0","0","2030300"
"42","1","0","0","4030300"
"43","1","10101030","0","3020300"
"44","1","20201030","406","1040300"
"45","1","10101050","0","3010300"
"46","1","10101050","0","3040300"
"47","1","10101050","0","3030300"
"48","1","10101050","0","3010300"
"49","1","10101050","0","3020300"
"50","1","30102050","112","1010300"
