9fbd47324599306016535af3d85ad1d03d0143c8d0cf40beb8e8b588f3a3f9d7,de575fa31383ef5787b5cb59176ae5404f4a561cc68637d81dd6f8cbeadecd88,2234729ea7ba0991ef604bb3b1c8f2bce0b1a046f65dc85f50a8a24a5af89782,f8da548828d7320003d8602d1377ddd24d1c0e1e80f65769b3add7ce62b0175c,25b54c07b1042c1e399f0340d7f62695eda9c21b423c8ec41a0becac649fda9d,16f2139ac60fda3e1bdd742c892461b64067bafe519e892cddcf6366ba307bf4,c5e8b5719ed95a8192e9eea5f40cf7d40145106939af86f5cea93c2536e03ba7,ce28d3b0e49cc512558282ad0f1f1b8ffe415c9cb5bdfd7fa64c88ca9bc7b444,aeeeb7c17fe2ae6687b16145b1d37ce6b898ab6f52294252e2dceeee2f3dc010,fe63296e60da63b1bfe4a8b28793678b57a53b3c452637a1ccc0cec22461407a,105d1902ee011766ea86ed06a4e4e7b64a1280ec863d1d0bb35c5c09987cffb7,46763ee10dcffce65921d3f52cbe3c5870a7aba740b0892dfb14155b0cb2ced7,87c908e64caca0d40ed57699e8fc8dae17c0591b46fa3772eae9ab11bd219a2a,8ccbe6e60d77850892792da40a93c960b3f6dc632d5c742953bce37e9649421c,bc738fcc94516f65a69df1143a1d5b1a3ebb0320ee51ee71d4322e9fe672ce87,8880e32bfc73e6f3df099cea539b818368c360ad951d17290dd3354c81eedb89
"101","-110","1008201","1","215","301","455","2","1","980","501","3","201","70","401","2"
"102","-110","1008202","2","215","302","230","2","1","515","502","3","202","70","402","2"
"103","-110","1008203","3","215","303","230","1","1","515","503","3","203","70","403","2"
"104","-110","1008204","4","215","304","230","1","1","515","504","3","204","70","404","2"
"105","-110","1008205","5","233","305","355","2","1","787","505","3","205","78","405","2"
"106","-110","1008206","6","233","306","355","3","1","787","506","3","206","78","406","2"
"107","-110","1008207","7","233","307","345","3","1","777","507","3","207","88","407","2"
"108","-110","1008208","8","233","308","345","1","1","777","508","3","208","88","408","2"
"109","-110","1008209","9","233","309","345","1","1","777","509","3","209","88","409","2"
"110","-110","1008210","10","233","310","355","3","1","810","510","3","210","88","410","2"
"111","-110","1008211","11","233","311","345","2","1","777","511","3","211","88","411","2"
"112","-110","1008212","12","215","312","230","2","1","515","512","3","212","70","412","2"
"113","-110","1008213","13","233","313","355","1","1","810","513","3","213","78","413","2"
"114","-110","1008214","14","215","314","230","1","1","515","514","3","214","70","414","2"
"115","-110","1008215","15","215","315","230","3","1","515","515","3","215","70","415","2"
"116","-110","1008216","16","215","316","275","2","1","655","516","3","216","70","416","2"
"117","-110","1008217","17","215","317","230","3","1","515","517","3","217","70","417","2"
"118","-110","1008218","18","233","318","345","3","1","777","518","3","218","88","418","2"
