71f45ed9955242c3064027130287be96c19146d1503d749b90ea8862f0e5e7b3,4d11117358c09259863b9bb16c360ef01fe4d8948a6cf95af1c6c836edabbae4,437baf01cc2b7630f065d82b474e945ea42ceccb5233e36cac58797395f0246b,b4b2ea1a84f1a23a9d02bd434b93ff0caccffd6b94b7ca5223f1e8bc1f5c54b4
"18","4301511","1","1"
"18","4301512","1","2"
"18","4301513","1","3"
"18","4301514","1","4"
"18","4301515","1","5"
"2","26202","1","6"
"18","4302511","2","1"
"18","4302512","2","2"
"18","4302513","2","3"
"18","4302514","2","4"
"18","4302515","2","5"
"2","26202","2","6"
"18","4303511","3","1"
"18","4303512","3","2"
"18","4303513","3","3"
"18","4303514","3","4"
"18","4303515","3","5"
"2","26202","3","6"
"18","4304511","4","1"
"18","4304512","4","2"
"18","4304513","4","3"
"18","4304514","4","4"
"18","4304515","4","5"
"2","26202","4","6"
"18","4305511","5","1"
"18","4305512","5","2"
"18","4305513","5","3"
"18","4305514","5","4"
"18","4305515","5","5"
"2","26202","5","6"
"18","4301516","6","1"
"18","4301517","6","2"
"18","4301518","6","3"
"18","4301519","6","4"
"18","4301520","6","5"
"2","26202","6","6"
"18","4302516","7","1"
"18","4302517","7","2"
"18","4302518","7","3"
"18","4302519","7","4"
"18","4302520","7","5"
"2","26202","7","6"
"18","4303516","8","1"
"18","4303517","8","2"
"18","4303518","8","3"
"18","4303519","8","4"
"18","4303520","8","5"
"2","26202","8","6"
"18","4304516","9","1"
"18","4304517","9","2"
"18","4304518","9","3"
"18","4304519","9","4"
"18","4304520","9","5"
"2","26202","9","6"
"18","4305516","10","1"
"18","4305517","10","2"
"18","4305518","10","3"
"18","4305519","10","4"
"18","4305520","10","5"
"2","26202","10","6"
