3f52841c40739b42ce2f0e973af5ff73a827870d2d1933a0f52a4ff8f00e6182,0f70c8609fd3d2d23303d4126dc620c12254503494b397c4c41edaf1bd605b75,3632e76898f8d56e52711706cc8001a67f92a2d90a625e2d25552312b0c39a6c,c4ea66b4758fd3381ec1c135ad387f7c0c0c82ca28bb876c42b548660678d20d,210b0cba02d5fe1e0a29411eae331c99503339107beafc62db4bb6fcb7ccfcd7,bb4df7a1407192109612e760adac8f892b175ff0c60587bcaa6e8ef96ca8cec9,6e92277f922354d40b865e82531ccf4da58726e6dcc1c2400bf1ad588e88f6a5,f134a22c19d0f89bc320e35b96be738ba3e13b2c1d1eed2f59d71805329e7873,97e167ac251587d8b5f8084c9a24a3fb37041d1ede973f3293cca2eb0b45c4aa,e09d638b18ebc97e6cb5ab4f5284ec464efc9a10dcd5d5effcb9289427353b01,e7ec333fbab6d5183a52c8b3397d9a55681c6ce7b327f4e9979d57f1bfcb8f93,91bf45df972edade0e816efb1a2cfe6e8441d6cedf2dc5488c4be75e5f572f01
"100201","2021/08/31 12:00:00","0","20","0","8","10074","20041106","若さと微熱","1007401","91002","ユイのカルテ　その１"
"100201","2021/08/31 12:00:00","1007401","20","0","8","10074","20041112","この胸の高鳴りを","1007402","91002","ユイのカルテ　その２"
"100201","2021/09/02 5:00:00","1007402","30","0","8","10074","20041115","狂おしき病の名は","1007403","91002","ユイのカルテ　その３"
"111001","2021/08/31 12:00:00","0","20","0","8","10074","20041106","予期せぬ来訪者","1007404","91002","ユニのカルテ　その１"
"111001","2021/08/31 12:00:00","1007404","20","0","8","10074","20041112","お薬の時間","1007405","91002","ユニのカルテ　その２"
"111001","2021/09/03 5:00:00","1007405","30","0","8","10074","20041115","親愛なるあなたへ","1007406","91002","ユニのカルテ　その３"
"102501","2021/08/31 12:00:00","0","20","0","8","10074","20041108","奇妙な外来患者","1007407","91002","スズメのカルテ　その１"
"102501","2021/08/31 12:00:00","1007407","20","0","8","10074","20041114","恐るべき症例","1007408","91002","スズメのカルテ　その２"
"102501","2021/09/04 5:00:00","1007408","30","0","8","10074","20041115","現代医学の限界","1007409","91002","スズメのカルテ　その３"
"104401","2021/08/31 12:00:00","0","20","0","8","10074","20041108","夜を統べる者の受難","1007410","91002","イリヤのカルテ　その１"
"104401","2021/08/31 12:00:00","1007410","20","0","8","10074","20041114","美しきプロデュース","1007411","91002","イリヤのカルテ　その２"
"104401","2021/09/05 5:00:00","1007411","30","0","8","10074","20041115","麗しのレッスン","1007412","91002","イリヤのカルテ　その３"
"100901","2021/08/31 12:00:00","0","20","0","8","10074","20041110","見えない敵","1007413","91002","アンナのカルテ　その１"
"100901","2021/08/31 12:00:00","1007413","20","2004101","8","10074","0","封じられた魔法","1007414","91002","アンナのカルテ　その２"
"100901","2021/09/06 5:00:00","1007414","30","2004101","8","10074","0","隻眼の悪魔の特別診療","1007415","91002","アンナのカルテ　その３"
"103101","2021/08/31 12:00:00","0","20","0","8","10074","20041110","スカルサプライズ","1007416","91002","シノブのカルテ　その１"
"103101","2021/09/01 5:00:00","1007416","30","2004101","8","10074","0","迷える少女に救いの手を","1007417","91002","シノブのカルテ　その２"
