3bc7e792015122cb2f3f5f30587e7a692a6fea6daff676a9d6bddac0dde6965e,86508693a17a43ca4cf35bd97fb30f5c6cce66f1319726c86ff939005736a866,1519cf3c9b280c62b82ca560712a966ae0ea66af19285cd73712277b0f2d9b5b,c7bd1eae6c9f04a1bb5d05786d1f18803f6342a5f1a59c6b28c4a3675b9ec419,6ff7f84da7ce6af813804f7f43755ad5917d3196c34de97f3582ad258dd481e3,dde9640d5fb3c6fc8d2a545081e7b6701bc557f4ff58409648a15888ffa9b173
"1110111","1","0","101001","1","111011101"
"1110211","1","0","101002","1","111021101"
"1330111","3","0","301","1","133011101"
"1330112","3","0","301","1","133011201"
"1330201","3","500","302","0","133020101"
"1330202","3","500","302","0","133020201"
"1330301","3","1","303","0","133030101"
"1330302","3","250","303","0","133030201"
"1330303","3","1","303","0","133030301"
"1330304","3","1","303","0","133030401"
"1330305","3","250","303","0","133030501"
"1330306","3","1","303","0","133030601"
"1330401","3","1000","304","0","133040101"
"1330402","3","1000","304","0","133040201"
"1330403","3","1000","304","0","133040301"
"1330404","3","1000","304","0","133040401"
"1330511","3","0","305","1","133051101"
"1330512","3","0","305","1","133051201"
"1340101","3","1","401","0","134010101"
"1340102","3","1","401","0","134010201"
"1340211","3","0","402","1","134021101"
"1340212","3","0","402","1","134021201"
"1400101","4","1","1","0","140010101"
"1400102","4","1","1","0","140010201"
"1400103","4","10","1","0","140010301"
"1400201","4","0","2","0","140020101"
"2100001","1","0","0","0","210000101"
"2110301","1","0","101003","0","211030101"
"2210101","2","0","100001","0","221010101"
"2210201","2","0","100002","0","221020101"
"2210301","2","0","100003","0","221030101"
"2210501","2","0","100005","0","221050101"
"2210701","2","0","100007","0","221070101"
"2210801","2","0","100008","0","221080101"
"2210901","2","0","100009","0","221090101"
"2211001","2","0","100010","0","221100101"
"2211101","2","0","100011","0","221110101"
"2211201","2","0","100012","0","221120101"
"2211301","2","0","100013","0","221130101"
"2211401","2","0","100014","0","221140101"
"2211601","2","0","100016","0","221160101"
"2211701","2","0","100017","0","221170101"
"2220201","1","0","201020","0","222020101"
"2220401","1","0","201040","0","222040101"
"2220501","1","0","201050","0","222050101"
"2220601","1","0","201060","0","222060101"
"2220701","1","0","201070","0","222070101"
"2220801","1","0","201080","0","222080101"
"2220901","1","0","201090","0","222090101"
"2221001","1","0","201100","0","222100101"
"2221101","1","0","201110","0","222110101"
"2221301","1","0","201130","0","222130101"
"2221401","1","0","201140","0","222140101"
"2221601","1","0","201160","0","222160101"
"2221801","1","0","201180","0","222180101"
"2221901","1","0","201190","0","222190101"
"2222001","1","0","201200","0","222200101"
"2222101","1","0","201210","0","222210101"
"2222201","1","0","201220","0","222220101"
"2222301","1","0","201230","0","222230101"
"2222401","1","0","201240","0","222240101"
"2222501","1","0","201250","0","222250101"
"2222701","1","0","201270","0","222270101"
"2222801","1","0","201280","0","222280101"
"2222901","1","0","201290","0","222290101"
"2223001","1","0","201300","0","222300101"
"2223201","1","0","201320","0","222320101"
"2223401","1","0","201340","0","222340101"
"2223501","1","0","201350","0","222350101"
"2223601","1","0","201360","0","222360101"
"2223701","1","0","201370","0","222370101"
"2223801","1","0","201380","0","222380101"
"2223901","1","0","201390","0","222390101"
"2224001","1","0","201400","0","222400101"
"2224101","1","0","201410","0","222410101"
"2224301","1","0","201430","0","222430101"
"2224401","1","0","201440","0","222440101"
"2224701","1","0","201470","0","222470101"
"2224801","1","0","201480","0","222480101"
"2224901","1","0","201490","0","222490101"
"2330101","3","1000","301","0","233010101"
"2330501","3","1000","305","0","233050101"
"2340201","3","0","402","0","234020101"
"2340301","3","0","403","0","234030101"
"2400101","4","0","1","0","240010101"
"3100001","1","0","0","0","310000101"
"3100002","1","0","0","0","310000102"
"3110101","1","0","101001","0","311010101"
"3110201","1","0","101002","0","311020101"
