ccd3dcd6e0890cf6ef7dec61aa6510fad91d5a9b0444f9cf8eeb7cfab6abb653,33acb2aab9ae4aec8a5dd35b4a02ce800f71c6b3705e2147d1d9c0c432c0c784,5889e435b70ce9af451894da0c4853ada4b5797c604e32f30fa00db92384ae53,5211efcfd0f5e4c50af243847e77ba91a8fa9154e4267b1533f4c337a616b925,fc34520ea0f394dbbd967aef4afd8b7d1f8de22932c68cf76232737ecf858427,e6f41d7a1024f2f007020b6a5eb55fd47494ac59a8ccfa5bcc202f7d5ea44ab1,04ea5b9461c6ffaec5e473bde9af213b0f681e1dd7fed26b002b5419dfff06ca,9bf5ae7a0a4287719ee2f88b76a17dba3a15cad6b56440e7794ff1f4a57867d4,19ebb6a566baef6b59b91ccf418379bc3a93ca0a143e353d0091b218c8f4300a,6b0b5960a3e414a77f689cc1296fe8e50740150da5f65c82c282a014949fe2a4,6d6b5fe8531f70503c3d8ddd1ad6e2b8e0c7b61d8f808135d39961dc8b476901
"1","-68","travel_topdrama_r_2000_idle_smile","20011","0.8","101","1","1","42","105811","1200110001"
"1","-68","travel_topdrama_r_2000_idle_sad_shy","20011","0.8","102","1","0","-42","106011","1200110002"
"5","-75","mana","20011","1","110","0","0","0","0","1200110003"
"91","","","20011","","","0","","","","1200110004"
"93","","","20011","","","10","","","0","1200110005"
"101","","","20011","","","1200110005","","","","1200110006"
"3","","","20011","0","0","0","","","none","1200110007"
"91","","","20011","","","0","","","","1200110008"
"13","","","20012","","","105811","","","103","1200120001"
"13","","","20012","","","106011","","","104","1200120002"
"3","1","","20012","0.2","0","105811","","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200120003"
"21","","","20012","","0","vo_travel_talk","","0","vo_travel_talk_20001_00","1200120004"
"11","1","0","20012","0","10","105811","0","1","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","1200120005"
"91","","","20012","","","0","","","","1200120006"
"3","","","20012","0.2","1","105811","","","travel_topdrama_r_2000_idle_smile","1200120007"
"3","1","","20012","0.2","1","106011","","","travel_topdrama_r_2000_talk_anger_shy","1200120008"
"21","","","20012","","0","vo_travel_talk","","0","vo_travel_talk_20001_01","1200120009"
"11","1","0","20012","0","10","106011","0","1","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","1200120010"
"91","","","20012","","","0","","","","1200120011"
"3","","","20012","0.2","1","106011","","","travel_topdrama_r_2000_idle_sad_shy","1200120012"
"3","1","","20012","0.2","0","105811","","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200120013"
"21","","","20012","","0","vo_travel_talk","","0","vo_travel_talk_20001_02","1200120014"
"11","1","0","20012","0","10","105811","0","1","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","1200120015"
"91","","","20012","","","0","","","","1200120016"
"3","","","20012","0.2","1","105811","","","travel_topdrama_r_2000_idle_smile","1200120017"
"112","","","20012","","","","","","","1200120018"
"91","","","20012","","","0","","","","1200120019"
"1","-68","travel_topdrama_r_2000_idle_normal","20021","0.8","101","1","1","42","100211","1200210001"
"1","-68","travel_topdrama_r_2002_sitting_loop","20021","0.8","102","1","0","-42","100111","1200210002"
"5","-68","travel_topdrama_r_2002_sitting_loop","20021","0.8","100","3","0","-42","3","1200210003"
"5","-75","mana","20021","1","110","0","0","0","0","1200210004"
"91","","","20021","","","0","","","","1200210005"
"93","","","20021","","","10","","","0","1200210006"
"101","","","20021","","","1200210006","","","","1200210007"
"3","","","20021","0","0","0","","","none","1200210008"
"91","","","20021","","","0","","","","1200210009"
"13","","","20022","","","100211","","","103","1200220001"
"13","","","20022","","","100111","","","104","1200220002"
"3","1","","20022","0.2","1","100211","","","travel_topdrama_r_2000_talk_normal","1200220003"
"21","","","20022","","0","vo_travel_talk","","0","vo_travel_talk_20002_00","1200220004"
"11","1","0","20022","0","10","100211","0","1","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","1200220005"
"91","","","20022","","","0","","","","1200220006"
"3","","","20022","0.2","1","100211","","","travel_topdrama_r_2000_idle_normal","1200220007"
"21","","","20022","","0","vo_travel_talk","","0","vo_travel_talk_20002_01","1200220008"
"11","1","0","20022","0","10","100111","0","1","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","1200220009"
"91","","","20022","","","0","","","","1200220010"
"3","1","","20022","0.2","0","100211","","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","1200220011"
"21","","","20022","","0","vo_travel_talk","","0","vo_travel_talk_20002_02","1200220012"
"11","1","0","20022","0","10","100211","0","1","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","1200220013"
"91","","","20022","","","0","","","","1200220014"
"3","","","20022","0.2","1","100211","","","travel_topdrama_r_2000_idle_wish_joy","1200220015"
"112","","","20022","","","","","","","1200220016"
"91","","","20022","","","0","","","","1200220017"
"1","-68","travel_topdrama_r_2000_idle_doya","20031","0.8","101","1","0","-42","100411","1200310001"
"1","-68","travel_topdrama_r_2000_idle_normal","20031","0.8","102","1","1","42","102011","1200310002"
"5","-75","mana","20031","1","110","0","0","0","0","1200310003"
"91","","","20031","","","0","","","","1200310004"
"93","","","20031","","","10","","","0","1200310005"
"101","","","20031","","","1200310005","","","","1200310006"
"3","","","20031","0","0","0","","","none","1200310007"
"91","","","20031","","","0","","","","1200310008"
"13","","","20032","","","100411","","","103","1200320001"
"13","","","20032","","","102011","","","104","1200320002"
"3","1","","20032","0.2","0","100411","","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in","1200320003"
"21","","","20032","","0","vo_travel_talk","","0","vo_travel_talk_20003_00","1200320004"
"11","1","0","20032","0","10","100411","0","1","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","1200320005"
"91","","","20032","","","0","","","","1200320006"
"3","","","20032","0.2","1","100411","","","travel_topdrama_r_2000_idle_doya","1200320007"
"3","1","","20032","0.2","0","102011","","travel_topdrama_r_2000_talk_wish_loop","travel_topdrama_r_2000_talk_wish_in","1200320008"
"21","","","20032","","0","vo_travel_talk","","0","vo_travel_talk_20003_01","1200320009"
"11","1","0","20032","0","10","102011","0","1","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","1200320010"
"91","","","20032","","","0","","","","1200320011"
"3","","","20032","0.2","1","102011","","","travel_topdrama_r_2000_idle_wish","1200320012"
"3","1","","20032","0.2","0","100411","","travel_topdrama_r_2000_talk_sad_loop_surprise2","travel_topdrama_r_2000_talk_sad_in_surprise2","1200320013"
"21","","","20032","","0","vo_travel_talk","","0","vo_travel_talk_20003_02","1200320014"
"11","1","0","20032","0","10","100411","0","1","えっ？　ぐるぐる？\n……あ～！？　イタズラで使う磁石、\n同じポケットに入れたままだった～！","1200320015"
"91","","","20032","","","0","","","","1200320016"
"3","","","20032","0.2","1","100411","","","travel_topdrama_r_2000_idle_sad_surprise2","1200320017"
"112","","","20032","","","","","","","1200320018"
"91","","","20032","","","0","","","","1200320019"
"1","-68","travel_topdrama_r_2000_idle_normal","20041","0.8","101","1","1","42","105311","1200410001"
"1","-68","travel_topdrama_r_2000_idle_wish","20041","0.8","102","1","0","-42","104511","1200410002"
"5","-75","mana","20041","1","110","0","0","0","0","1200410003"
"91","","","20041","","","0","","","","1200410004"
"93","","","20041","","","10","","","0","1200410005"
"101","","","20041","","","1200410005","","","","1200410006"
"3","","","20041","0","0","0","","","none","1200410007"
"91","","","20041","","","0","","","","1200410008"
"13","","","20042","","","105311","","","103","1200420001"
"13","","","20042","","","104511","","","104","1200420002"
