1d1d99e9dea2fd401ad8ec7609015ab69dfcfe82ddf4503cb78b50e49fb92795,5908880b4665ad9af3ef00ae52352fc52b486c26e1d35bf2a7c0ba596898bdbc,5896147a496502833bfd878331338229cbd6b51ec7c1368cbad057c5dad211e8,80c78d0c3a95f18d8fb55eb8a7225df6d1fca639575cea504347ba157e946b33,2cfff6402f3055c629091138cb2a0c12dc0dee41955c93d9d5e3a87fbbdbf6dc,a1a9242d75ad55f7f49054b4e41e093eeeedeec66fa9dadf429d5693cc5e215c,76af0af7aeafd72145d6c81d2ae94e223221e6fc0da3e73f8f6e1827aae9b4de,227350627fd21cc7c490cbf7a39eb61eb3931664f870543709edb4718302a4bc,8e88cefbaba53c52863c310bf6ed1239a8027d04cf3942a313e4b5a6c39db189
"43.5","0","1","11","1","320010106","0.7","502001102","1"
"13","0","2","67","2","320010106","0.65","502001103","3"
"-74","0","3","49","3","320010106","0.65","0","2"
"-49","0","4","13","1","320010107","0.7","502001108","1"
"-4","0","5","62","2","320010107","0.85","502001109","3"
"59","0","6","50","3","320010107","0.65","0","2"
"0","0","7","-10","1","320010108","1.05","0","1"
"-15","0","8","-10","1","320010109","1.05","0","1"
"-85","0","9","-45","1","320010110","0.43","0","1"
"85","0","10","-45","2","320010110","0.43","0","2"
"43.5","0","11","11","1","320010206","0.7","502001202","1"
"13","0","12","67","2","320010206","0.65","502001203","3"
"-74","0","13","49","3","320010206","0.65","0","2"
"-49","0","14","13","1","320010207","0.7","502001208","1"
"-4","0","15","62","2","320010207","0.85","502001209","3"
"59","0","16","50","3","320010207","0.65","0","2"
"0","0","17","-10","1","320010208","1.05","0","1"
"-15","0","18","-10","1","320010209","1.05","0","1"
"-85","0","19","-45","1","320010210","0.43","0","1"
"85","0","20","-45","2","320010210","0.43","0","2"
"43.5","0","21","11","1","320010306","0.7","502001302","1"
"13","0","22","67","2","320010306","0.65","502001303","3"
"-74","0","23","49","3","320010306","0.65","0","2"
"-49","0","24","13","1","320010307","0.7","502001308","1"
"-4","0","25","62","2","320010307","0.85","502001309","3"
"59","0","26","50","3","320010307","0.65","0","2"
"0","0","27","-10","1","320010308","1.05","0","1"
"-15","0","28","-10","1","320010309","1.05","0","1"
"-85","0","29","-45","1","320010310","0.43","0","1"
"85","0","30","-45","2","320010310","0.43","0","2"
"43.5","0","31","11","1","320010406","0.7","502001402","1"
"13","0","32","67","2","320010406","0.65","502001403","3"
"-74","0","33","49","3","320010406","0.65","0","2"
"-49","0","34","13","1","320010407","0.7","502001408","1"
"-4","0","35","62","2","320010407","0.85","502001409","3"
"59","0","36","50","3","320010407","0.65","0","2"
"0","0","37","-10","1","320010408","1.05","0","1"
"-15","0","38","-10","1","320010409","1.05","0","1"
"-85","0","39","-45","1","320010410","0.43","0","1"
"85","0","40","-45","2","320010410","0.43","0","2"
"43.5","0","41","11","1","320010506","0.7","502001502","1"
"13","0","42","67","2","320010506","0.65","502001503","3"
"-74","0","43","49","3","320010506","0.65","0","2"
"-49","0","44","13","1","320010507","0.7","502001508","1"
"-4","0","45","62","2","320010507","0.85","502001509","3"
"59","0","46","50","3","320010507","0.65","0","2"
"0","0","47","-10","1","320010508","1.05","0","1"
"-15","0","48","-10","1","320010509","1.05","0","1"
"-85","0","49","-45","1","320010510","0.43","0","1"
"85","0","50","-45","2","320010510","0.43","0","2"
"43.5","0","51","11","1","320020106","0.7","502002102","1"
"13","0","52","67","2","320020106","0.65","502002103","3"
"-74","0","53","49","3","320020106","0.65","0","2"
"-49","0","54","13","1","320020107","0.7","502002108","1"
"-4","0","55","62","2","320020107","0.85","502002109","3"
"59","0","56","50","3","320020107","0.65","0","2"
"0","0","57","-10","1","320020108","1.05","0","1"
"-15","0","58","-10","1","320020109","1.05","0","1"
"-85","0","59","-45","1","320020110","0.43","0","1"
"85","0","60","-45","2","320020110","0.43","0","2"
"43.5","0","61","11","1","320020206","0.7","502002202","1"
"13","0","62","67","2","320020206","0.65","502002203","3"
"-74","0","63","49","3","320020206","0.65","0","2"
"-49","0","64","13","1","320020207","0.7","502002208","1"
"-4","0","65","62","2","320020207","0.85","502002209","3"
"59","0","66","50","3","320020207","0.65","0","2"
"0","0","67","-10","1","320020208","1.05","0","1"
"-15","0","68","-10","1","320020209","1.05","0","1"
"-85","0","69","-45","1","320020210","0.43","0","1"
"85","0","70","-45","2","320020210","0.43","0","2"
"43.5","0","71","11","1","320020306","0.7","502002302","1"
"13","0","72","67","2","320020306","0.65","502002303","3"
"-74","0","73","49","3","320020306","0.65","0","2"
"-49","0","74","13","1","320020307","0.7","502002308","1"
"-4","0","75","62","2","320020307","0.85","502002309","3"
"59","0","76","50","3","320020307","0.65","0","2"
"0","0","77","-10","1","320020308","1.05","0","1"
"-15","0","78","-10","1","320020309","1.05","0","1"
"-85","0","79","-45","1","320020310","0.43","0","1"
"85","0","80","-45","2","320020310","0.43","0","2"
"43.5","0","81","11","1","320020406","0.7","502002402","1"
"13","0","82","67","2","320020406","0.65","502002403","3"
"-74","0","83","49","3","320020406","0.65","0","2"
"-49","0","84","13","1","320020407","0.7","502002408","1"
"-4","0","85","62","2","320020407","0.85","502002409","3"
"59","0","86","50","3","320020407","0.65","0","2"
"0","0","87","-10","1","320020408","1.05","0","1"
"-15","0","88","-10","1","320020409","1.05","0","1"
"-85","0","89","-45","1","320020410","0.43","0","1"
"85","0","90","-45","2","320020410","0.43","0","2"
"43.5","0","91","11","1","320020506","0.7","502002502","1"
"13","0","92","67","2","320020506","0.65","502002503","3"
"-74","0","93","49","3","320020506","0.65","0","2"
"-49","0","94","13","1","320020507","0.7","502002508","1"
"-4","0","95","62","2","320020507","0.85","502002509","3"
"59","0","96","50","3","320020507","0.65","0","2"
"0","0","97","-10","1","320020508","1.05","0","1"
"-15","0","98","-10","1","320020509","1.05","0","1"
"-85","0","99","-45","1","320020510","0.43","0","1"
"85","0","100","-45","2","320020510","0.43","0","2"
"43.5","0","101","11","1","320030106","0.7","502003102","1"
"13","0","102","67","2","320030106","0.65","502003103","2"
"-74","0","103","49","3","320030106","0.65","0","3"
"-49","0","104","13","1","320030107","0.7","502003108","1"
"-4","0","105","62","2","320030107","0.85","502003109","3"
"59","0","106","50","3","320030107","0.65","0","2"
"0","0","107","-10","1","320030108","1.05","0","1"
"-15","0","108","-10","1","320030109","1.05","0","1"
"-85","0","109","-45","1","320030110","0.43","0","1"
"85","0","110","-45","2","320030110","0.43","0","2"
"43.5","0","111","11","1","320030206","0.7","502003202","1"
"13","0","112","67","2","320030206","0.65","502003203","2"
"-74","0","113","49","3","320030206","0.65","0","3"
"-49","0","114","13","1","320030207","0.7","502003208","1"
"-4","0","115","62","2","320030207","0.85","502003209","3"
"59","0","116","50","3","320030207","0.65","0","2"
"0","0","117","-10","1","320030208","1.05","0","1"
"-15","0","118","-10","1","320030209","1.05","0","1"
"-85","0","119","-45","1","320030210","0.43","0","1"
"85","0","120","-45","2","320030210","0.43","0","2"
"43.5","0","121","11","1","320030306","0.7","502003302","1"
"13","0","122","67","2","320030306","0.65","502003303","2"
"-74","0","123","49","3","320030306","0.65","0","3"
"-49","0","124","13","1","320030307","0.7","502003308","1"
"-4","0","125","62","2","320030307","0.85","502003309","3"
"59","0","126","50","3","320030307","0.65","0","2"
"0","0","127","-10","1","320030308","1.05","0","1"
"-15","0","128","-10","1","320030309","1.05","0","1"
"-85","0","129","-45","1","320030310","0.43","0","1"
"85","0","130","-45","2","320030310","0.43","0","2"
"43.5","0","131","11","1","320030406","0.7","502003402","1"
"13","0","132","67","2","320030406","0.65","502003403","2"
